##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,Veronica Christ,*,27,7-21,1-3,2-2,0-5,5,2,3,3,0,4,17,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
34,DaniRae Renno,*,18,2-4,0-0,4-4,2-1,3,2,2,1,1,0,8,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
10,Summer McNulty,*,24,2-5,0-1,1-2,2-0,2,0,1,1,0,2,5,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
30,Jessica King,*,27,2-4,0-0,0-0,1-3,4,2,1,3,3,2,4,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
04,Cyleigh Wilson,*,17,0-3,0-3,0-0,2-1,3,0,1,3,0,1,0,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
21,Emily Prowell,,30,2-6,0-2,6-8,2-4,6,3,2,3,0,2,10,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
05,Jillian Nagy,,23,2-5,0-2,1-2,0-6,6,1,3,1,0,2,5,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
03,Lindsay Boyd,,18,1-3,1-2,2-2,1-3,4,3,0,2,0,1,5,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
13,Taylor Huyck,,10,1-3,1-1,0-0,0-2,2,1,0,1,0,1,3,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
35,Cassandra Peris,,5,0-2,0-0,2-2,0-0,0,0,0,0,0,0,2,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
33,Clare Marchese,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Franklin & Marshall_11-14-2021
22,Kenna Williams,*,36,7-12,0-0,0-0,10-10,20,2,3,3,1,3,14,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
14,Natalie Kolb,*,34,5-7,2-3,0-0,0-2,2,3,2,3,0,0,12,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
24,Kenzie Bradley,*,22,3-8,3-6,0-0,0-1,1,3,3,3,1,0,9,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
30,Kennedy Wilburn,*,23,3-13,0-0,0-0,3-2,5,1,0,3,2,3,6,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
10,D'Naisha Bellamy-Gre,*,34,1-12,0-2,3-4,0-3,3,3,5,4,0,2,5,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
23,Alisyn Narracci,,16,1-4,0-0,2-4,1-4,5,2,0,2,0,0,4,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
31,Maia Lockhart,,26,1-6,1-3,0-0,0-1,1,2,3,1,1,0,3,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
20,Hope Schreiber,,5,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
44,Jaclyn Feit,,4,0-1,0-0,0-0,0-1,1,0,0,2,1,0,0,Franklin & Marshall,Elizabethtown_Franklin & Marshall_11-14-2021
