##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,Cyleigh Wilson,*,23,10-13,9-12,0-0,0-4,4,1,3,0,0,2,29,Elizabethtown,Elizabethtown_Goucher_1-14-2024
25,Summer McNulty,*,23,5-14,1-6,0-0,1-1,2,1,9,0,0,0,11,Elizabethtown,Elizabethtown_Goucher_1-14-2024
34,DaniRae Renno,*,15,4-8,0-0,0-0,3-6,9,0,2,0,1,2,8,Elizabethtown,Elizabethtown_Goucher_1-14-2024
30,Jessica King,*,16,3-9,0-0,0-0,6-3,9,1,2,2,0,1,6,Elizabethtown,Elizabethtown_Goucher_1-14-2024
02,Makenna Mummert,*,14,1-2,0-1,0-0,0-1,1,0,1,2,1,1,2,Elizabethtown,Elizabethtown_Goucher_1-14-2024
24,Ellie Fasick,,14,6-7,0-0,0-0,0-5,5,1,0,0,1,2,12,Elizabethtown,Elizabethtown_Goucher_1-14-2024
31,Allyia Kennedy,,12,4-6,0-0,0-0,1-3,4,1,0,0,0,0,8,Elizabethtown,Elizabethtown_Goucher_1-14-2024
13,Taylor Huyck,,18,1-4,0-2,2-2,1-1,2,1,2,0,0,1,4,Elizabethtown,Elizabethtown_Goucher_1-14-2024
03,Lindsay Boyd,,21,0-4,0-3,2-2,1-3,4,2,3,0,0,1,2,Elizabethtown,Elizabethtown_Goucher_1-14-2024
20,Katie Haefner,,8,1-3,0-2,0-0,2-1,3,0,1,0,0,0,2,Elizabethtown,Elizabethtown_Goucher_1-14-2024
05,Ella Gordon,,22,0-3,0-2,0-0,0-2,2,1,2,2,0,0,0,Elizabethtown,Elizabethtown_Goucher_1-14-2024
12,Jess Pronchick,,8,0-1,0-0,0-0,0-1,1,1,0,3,0,0,0,Elizabethtown,Elizabethtown_Goucher_1-14-2024
35,Cass Peris,,6,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Goucher_1-14-2024
03,Maiya Villanueva,*,40,4-13,2-4,1-2,1-4,5,1,1,5,0,0,11,Goucher,Elizabethtown_Goucher_1-14-2024
22,Merci Turner,*,33,2-14,1-4,6-6,1-3,4,0,2,2,0,1,11,Goucher,Elizabethtown_Goucher_1-14-2024
21,Savannah Holmes,*,25,3-6,0-2,2-4,0-2,2,3,0,4,0,1,8,Goucher,Elizabethtown_Goucher_1-14-2024
12,Briyah Haggins,*,30,0-5,0-0,2-2,0-4,4,0,2,4,0,0,2,Goucher,Elizabethtown_Goucher_1-14-2024
04,Julia Cavoli,*,30,0-6,0-4,0-0,1-2,3,3,2,0,0,0,0,Goucher,Elizabethtown_Goucher_1-14-2024
10,Louise Lavaux,,6,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Goucher,Elizabethtown_Goucher_1-14-2024
44,Zion McCoy,,20,0-1,0-0,0-0,2-4,6,1,0,2,0,1,0,Goucher,Elizabethtown_Goucher_1-14-2024
34,Darby Sherman,,16,0-5,0-4,0-0,0-0,0,0,0,1,0,0,0,Goucher,Elizabethtown_Goucher_1-14-2024
