##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,Veronica Christ,*,37,6-20,3-6,9-9,3-0,3,3,3,2,0,3,24,Elizabethtown,Elizabethtown_Juniata_2-9-2022
10,Summer McNulty,*,33,3-11,0-1,5-5,0-1,1,1,7,1,0,3,11,Elizabethtown,Elizabethtown_Juniata_2-9-2022
04,Cyleigh Wilson,*,30,2-7,2-7,2-2,0-5,5,3,0,3,0,0,8,Elizabethtown,Elizabethtown_Juniata_2-9-2022
30,Jessica King,*,25,2-3,0-0,1-2,2-7,9,3,3,7,2,1,5,Elizabethtown,Elizabethtown_Juniata_2-9-2022
21,Emily Prowell,*,22,2-4,1-1,0-0,4-3,7,4,0,2,0,1,5,Elizabethtown,Elizabethtown_Juniata_2-9-2022
13,Taylor Huyck,,16,4-7,1-2,2-3,3-1,4,1,1,2,0,0,11,Elizabethtown,Elizabethtown_Juniata_2-9-2022
35,Cassandra Peris,,22,4-5,0-0,2-3,1-3,4,4,0,3,0,2,10,Elizabethtown,Elizabethtown_Juniata_2-9-2022
33,Clare Marchese,,7,0-0,0-0,4-4,1-0,1,1,1,0,0,1,4,Elizabethtown,Elizabethtown_Juniata_2-9-2022
14,Grace Nazih,,1,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Elizabethtown,Elizabethtown_Juniata_2-9-2022
31,Emily Kramer,,5,0-1,0-0,0-2,1-0,1,1,0,2,0,0,0,Elizabethtown,Elizabethtown_Juniata_2-9-2022
12,Georgia Panopoulos,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Juniata_2-9-2022
20,Katie Haefner,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Juniata_2-9-2022
13,Haily Sherman,*,36,10-19,0-4,4-4,4-4,8,2,2,4,0,5,24,Juniata,Elizabethtown_Juniata_2-9-2022
30,Averie Hess,*,27,5-14,0-1,0-0,3-1,4,4,3,3,0,1,10,Juniata,Elizabethtown_Juniata_2-9-2022
23,Cassie Mock,*,28,1-5,0-1,4-4,3-2,5,4,3,5,0,2,6,Juniata,Elizabethtown_Juniata_2-9-2022
03,Kynnedy Miller,*,20,2-7,1-5,0-2,0-1,1,2,1,1,0,2,5,Juniata,Elizabethtown_Juniata_2-9-2022
11,Grace Long,*,34,1-9,1-7,0-0,3-5,8,5,0,2,0,3,3,Juniata,Elizabethtown_Juniata_2-9-2022
05,Steph Emert,,14,2-3,0-0,2-2,1-0,1,1,1,5,1,0,6,Juniata,Elizabethtown_Juniata_2-9-2022
34,Dani Scipioni,,7,1-2,1-2,1-2,0-1,1,0,0,1,0,0,4,Juniata,Elizabethtown_Juniata_2-9-2022
21,Jamie Mahigel,,7,1-2,1-1,0-0,1-0,1,0,0,0,0,0,3,Juniata,Elizabethtown_Juniata_2-9-2022
40,Emelie Nonemaker,,5,0-0,0-0,1-2,0-1,1,0,0,0,0,0,1,Juniata,Elizabethtown_Juniata_2-9-2022
42,Taylor Vrabel,,4,0-1,0-0,1-2,0-0,0,0,2,0,0,0,1,Juniata,Elizabethtown_Juniata_2-9-2022
35,Sarah Betts,,13,0-0,0-0,0-0,1-0,1,3,1,3,0,0,0,Juniata,Elizabethtown_Juniata_2-9-2022
22,Aleya Eisenberg,,5,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Juniata,Elizabethtown_Juniata_2-9-2022
