##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,Veronica Christ,*,45,10-23,4-10,4-4,4-5,9,2,10,5,1,2,28,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
34,DaniRae Renno,*,30,12-17,0-0,3-5,6-5,11,3,1,2,0,0,27,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
10,Summer McNulty,*,40,8-13,1-1,5-10,3-5,8,2,4,4,0,0,22,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
04,Cyleigh Wilson,*,31,1-5,0-4,0-0,0-6,6,3,3,3,0,0,2,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
30,Jessica King,*,19,0-1,0-0,2-2,0-4,4,3,0,4,0,0,2,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
05,Jillian Nagy,,23,1-4,0-1,0-2,0-3,3,3,1,2,0,1,2,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
03,Lindsay Boyd,,18,1-4,0-2,0-0,0-3,3,2,0,2,1,2,2,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
21,Emily Prowell,,11,0-1,0-1,0-0,0-2,2,1,0,3,0,0,0,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
13,Taylor Huyck,,5,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
35,Cassandra Peris,,3,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_King's (PA)_12-14-2021
03,Emily Morano,*,39,14-26,6-10,3-5,1-10,11,4,4,4,1,1,37,King's (PA),Elizabethtown_King's (PA)_12-14-2021
20,Samantha Rajza,*,42,8-21,3-10,0-2,0-4,4,2,3,1,2,3,19,King's (PA),Elizabethtown_King's (PA)_12-14-2021
04,Emily Kriston,*,37,3-10,1-5,0-0,2-3,5,2,5,2,0,5,7,King's (PA),Elizabethtown_King's (PA)_12-14-2021
05,Kiersten Krouse,*,35,1-3,1-2,4-4,0-2,2,1,0,0,0,0,7,King's (PA),Elizabethtown_King's (PA)_12-14-2021
21,Sarah Heiskell-Mann,*,24,2-9,0-0,1-2,5-2,7,2,2,1,0,1,5,King's (PA),Elizabethtown_King's (PA)_12-14-2021
12,Alli Lindsay,,21,3-8,3-5,0-0,0-2,2,4,3,1,0,0,9,King's (PA),Elizabethtown_King's (PA)_12-14-2021
24,Caileigh Costello,,16,1-3,0-0,2-2,3-0,3,4,3,0,0,1,4,King's (PA),Elizabethtown_King's (PA)_12-14-2021
11,Brenna Costello,,4,0-2,0-0,0-0,2-0,2,0,0,0,0,1,0,King's (PA),Elizabethtown_King's (PA)_12-14-2021
41,Zoe Stein,,4,0-2,0-1,0-0,1-0,1,0,0,0,0,0,0,King's (PA),Elizabethtown_King's (PA)_12-14-2021
23,Cailin Wilson,,3,0-2,0-2,0-0,1-0,1,0,0,1,0,0,0,King's (PA),Elizabethtown_King's (PA)_12-14-2021
