##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Summer McNulty,*,28,6-13,1-3,2-2,1-4,5,2,2,3,0,2,15,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
34,DaniRae Renno,*,25,6-13,0-0,2-8,5-4,9,1,1,1,2,0,14,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
30,Jessica King,*,26,5-10,0-1,0-0,3-8,11,1,2,2,0,1,10,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
03,Lindsay Boyd,*,18,1-4,1-3,1-2,0-3,3,2,0,1,2,3,4,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
04,Cyleigh Wilson,*,19,1-4,1-4,0-0,0-2,2,1,2,0,0,0,3,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
35,Cass Peris,,21,4-7,0-0,1-2,3-1,4,2,1,3,0,1,9,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
02,Makenna Mummert,,16,2-4,0-1,0-1,0-0,0,1,0,1,0,0,4,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
13,Taylor Huyck,,13,2-4,0-1,0-0,1-3,4,0,0,1,0,1,4,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
14,Kaeli Romanowski,,22,0-3,0-1,2-2,1-4,5,1,1,1,0,2,2,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
05,Megan Desmet,,1,0-0,0-0,1-2,0-1,1,0,0,1,0,0,1,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
33,Clare Marchese,,9,0-1,0-0,0-0,0-0,0,1,1,1,0,0,0,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
12,Georgia Panopoulos,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
24,Ellie Fasick,,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Elizabethtown_Lebanon Valley_11-22-2022
04,Kate Fitzpatrick,*,32,5-15,0-3,2-2,0-5,5,2,0,1,0,0,12,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
14,Riley Hevelow,*,28,4-10,1-3,0-2,0-3,3,2,3,2,0,1,9,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
03,Daelyn Stabler,*,22,3-9,0-0,1-1,1-3,4,3,1,3,0,3,7,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
01,Cristina Fernandez,*,25,2-5,0-0,0-0,1-4,5,3,2,2,0,1,4,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
10,Samya Santiague,*,25,2-6,0-2,0-0,2-6,8,2,2,3,0,0,4,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
34,Kailey Eckhart,,10,3-5,0-1,0-1,0-3,3,1,0,1,0,1,6,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
33,Jordan Zimmerman,,20,1-2,0-0,0-0,1-1,2,1,0,1,0,1,2,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
11,Allison Bimmer,,24,0-3,0-0,0-0,0-2,2,3,3,4,1,1,0,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
31,Elise Balmer,,8,0-1,0-0,0-0,1-0,1,3,0,1,0,0,0,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
05,Cassie Eager,,6,0-2,0-1,0-0,0-0,0,0,0,0,0,0,0,Lebanon Valley,Elizabethtown_Lebanon Valley_11-22-2022
