##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,Cyleigh Wilson,*,35,8-10,6-7,3-4,0-3,3,3,4,1,0,3,25,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
31,Allyia Kennedy,*,31,9-12,0-1,6-7,4-5,9,2,3,1,1,8,24,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
30,Jess King,*,24,5-11,0-0,0-0,2-4,6,3,2,1,3,0,10,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
34,DaniRae Renno,*,18,3-7,0-0,2-2,1-3,4,4,2,0,1,0,8,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
05,Ella Gordon,*,31,1-5,1-4,0-0,0-4,4,1,4,3,0,0,3,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
02,Makenna Mummert,,26,3-10,0-2,0-0,0-2,2,2,4,3,0,0,6,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
03,Lindsay Boyd,,13,1-2,0-1,4-4,0-0,0,4,1,1,0,1,6,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
11,Kamryn Mengel,,10,1-5,0-1,0-0,0-1,1,1,1,1,0,0,2,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
14,Ava Chapman,,1,0-0,0-0,2-2,1-0,1,0,0,0,0,0,2,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
35,Peyton Houlihan,,1,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
10,Cadence Anderson,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
21,Ashley Adamson,,2,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
24,Ellie Fasick,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
12,Jess Pronchick,,1,0-0,0-0,0-0,1-0,1,1,0,0,0,0,0,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
15,Kiley Wilhelm,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
22,Alex Gonzalez,,1,0-2,0-1,0-0,0-0,0,1,1,0,0,0,0,Elizabethtown,Elizabethtown_Lycoming_1-25-2025
24,Alyssa Reisinger,*,21,5-12,0-0,2-3,1-4,5,1,1,2,0,0,12,Lycoming,Elizabethtown_Lycoming_1-25-2025
21,Ashley Yoh,*,22,3-3,0-0,3-6,0-0,0,2,0,3,0,0,9,Lycoming,Elizabethtown_Lycoming_1-25-2025
12,Meghan Dufner,*,29,2-5,0-1,4-4,1-1,2,1,4,1,0,1,8,Lycoming,Elizabethtown_Lycoming_1-25-2025
25,Alicia Goldenziel,*,26,3-6,0-0,2-2,2-1,3,4,3,2,0,0,8,Lycoming,Elizabethtown_Lycoming_1-25-2025
10,Mya Wetzel,*,22,1-4,1-3,0-0,2-2,4,3,1,1,0,2,3,Lycoming,Elizabethtown_Lycoming_1-25-2025
02,Kami Abdo,,17,2-9,1-4,2-2,1-2,3,1,0,1,0,0,7,Lycoming,Elizabethtown_Lycoming_1-25-2025
14,Allison Fisher,,20,1-5,1-4,2-2,0-5,5,4,2,3,1,0,5,Lycoming,Elizabethtown_Lycoming_1-25-2025
22,Summer Emlet,,6,1-3,0-1,1-2,1-0,1,0,0,0,0,0,3,Lycoming,Elizabethtown_Lycoming_1-25-2025
04,Ann-Marie McMurtrie,,12,1-2,0-0,0-0,1-1,2,1,1,1,0,0,2,Lycoming,Elizabethtown_Lycoming_1-25-2025
05,Jocelyn McCracken,,8,1-2,0-0,0-0,2-1,3,2,0,0,0,0,2,Lycoming,Elizabethtown_Lycoming_1-25-2025
32,Sydnie Stone,,5,1-3,0-0,0-0,0-1,1,0,0,1,0,0,2,Lycoming,Elizabethtown_Lycoming_1-25-2025
11,Katie Bena,,4,1-1,0-0,0-1,0-2,2,1,0,2,0,0,2,Lycoming,Elizabethtown_Lycoming_1-25-2025
03,Sarah Lanphear,,3,0-0,0-0,1-2,0-1,1,0,0,1,1,0,1,Lycoming,Elizabethtown_Lycoming_1-25-2025
15,Makenna Hartman,,5,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Elizabethtown_Lycoming_1-25-2025
