##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
34,DaniRae Renno,*,33,8-10,0-0,4-6,4-2,6,2,2,1,1,1,20,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
04,Cyleigh Wilson,*,21,4-8,4-8,0-0,1-4,5,1,1,1,0,1,12,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
25,Summer McNulty,*,29,3-10,1-3,3-4,0-2,2,2,3,1,0,2,10,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
30,Jessica King,*,28,4-7,0-1,2-4,1-8,9,2,2,2,1,1,10,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
03,Lindsay Boyd,*,23,2-3,1-1,1-2,1-2,3,2,3,3,0,4,6,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
14,Kaeli Romanowski,,16,3-5,0-1,1-2,0-2,2,1,1,0,0,0,7,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
02,Makenna Mummert,,13,2-4,0-0,2-4,0-1,1,2,1,1,1,2,6,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
13,Taylor Huyck,,11,1-2,1-2,3-4,0-0,0,1,2,0,0,0,6,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
33,Clare Marchese,,7,0-1,0-1,3-4,1-0,1,0,0,0,0,0,3,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
31,Allyia Kennedy,,2,1-1,0-0,1-2,0-2,2,0,0,0,0,1,3,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
12,Georgia Panopoulos,,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
35,Cass Peris,,7,0-2,0-0,0-0,0-0,0,0,1,1,0,0,0,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
24,Ellie Fasick,,5,0-1,0-0,0-0,0-1,1,0,0,1,0,0,0,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
05,Megan Desmet,,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_McDaniel_11-8-2022
31,Elaina Beckett,*,31,4-10,0-0,0-1,6-3,9,3,2,6,2,0,8,McDaniel,Elizabethtown_McDaniel_11-8-2022
15,Katie Klein,*,23,3-10,2-4,0-0,1-0,1,1,3,5,0,0,8,McDaniel,Elizabethtown_McDaniel_11-8-2022
41,Mallory Conroy,*,24,2-12,0-0,1-2,3-5,8,2,1,1,1,0,5,McDaniel,Elizabethtown_McDaniel_11-8-2022
24,Josey Klingenberg,*,29,0-1,0-0,2-2,2-0,2,3,2,6,0,1,2,McDaniel,Elizabethtown_McDaniel_11-8-2022
33,Julia Ryan,*,25,0-4,0-1,0-0,1-2,3,2,2,1,0,0,0,McDaniel,Elizabethtown_McDaniel_11-8-2022
35,Meggie Burgess,,18,5-9,1-3,0-0,1-6,7,5,0,2,0,1,11,McDaniel,Elizabethtown_McDaniel_11-8-2022
22,Bri Floyd,,18,3-11,2-6,1-5,0-2,2,1,1,2,0,0,9,McDaniel,Elizabethtown_McDaniel_11-8-2022
12,Liliana Overcash,,13,0-0,0-0,0-0,2-2,4,1,1,2,0,1,0,McDaniel,Elizabethtown_McDaniel_11-8-2022
11,Jordan McLean,,12,0-1,0-1,0-0,0-1,1,5,0,1,0,2,0,McDaniel,Elizabethtown_McDaniel_11-8-2022
20,Jessica Weinoldt,,4,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,McDaniel,Elizabethtown_McDaniel_11-8-2022
25,Emily Lockard,,3,0-2,0-0,0-0,1-1,2,2,0,1,0,0,0,McDaniel,Elizabethtown_McDaniel_11-8-2022
