##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
34,"Renno,DaniRae",*,29,8-13,0-0,1-2,6-7,13,0,5,2,3,0,17,Elizabethtown,Elizabethtown_Moravian_2-8-2025
30,"King,Jess",*,26,8-10,0-0,0-0,1-4,5,0,0,0,0,3,16,Elizabethtown,Elizabethtown_Moravian_2-8-2025
25,"McNulty,Summer",*,25,3-8,1-2,2-2,1-3,4,0,4,0,0,1,9,Elizabethtown,Elizabethtown_Moravian_2-8-2025
05,"Gordon,Ella",*,18,1-3,1-2,0-0,0-0,0,1,2,0,0,1,3,Elizabethtown,Elizabethtown_Moravian_2-8-2025
02,"Mummert,Makenna",*,21,0-3,0-0,2-2,2-0,2,3,2,3,0,0,2,Elizabethtown,Elizabethtown_Moravian_2-8-2025
31,"Kennedy,Allyia",,18,6-9,1-1,4-4,3-5,8,0,0,2,0,1,17,Elizabethtown,Elizabethtown_Moravian_2-8-2025
04,"Wilson,Cyleigh",,21,2-8,2-6,2-2,0-1,1,2,3,0,0,0,8,Elizabethtown,Elizabethtown_Moravian_2-8-2025
11,"Mengel,Kamryn",,8,1-2,1-1,0-0,0-0,0,1,1,0,0,0,3,Elizabethtown,Elizabethtown_Moravian_2-8-2025
03,"Boyd,Lindsay",,9,0-3,0-1,2-3,1-3,4,0,2,0,0,0,2,Elizabethtown,Elizabethtown_Moravian_2-8-2025
15,"Wilhelm,Kiley",,2,1-1,0-0,0-0,1-0,1,0,0,0,0,1,2,Elizabethtown,Elizabethtown_Moravian_2-8-2025
21,"Adamson,Ashley",,2,1-1,0-0,0-0,0-0,0,0,0,1,0,0,2,Elizabethtown,Elizabethtown_Moravian_2-8-2025
40,"O'Connor,Grace",,13,0-2,0-1,0-0,2-1,3,1,1,1,0,0,0,Elizabethtown,Elizabethtown_Moravian_2-8-2025
24,"Fasick,Ellie",,3,0-2,0-0,0-0,0-1,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Moravian_2-8-2025
22,"Gonzalez,Alex",,2,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Elizabethtown,Elizabethtown_Moravian_2-8-2025
10,"Anderson,Cadence",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Moravian_2-8-2025
14,"Chapman,Ava",,1,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,Elizabethtown,Elizabethtown_Moravian_2-8-2025
35,"Houlihan,Peyton",,1,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Moravian_2-8-2025
01,"Osorio,Sam",*,29,4-8,0-0,1-2,3-3,6,3,1,4,0,1,9,Moravian,Elizabethtown_Moravian_2-8-2025
24,"Lustig,Lizzie",*,25,4-10,0-0,1-2,2-1,3,0,1,1,0,0,9,Moravian,Elizabethtown_Moravian_2-8-2025
20,"Herbert,Lanie",*,30,3-8,0-0,2-2,3-4,7,1,0,0,2,0,8,Moravian,Elizabethtown_Moravian_2-8-2025
22,"Vassallo,Juliana",*,18,1-9,1-6,0-0,0-1,1,0,2,3,0,0,3,Moravian,Elizabethtown_Moravian_2-8-2025
12,"Anderson,Mikayla",*,16,0-1,0-1,0-0,0-3,3,2,1,1,0,1,0,Moravian,Elizabethtown_Moravian_2-8-2025
04,"Cartagena,Jayda",,17,4-11,0-2,0-0,1-1,2,2,2,1,0,0,8,Moravian,Elizabethtown_Moravian_2-8-2025
14,"Pukszyn,Emma",,16,0-1,0-0,4-4,2-1,3,0,3,0,0,1,4,Moravian,Elizabethtown_Moravian_2-8-2025
00,"Altmire,Emma",,11,1-3,1-2,0-0,0-0,0,0,0,0,0,0,3,Moravian,Elizabethtown_Moravian_2-8-2025
05,"Wallbillich,Ellie",,15,0-5,0-1,2-2,1-0,1,0,0,1,0,0,2,Moravian,Elizabethtown_Moravian_2-8-2025
25,"Lew,Bellisima",,15,1-3,0-0,0-0,2-2,4,3,0,1,0,0,2,Moravian,Elizabethtown_Moravian_2-8-2025
03,"Sena,Allie",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Moravian,Elizabethtown_Moravian_2-8-2025
23,"Cabana,Kylie",,2,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Moravian,Elizabethtown_Moravian_2-8-2025
34,"Donaldson,Kate",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Elizabethtown_Moravian_2-8-2025
42,"Ohlhoff,Brynn",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian,Elizabethtown_Moravian_2-8-2025
