##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Summer McNulty,*,33,1-8,0-2,4-6,1-1,2,2,0,6,0,0,6,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
34,DaniRae Renno,*,29,3-5,0-0,0-1,1-5,6,3,1,1,1,0,6,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
02,Makenna Mummert,*,18,1-3,1-3,1-2,0-0,0,2,3,2,0,0,4,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
05,Ella Gordon,*,18,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
30,Jess King,*,17,0-4,0-0,0-0,2-1,3,2,1,2,1,1,0,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
31,Allyia Kennedy,,19,7-9,1-1,0-0,0-5,5,1,0,2,0,0,15,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
04,Cyleigh Wilson,,22,4-8,3-5,0-0,2-2,4,1,1,3,0,1,11,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
40,Grace O'Connor,,27,3-4,1-1,1-2,0-7,7,1,2,2,0,2,8,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
03,Lindsay Boyd,,17,2-4,1-2,1-2,0-1,1,3,1,1,0,1,6,Elizabethtown,Elizabethtown_Randolph-Macon_3-8-2025
01,Sam Smith,*,37,5-11,1-3,4-4,3-1,4,2,1,0,0,4,15,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
33,McKenzie Matheny,*,29,5-16,0-0,2-2,2-5,7,2,1,3,0,3,12,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
20,Catherine Kagey,*,34,3-9,0-0,5-8,8-8,16,3,4,1,1,3,11,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
35,Juliana Park,*,35,3-11,2-7,0-0,1-2,3,1,3,2,0,0,8,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
23,Marisa Ziegler,*,25,0-4,0-3,0-0,0-0,0,1,2,0,0,0,0,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
21,Morgan Miller,,26,3-11,3-8,1-2,4-1,5,1,3,3,0,0,10,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
04,Bella Bruce,,12,2-5,1-4,1-2,0-1,1,1,0,0,0,0,6,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
10,Emily Olsen,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Randolph-Macon,Elizabethtown_Randolph-Macon_3-8-2025
