##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,Jess King,*,21,8-9,0-0,2-2,0-4,4,3,1,0,0,2,18,Elizabethtown,Elizabethtown_Rowan_1-2-2025
25,Summer McNulty,*,26,3-12,1-4,3-4,1-1,2,0,3,1,0,2,10,Elizabethtown,Elizabethtown_Rowan_1-2-2025
02,Makenna Mummert,*,27,2-7,0-2,5-5,0-1,1,4,1,1,0,2,9,Elizabethtown,Elizabethtown_Rowan_1-2-2025
34,DaniRae Renno,*,26,4-10,0-0,1-1,3-4,7,1,1,1,1,0,9,Elizabethtown,Elizabethtown_Rowan_1-2-2025
05,Ella Gordon,*,23,0-4,0-3,0-0,0-3,3,0,0,2,0,0,0,Elizabethtown,Elizabethtown_Rowan_1-2-2025
03,Lindsay Boyd,,18,3-5,2-3,0-0,0-2,2,3,2,1,0,0,8,Elizabethtown,Elizabethtown_Rowan_1-2-2025
04,Cyleigh Wilson,,20,2-5,1-3,2-2,0-1,1,1,2,4,0,0,7,Elizabethtown,Elizabethtown_Rowan_1-2-2025
31,Allyia Kennedy,,19,3-5,0-1,0-0,1-4,5,1,1,2,1,1,6,Elizabethtown,Elizabethtown_Rowan_1-2-2025
40,Grace O'Connor,,19,1-4,0-1,0-0,2-3,5,3,3,1,0,0,2,Elizabethtown,Elizabethtown_Rowan_1-2-2025
24,Ellie Fasick,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Rowan_1-2-2025
10,Cadence Anderson,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Rowan_1-2-2025
12,Jess Pronchick,,0+,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Elizabethtown,Elizabethtown_Rowan_1-2-2025
21,Ashley Adamson,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Rowan_1-2-2025
20,Kate Herlihy,*,21,4-10,1-1,2-2,0-2,2,4,1,1,0,1,11,Rowan,Elizabethtown_Rowan_1-2-2025
14,Haley Selmer,*,21,2-6,0-0,0-0,2-5,7,2,0,0,2,2,4,Rowan,Elizabethtown_Rowan_1-2-2025
33,Jess McLaughlin,*,21,1-2,0-1,2-2,0-1,1,0,2,0,0,0,4,Rowan,Elizabethtown_Rowan_1-2-2025
15,Charlotte Carlies,*,16,2-4,0-0,0-0,0-0,0,1,0,3,0,1,4,Rowan,Elizabethtown_Rowan_1-2-2025
23,Reagan Russo,*,22,0-3,0-1,0-0,1-4,5,2,1,7,1,1,0,Rowan,Elizabethtown_Rowan_1-2-2025
04,Sabrina Araujo,,23,3-7,3-5,0-2,0-4,4,0,1,1,0,0,9,Rowan,Elizabethtown_Rowan_1-2-2025
34,Shayla Johnson,,16,3-6,0-0,0-0,1-2,3,1,3,3,1,0,6,Rowan,Elizabethtown_Rowan_1-2-2025
24,Kelli Kuenzel,,14,3-4,0-1,0-0,0-2,2,0,0,0,0,1,6,Rowan,Elizabethtown_Rowan_1-2-2025
21,Abigail Jazmin,,9,1-1,0-0,4-4,0-1,1,4,0,2,0,0,6,Rowan,Elizabethtown_Rowan_1-2-2025
03,Lily Bross,,17,2-8,0-0,1-2,0-1,1,2,0,1,1,2,5,Rowan,Elizabethtown_Rowan_1-2-2025
22,Victoria Crooker,,3,1-1,0-0,0-0,1-0,1,0,0,0,0,0,2,Rowan,Elizabethtown_Rowan_1-2-2025
42,Jes Mastriano,,10,0-3,0-0,1-2,0-2,2,0,1,0,0,0,1,Rowan,Elizabethtown_Rowan_1-2-2025
10,Cornysha Davis,,3,0-0,0-0,0-0,0-1,1,0,0,0,0,1,0,Rowan,Elizabethtown_Rowan_1-2-2025
05,Emily Poulas,,2,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Rowan,Elizabethtown_Rowan_1-2-2025
32,Adriana Santiago,,2,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Rowan,Elizabethtown_Rowan_1-2-2025
