##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"McNulty,Summer",*,34,6-13,2-3,3-4,0-5,5,0,5,2,0,0,17,Elizabethtown,Elizabethtown_Scranton_1-8-2025
02,"Mummert,Makenna",*,27,4-6,2-2,0-0,0-0,0,1,2,3,0,1,10,Elizabethtown,Elizabethtown_Scranton_1-8-2025
30,"King,Jess",*,18,3-4,0-0,2-4,1-4,5,3,0,1,1,0,8,Elizabethtown,Elizabethtown_Scranton_1-8-2025
34,"Renno,DaniRae",*,30,2-7,0-0,0-0,4-2,6,0,2,1,2,0,4,Elizabethtown,Elizabethtown_Scranton_1-8-2025
05,"Gordon,Ella",*,26,1-6,1-6,0-0,0-1,1,2,1,5,0,1,3,Elizabethtown,Elizabethtown_Scranton_1-8-2025
31,"Kennedy,Allyia",,18,3-5,0-0,0-0,2-0,2,2,3,2,0,0,6,Elizabethtown,Elizabethtown_Scranton_1-8-2025
03,"Boyd,Lindsay",,17,2-6,1-3,0-0,0-2,2,2,0,2,0,0,5,Elizabethtown,Elizabethtown_Scranton_1-8-2025
04,"Wilson,Cyleigh",,19,1-3,1-2,1-2,0-2,2,2,0,3,0,2,4,Elizabethtown,Elizabethtown_Scranton_1-8-2025
40,"O'Connor,Grace",,11,0-3,0-0,0-0,0-0,0,2,0,0,0,0,0,Elizabethtown,Elizabethtown_Scranton_1-8-2025
11,"Kranson,Kaci",*,34,6-15,1-5,11-12,2-3,5,1,2,2,0,2,24,Scranton,Elizabethtown_Scranton_1-8-2025
20,"Lamanna,Meghan",*,32,6-11,0-3,1-2,1-2,3,1,0,0,1,1,13,Scranton,Elizabethtown_Scranton_1-8-2025
33,"Quigley,Kyra",*,19,4-8,0-0,0-0,4-2,6,4,2,1,3,4,8,Scranton,Elizabethtown_Scranton_1-8-2025
13,"Hartnett,Maddie",*,21,2-3,0-0,1-2,0-2,2,1,4,0,0,1,5,Scranton,Elizabethtown_Scranton_1-8-2025
01,"Romanowski,Kaeli",*,33,2-5,0-1,0-0,3-4,7,2,3,1,0,4,4,Scranton,Elizabethtown_Scranton_1-8-2025
15,"Bennett,Elizabeth",,20,6-13,2-7,1-2,0-2,2,1,1,2,0,2,15,Scranton,Elizabethtown_Scranton_1-8-2025
12,"Sloan,Jenna",,15,3-4,1-1,0-0,0-1,1,1,4,1,1,1,7,Scranton,Elizabethtown_Scranton_1-8-2025
05,"Gorski,Katie",,19,2-3,0-0,2-2,1-5,6,0,2,0,1,0,6,Scranton,Elizabethtown_Scranton_1-8-2025
14,"Stoupakis,Natalie",,7,0-0,0-0,0-0,0-0,0,1,1,1,0,1,0,Scranton,Elizabethtown_Scranton_1-8-2025
