##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,Jessica King,*,30,7-15,0-0,6-6,4-4,8,1,1,1,0,3,20,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
34,DaniRae Renno,*,27,7-13,0-0,4-4,3-12,15,3,0,2,1,1,18,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
04,Cyleigh Wilson,*,32,2-4,1-2,2-2,0-3,3,2,4,2,0,4,7,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
25,Summer McNulty,*,27,3-12,1-5,0-0,1-0,1,2,3,3,0,2,7,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
02,Makenna Mummert,*,30,1-5,0-1,4-4,1-1,2,3,1,5,0,2,6,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
31,Allyia Kennedy,,13,2-5,0-0,1-1,0-4,4,1,0,3,0,1,5,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
03,Lindsay Boyd,,14,1-4,0-0,0-0,0-0,0,2,1,0,0,2,2,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
24,Ellie Fasick,,2,0-1,0-0,1-2,0-0,0,1,0,0,0,0,1,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
05,Ella Gordon,,13,0-1,0-1,0-0,1-0,1,1,0,1,0,0,0,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
13,Taylor Huyck,,6,0-2,0-2,0-0,1-0,1,0,0,0,0,0,0,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
35,Cass Peris,,6,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Elizabethtown,Elizabethtown_Wilkes_1-6-2024
21,Erin Shober,*,29,6-11,0-1,2-4,0-7,7,3,0,2,3,1,14,Wilkes,Elizabethtown_Wilkes_1-6-2024
11,Yamirelis Matos,*,26,4-8,0-1,3-4,0-0,0,3,2,4,0,4,11,Wilkes,Elizabethtown_Wilkes_1-6-2024
05,Brenna Babcock,*,30,3-7,0-0,2-2,1-3,4,2,3,4,1,3,8,Wilkes,Elizabethtown_Wilkes_1-6-2024
02,Julia Marino,*,31,2-6,0-1,0-0,0-3,3,0,4,6,1,1,4,Wilkes,Elizabethtown_Wilkes_1-6-2024
12,Taylor Simpson,*,29,1-5,1-3,0-0,0-2,2,2,1,1,0,0,3,Wilkes,Elizabethtown_Wilkes_1-6-2024
22,Emma Stout,,18,3-4,3-4,0-0,1-2,3,1,0,2,0,0,9,Wilkes,Elizabethtown_Wilkes_1-6-2024
00,Julianna Askins,,11,2-2,1-1,0-0,0-1,1,1,0,0,0,0,5,Wilkes,Elizabethtown_Wilkes_1-6-2024
04,Madison Robel,,13,0-2,0-0,0-2,0-2,2,4,0,5,1,1,0,Wilkes,Elizabethtown_Wilkes_1-6-2024
13,Reagan Holden,,13,0-1,0-1,0-0,0-1,1,1,0,0,0,0,0,Wilkes,Elizabethtown_Wilkes_1-6-2024
