##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,Veronica Christ,*,44,8-18,1-6,4-6,5-3,8,4,5,2,0,3,21,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
04,Cyleigh Wilson,*,40,7-13,6-10,0-0,0-1,1,3,0,2,0,1,20,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
30,Jessica King,*,29,5-9,0-0,1-2,3-8,11,5,2,3,1,1,11,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
10,Summer McNulty,*,30,3-7,0-1,2-2,2-7,9,1,3,3,0,1,8,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
34,DaniRae Renno,*,14,0-1,0-0,1-2,0-0,0,3,1,3,0,0,1,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
13,Taylor Huyck,,17,2-7,1-2,0-0,1-2,3,4,0,1,0,0,5,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
21,Emily Prowell,,12,2-5,0-0,0-0,0-1,1,3,0,2,0,0,4,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
03,Lindsay Boyd,,24,0-5,0-4,0-0,1-5,6,2,3,4,1,1,0,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
33,Clare Marchese,,12,0-0,0-0,0-2,1-0,1,2,0,0,0,0,0,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
31,Emily Kramer,,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
35,Cassandra Peris,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
TM,TMTeam,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0,Elizabethtown,Elizabethtown_York (Pa.)_11-29-2021
11,Savannah Wilson,*,40,6-15,0-3,6-6,2-3,5,1,1,4,0,2,18,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
23,Alana Bortner,*,41,4-9,3-8,4-4,0-1,1,1,3,0,0,0,15,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
03,Cassidy Arnold,*,31,3-8,0-0,7-8,3-6,9,3,1,3,0,0,13,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
21,Kayla Ferris,*,41,2-9,1-2,7-10,2-9,11,4,2,1,1,5,12,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
25,Bradi Zumbrum,*,29,4-10,0-0,3-4,5-4,9,5,2,3,1,2,11,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
14,Taylor Burda,,10,1-6,1-5,2-2,0-1,1,0,1,0,0,1,5,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
22,Brooklyn Naylor,,19,0-4,0-0,0-0,0-2,2,1,0,1,0,0,0,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
33,Meghan Carlson,,7,0-2,0-0,0-0,1-0,1,0,0,1,0,0,0,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
13,Meghan Leininger,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
34,Alyssa Hocker,,3,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
20,Taylor Brenneman,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
TM,TMTeam,,0,0-0,0-0,0-0,3-2,5,0,0,0,0,0,0,York (Pa.),Elizabethtown_York (Pa.)_11-29-2021
