##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Lynch,Kolby",*,30,6-19,0-2,1-2,4-3,7,3,3,3,1,6,13,FDU-Florham,FDU-Florham_Drew_12-14-2024
11,"Centeno,Christina",*,33,4-12,2-7,1-2,0-2,2,1,1,2,0,0,11,FDU-Florham,FDU-Florham_Drew_12-14-2024
25,"Sode,Bianca",*,30,5-14,0-0,1-3,4-5,9,4,4,5,2,2,11,FDU-Florham,FDU-Florham_Drew_12-14-2024
14,"Tighe,Shannon",*,31,5-9,0-3,0-0,1-9,10,3,4,5,0,0,10,FDU-Florham,FDU-Florham_Drew_12-14-2024
05,"Walker,Gabrielle",*,12,1-5,0-0,0-0,0-0,0,5,0,1,0,1,2,FDU-Florham,FDU-Florham_Drew_12-14-2024
04,"Fifield,Amaya",,25,1-5,0-2,3-3,1-1,2,2,1,3,0,2,5,FDU-Florham,FDU-Florham_Drew_12-14-2024
10,"Mellon,Kristen",,12,1-3,0-1,0-0,0-0,0,0,0,1,0,0,2,FDU-Florham,FDU-Florham_Drew_12-14-2024
33,"Doud,Ella",,6,1-2,0-0,0-0,1-2,3,0,0,3,0,0,2,FDU-Florham,FDU-Florham_Drew_12-14-2024
23,"Knight,Destiny",,9,0-2,0-2,0-0,0-1,1,2,0,1,0,0,0,FDU-Florham,FDU-Florham_Drew_12-14-2024
31,"Purse,Mai",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,FDU-Florham,FDU-Florham_Drew_12-14-2024
21,"Relovsky,Jasmine",,3,0-1,0-0,0-0,0-0,0,0,1,1,0,0,0,FDU-Florham,FDU-Florham_Drew_12-14-2024
12,"Flynn,Riley",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,FDU-Florham,FDU-Florham_Drew_12-14-2024
35,"Mazzotte,Gabrielle",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,FDU-Florham,FDU-Florham_Drew_12-14-2024
32,"Flatt,Briana",,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,FDU-Florham,FDU-Florham_Drew_12-14-2024
14,"Pica,Gianna",*,28,7-21,2-7,5-8,4-4,8,1,0,2,0,5,21,Drew,FDU-Florham_Drew_12-14-2024
30,"Diaz,Miabella",*,23,5-11,2-5,2-2,5-2,7,2,3,1,0,2,14,Drew,FDU-Florham_Drew_12-14-2024
02,"Beyer,Maddie",*,24,2-2,1-1,6-6,1-2,3,1,6,3,1,1,11,Drew,FDU-Florham_Drew_12-14-2024
04,"Rachilla,Amy",*,30,3-9,1-4,3-8,4-4,8,0,1,4,0,1,10,Drew,FDU-Florham_Drew_12-14-2024
20,"Hezel,Brenna",*,25,2-5,0-0,0-0,1-8,9,4,1,1,2,0,4,Drew,FDU-Florham_Drew_12-14-2024
22,"Hezel,Gracie",,13,2-2,0-0,4-4,1-4,5,0,0,1,1,1,8,Drew,FDU-Florham_Drew_12-14-2024
24,"Altomare,Alice",,16,3-10,1-8,0-0,0-1,1,1,2,2,0,1,7,Drew,FDU-Florham_Drew_12-14-2024
23,"Aliotta,Olivia",,12,2-3,1-1,0-1,0-0,0,3,1,1,0,1,5,Drew,FDU-Florham_Drew_12-14-2024
03,"Lalo,Isabelle",,8,2-3,1-2,0-0,0-1,1,0,1,0,0,1,5,Drew,FDU-Florham_Drew_12-14-2024
11,"Kingsley,Jocelyn",,15,0-3,0-2,0-0,0-3,3,1,1,2,0,0,0,Drew,FDU-Florham_Drew_12-14-2024
10,"Bass,Emily",,2,0-2,0-1,0-0,0-1,1,0,0,1,0,1,0,Drew,FDU-Florham_Drew_12-14-2024
15,"Debenedittis,Darcy",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,FDU-Florham_Drew_12-14-2024
50,"Hartman,Mia",,2,0-1,0-0,0-0,1-1,2,0,0,0,0,1,0,Drew,FDU-Florham_Drew_12-14-2024
