##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,"Perry,Cassidy",*,25,8-10,0-0,2-2,0-8,8,5,0,2,1,4,18,Gallaudet,Gallaudet_Goucher_11-30-2022
34,"Pothorski,Anya",*,36,4-9,0-0,0-1,3-2,5,2,0,3,3,0,8,Gallaudet,Gallaudet_Goucher_11-30-2022
02,"Rocha,Jewel",*,37,1-8,0-3,0-0,0-2,2,0,0,3,0,0,2,Gallaudet,Gallaudet_Goucher_11-30-2022
05,"Brown,Olivia",*,27,0-4,0-0,2-4,2-6,8,3,2,7,0,2,2,Gallaudet,Gallaudet_Goucher_11-30-2022
15,"Rochette,Shayla",*,22,0-5,0-0,2-4,1-1,2,3,0,3,0,1,2,Gallaudet,Gallaudet_Goucher_11-30-2022
25,"Goldstein,Bree",,27,1-11,0-1,2-2,1-3,4,1,1,3,0,1,4,Gallaudet,Gallaudet_Goucher_11-30-2022
01,"Schmidjorg,Sunita",,25,0-6,0-0,0-0,0-1,1,3,3,1,0,1,0,Gallaudet,Gallaudet_Goucher_11-30-2022
44,"Hill,Lexi",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Gallaudet,Gallaudet_Goucher_11-30-2022
05,"Smith,Kyla",*,39,9-30,3-16,3-4,2-10,12,1,1,7,0,2,24,Goucher,Gallaudet_Goucher_11-30-2022
15,"Lawrence,Kendra",*,39,6-15,2-4,0-2,5-11,16,3,1,2,3,2,14,Goucher,Gallaudet_Goucher_11-30-2022
00,"Taylor,Kya",*,14,2-3,0-0,1-2,2-1,3,2,0,0,1,0,5,Goucher,Gallaudet_Goucher_11-30-2022
23,"Quarles,Kyani",*,17,0-1,0-0,2-4,4-0,4,4,1,3,0,1,2,Goucher,Gallaudet_Goucher_11-30-2022
22,"Nwuli,Sydney",*,37,0-4,0-0,0-2,3-4,7,3,2,4,1,0,0,Goucher,Gallaudet_Goucher_11-30-2022
03,"Pace,GVahn",,35,0-6,0-1,2-2,0-1,1,4,3,4,0,1,2,Goucher,Gallaudet_Goucher_11-30-2022
30,"Cox,Ava",,16,1-4,0-0,0-0,0-2,2,1,0,0,0,1,2,Goucher,Gallaudet_Goucher_11-30-2022
25,"Bailey,Lydia",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Goucher,Gallaudet_Goucher_11-30-2022
