##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Yoshitake,Erin",*,24,5-13,4-6,1-2,1-2,3,0,0,1,0,1,15,George Fox,George Fox_Scranton_12-29-2022
11,"Lacey,Jenna",*,22,4-7,0-0,0-0,2-1,3,3,2,2,0,0,8,George Fox,George Fox_Scranton_12-29-2022
04,"Roberts,Ella",*,19,2-9,0-5,1-2,0-3,3,3,0,3,0,2,5,George Fox,George Fox_Scranton_12-29-2022
24,"Borter,Alexa",*,26,1-4,0-0,1-2,6-2,8,4,0,3,0,0,3,George Fox,George Fox_Scranton_12-29-2022
25,"Stephens,Emily",*,19,1-5,0-0,0-0,0-4,4,3,0,1,0,0,2,George Fox,George Fox_Scranton_12-29-2022
23,"Wells,Alyssa",,24,3-5,2-4,0-0,0-2,2,2,3,2,0,3,8,George Fox,George Fox_Scranton_12-29-2022
20,"Hinds,Claire",,19,1-3,0-1,0-0,2-6,8,1,0,1,0,0,2,George Fox,George Fox_Scranton_12-29-2022
10,"Eggers,Jaela",,15,1-4,0-2,0-0,1-0,1,1,2,1,0,0,2,George Fox,George Fox_Scranton_12-29-2022
03,"Reed,Emma",,14,1-7,0-3,0-0,0-0,0,1,1,1,0,0,2,George Fox,George Fox_Scranton_12-29-2022
13,"Ritter,Kylie",,14,0-3,0-2,0-0,0-2,2,3,1,2,0,0,0,George Fox,George Fox_Scranton_12-29-2022
14,"Schumacher,Madeline",,2,0-1,0-1,0-0,0-0,0,0,0,2,0,0,0,George Fox,George Fox_Scranton_12-29-2022
15,"Bartels,Marissa",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,George Fox,George Fox_Scranton_12-29-2022
11,"Kranson,Kaci",*,31,6-13,1-2,9-10,2-1,3,3,0,1,2,0,22,Scranton,George Fox_Scranton_12-29-2022
21,"Ryan,Maddy",*,30,8-11,0-0,5-6,2-5,7,0,1,0,1,2,21,Scranton,George Fox_Scranton_12-29-2022
24,"Monaghan,Bridget",*,34,5-13,3-6,6-9,1-6,7,1,3,2,1,1,19,Scranton,George Fox_Scranton_12-29-2022
00,"Angelini,Hannah",*,30,3-5,0-0,0-0,0-3,3,1,1,1,0,3,6,Scranton,George Fox_Scranton_12-29-2022
20,"Rajza,Samantha",*,28,2-8,1-6,0-0,0-5,5,0,7,2,0,2,5,Scranton,George Fox_Scranton_12-29-2022
13,"Hartnett,Maddie",,17,1-3,1-2,0-0,0-2,2,4,1,1,0,1,3,Scranton,George Fox_Scranton_12-29-2022
02,"Bender,Ashlyn",,3,1-1,1-1,0-0,0-1,1,0,0,1,0,0,3,Scranton,George Fox_Scranton_12-29-2022
10,"Lynch,Allie",,9,0-0,0-0,1-2,1-0,1,0,1,1,0,2,1,Scranton,George Fox_Scranton_12-29-2022
32,"Walsh,Sara",,7,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Scranton,George Fox_Scranton_12-29-2022
03,"Brewer,Morgan",,3,0-1,0-1,0-0,0-0,0,0,0,1,0,2,0,Scranton,George Fox_Scranton_12-29-2022
22,"Nolan,Leah",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,George Fox_Scranton_12-29-2022
23,"Larrabee,Jenna",,2,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Scranton,George Fox_Scranton_12-29-2022
25,"Duerr,Emma",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,George Fox_Scranton_12-29-2022
30,"Steele,Mackenzie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,George Fox_Scranton_12-29-2022
