##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Quarles,Kyani",*,39,5-8,0-0,5-5,10-3,13,3,1,3,0,3,15,Goucher,Goucher_Alfred_12-29-2022
05,"Smith,Kyla",*,27,3-19,0-9,2-2,0-5,5,4,6,3,0,4,8,Goucher,Goucher_Alfred_12-29-2022
15,"Lawrence,Kendra",*,14,3-12,0-0,0-0,4-0,4,5,0,3,0,2,6,Goucher,Goucher_Alfred_12-29-2022
22,"Nwuli,Sydney",*,21,1-3,0-0,0-1,3-5,8,5,0,2,0,0,2,Goucher,Goucher_Alfred_12-29-2022
03,"Pace,GVahn",*,9,1-2,0-1,0-0,0-0,0,0,1,0,0,0,2,Goucher,Goucher_Alfred_12-29-2022
20,"Kuhlman,Alexis",,32,4-10,3-6,2-2,0-7,7,5,1,3,1,0,13,Goucher,Goucher_Alfred_12-29-2022
12,"Haggins,Briyah",,16,1-6,0-1,1-1,1-2,3,2,1,3,0,0,3,Goucher,Goucher_Alfred_12-29-2022
04,"Cavoli,Julia",,29,1-9,0-5,0-0,1-1,2,1,1,2,0,1,2,Goucher,Goucher_Alfred_12-29-2022
30,"Cox,Ava",,7,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Goucher,Goucher_Alfred_12-29-2022
14,"McFadden,Alayna",,4,0-1,0-0,0-0,1-0,1,0,0,4,0,0,0,Goucher,Goucher_Alfred_12-29-2022
21,"Flynn,Claire",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Alfred_12-29-2022
20,"Flint,Gillian",*,32,5-11,2-8,2-3,2-3,5,1,1,1,0,4,14,Alfred,Goucher_Alfred_12-29-2022
15,"Harkenrider,Leah",*,35,5-20,1-11,1-2,2-4,6,2,3,4,1,3,12,Alfred,Goucher_Alfred_12-29-2022
04,"Rittenhouse,Grace",*,26,3-11,1-8,2-2,2-2,4,3,0,0,0,0,9,Alfred,Goucher_Alfred_12-29-2022
23,"Stewart,Felicia",*,23,2-4,0-1,0-0,1-4,5,5,1,2,1,1,4,Alfred,Goucher_Alfred_12-29-2022
10,"Welty,Karly",*,30,0-6,0-2,2-10,3-6,9,1,4,4,0,5,2,Alfred,Goucher_Alfred_12-29-2022
14,"O'Toole,Allison",,28,2-6,2-5,2-6,1-3,4,1,2,6,2,0,8,Alfred,Goucher_Alfred_12-29-2022
33,"Cannon,Mackenzie",,7,2-3,0-0,0-2,3-0,3,1,0,0,0,0,4,Alfred,Goucher_Alfred_12-29-2022
03,"Jewett,Rebecca",,19,0-2,0-2,0-0,0-1,1,0,0,2,1,0,0,Alfred,Goucher_Alfred_12-29-2022
