##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Turner,Merci",*,30,5-11,3-6,4-8,1-7,8,2,1,7,0,2,17,Goucher,Goucher_Catholic_1-17-2024
03,"Villanueva,Maiya",*,38,4-14,1-6,2-2,1-0,1,1,4,3,0,3,11,Goucher,Goucher_Catholic_1-17-2024
04,"Cavoli,Julia",*,29,3-6,2-5,0-0,1-2,3,5,1,3,0,0,8,Goucher,Goucher_Catholic_1-17-2024
12,"Haggins,Briyah",*,33,2-6,1-5,0-0,2-2,4,2,3,4,0,3,5,Goucher,Goucher_Catholic_1-17-2024
21,"Holmes,Savannah",*,27,1-11,0-3,0-2,1-7,8,4,1,1,0,2,2,Goucher,Goucher_Catholic_1-17-2024
34,"Sherman,Darby",,11,2-8,1-6,1-2,0-2,2,0,0,1,0,0,6,Goucher,Goucher_Catholic_1-17-2024
44,"McCoy,Zion",,23,1-5,0-0,2-4,4-2,6,1,1,3,0,0,4,Goucher,Goucher_Catholic_1-17-2024
10,"Lavaux,Louise",,9,0-0,0-0,0-2,0-1,1,0,0,1,0,0,0,Goucher,Goucher_Catholic_1-17-2024
22,"Mulvaney,Carly",*,21,5-6,1-1,2-2,1-4,5,0,4,0,0,3,13,Catholic,Goucher_Catholic_1-17-2024
10,"Flaherty,Kerry",*,15,5-11,2-6,1-2,1-2,3,2,0,0,0,0,13,Catholic,Goucher_Catholic_1-17-2024
13,"Scoblick,Anna",*,18,4-5,0-0,4-4,5-5,10,1,7,3,0,1,12,Catholic,Goucher_Catholic_1-17-2024
05,"White,Sarah",*,23,3-12,1-6,2-2,0-6,6,2,4,2,0,7,9,Catholic,Goucher_Catholic_1-17-2024
30,"Fernandez,Tori",*,20,2-9,2-5,0-0,1-1,2,0,4,1,0,4,6,Catholic,Goucher_Catholic_1-17-2024
11,"Kennedy,Amelia",,19,5-7,0-1,4-4,3-3,6,1,0,4,0,1,14,Catholic,Goucher_Catholic_1-17-2024
20,"Beirne,Kaleigh",,14,4-8,0-1,2-2,0-2,2,3,1,0,0,0,10,Catholic,Goucher_Catholic_1-17-2024
04,"McLaughlin,Molly",,13,2-3,0-1,0-0,0-3,3,1,2,1,0,0,4,Catholic,Goucher_Catholic_1-17-2024
12,"Hanley,Sydney",,10,2-3,0-0,0-0,1-2,3,1,0,0,0,0,4,Catholic,Goucher_Catholic_1-17-2024
15,"Aromando,Molly",,9,1-3,1-3,0-0,1-2,3,0,0,2,0,0,3,Catholic,Goucher_Catholic_1-17-2024
25,"Iacone,Ella",,5,1-3,0-1,1-1,0-0,0,3,0,0,0,0,3,Catholic,Goucher_Catholic_1-17-2024
03,"Travieso,Sofia",,10,1-2,0-0,0-0,1-3,4,0,1,0,0,0,2,Catholic,Goucher_Catholic_1-17-2024
21,"Cronin,Sophie",,6,1-5,0-3,0-0,0-0,0,0,0,1,0,0,2,Catholic,Goucher_Catholic_1-17-2024
02,"Melchionni,Anna",,6,0-1,0-0,0-0,1-1,2,0,1,0,0,0,0,Catholic,Goucher_Catholic_1-17-2024
34,"Hughes,Maggie",,4,0-1,0-0,0-0,0-1,1,0,1,0,0,0,0,Catholic,Goucher_Catholic_1-17-2024
50,"Dragone,Angelina",,4,0-2,0-0,0-0,0-0,0,1,0,1,0,0,0,Catholic,Goucher_Catholic_1-17-2024
43,"DeGross,Sienna",,3,0-1,0-0,0-0,2-0,2,0,0,0,0,0,0,Catholic,Goucher_Catholic_1-17-2024
