##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,Kyla Smith,*,23,4-13,1-6,5-6,0-4,4,2,0,8,0,1,14,Goucher,Goucher_Chris. Newport_11-19-2022
04,Julia Cavoli,*,29,1-5,1-1,0-0,0-0,0,4,0,3,0,1,3,Goucher,Goucher_Chris. Newport_11-19-2022
12,Briyah Haggins,*,34,0-13,0-4,0-0,1-3,4,3,1,8,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
21,Claire Flynn,*,24,0-1,0-1,0-0,0-1,1,3,0,1,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
22,Sydney Nwuli,*,24,0-3,0-0,0-0,2-2,4,4,0,2,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
00,Kya Taylor,,10,3-3,0-0,0-0,0-0,0,0,0,2,0,0,6,Goucher,Goucher_Chris. Newport_11-19-2022
03,GVahn Pace,,28,0-1,0-0,0-0,0-0,0,3,1,9,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
15,Kendra Lawrence,,11,0-2,0-0,0-0,0-1,1,1,0,4,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
30,Ava Cox,,11,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
25,Lydia Bailey,,6,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Goucher,Goucher_Chris. Newport_11-19-2022
23,Hannah Kaloi,*,14,8-9,1-1,1-1,4-4,8,1,2,0,3,2,18,Chris. Newport,Goucher_Chris. Newport_11-19-2022
01,Lauren Fortescue,*,15,4-7,2-4,4-4,0-5,5,0,4,1,0,4,14,Chris. Newport,Goucher_Chris. Newport_11-19-2022
30,Katy Rader,*,14,4-6,4-6,2-2,2-0,2,0,2,0,0,1,14,Chris. Newport,Goucher_Chris. Newport_11-19-2022
32,Anaya Simmons,*,13,5-5,0-0,3-3,2-2,4,0,0,0,0,1,13,Chris. Newport,Goucher_Chris. Newport_11-19-2022
03,Gabbi San Diego,*,13,2-6,1-4,0-0,0-1,1,1,6,0,1,1,5,Chris. Newport,Goucher_Chris. Newport_11-19-2022
25,Alexia Lindsey,,17,4-8,1-4,3-4,4-1,5,1,2,0,0,2,12,Chris. Newport,Goucher_Chris. Newport_11-19-2022
42,Ashley Steadman,,11,4-9,2-3,0-0,3-1,4,1,1,0,1,0,10,Chris. Newport,Goucher_Chris. Newport_11-19-2022
21,Hannah Orloff,,16,4-4,0-0,1-2,3-2,5,0,3,1,3,1,9,Chris. Newport,Goucher_Chris. Newport_11-19-2022
05,Camille Malagar,,18,3-7,2-4,0-0,0-3,3,2,5,0,0,3,8,Chris. Newport,Goucher_Chris. Newport_11-19-2022
24,Alivia Giles,,16,3-6,0-1,1-4,2-4,6,2,1,0,0,2,7,Chris. Newport,Goucher_Chris. Newport_11-19-2022
22,Faith Henderson,,16,1-4,1-4,0-0,1-0,1,0,1,1,0,3,3,Chris. Newport,Goucher_Chris. Newport_11-19-2022
02,Hailey Kellogg,,15,1-3,1-3,0-0,0-0,0,0,2,3,0,3,3,Chris. Newport,Goucher_Chris. Newport_11-19-2022
33,Makenna Zimmerman,,11,1-2,0-0,1-2,2-2,4,2,0,1,2,1,3,Chris. Newport,Goucher_Chris. Newport_11-19-2022
04,Taylor Rawls,,11,0-3,0-3,1-2,0-2,2,0,3,3,0,3,1,Chris. Newport,Goucher_Chris. Newport_11-19-2022
