##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,"Carini,Belle",*,35,6-13,0-1,0-0,1-2,3,2,2,3,0,1,12,Goucher,Goucher_Drew_2-19-2022
23,"Quarles,Kyani",*,33,3-7,0-0,4-7,3-3,6,3,0,2,2,3,10,Goucher,Goucher_Drew_2-19-2022
12,"Haggins,Briyah",*,35,3-9,2-5,0-0,0-0,0,4,4,7,0,2,8,Goucher,Goucher_Drew_2-19-2022
21,"McFadden,Alayna",*,26,2-8,1-3,1-3,1-3,4,5,7,4,0,6,6,Goucher,Goucher_Drew_2-19-2022
34,"Cavoli,Julia",*,19,2-8,1-4,0-0,0-0,0,5,1,2,0,0,5,Goucher,Goucher_Drew_2-19-2022
22,"Nwuli,Sydney",,22,3-9,0-0,0-0,2-5,7,3,1,2,0,1,6,Goucher,Goucher_Drew_2-19-2022
30,"Cox,Ava",,15,1-7,0-0,0-0,0-0,0,0,0,2,0,0,2,Goucher,Goucher_Drew_2-19-2022
05,"Gonzales,Serrena",,13,0-0,0-0,0-0,0-0,0,0,1,3,0,0,0,Goucher,Goucher_Drew_2-19-2022
25,"Bailey,Lydia",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Goucher,Goucher_Drew_2-19-2022
20,"Frederick,Erin",*,36,12-19,0-0,0-2,1-4,5,3,1,7,0,0,24,Drew,Goucher_Drew_2-19-2022
05,"Genua,Micela",*,15,2-3,0-0,1-2,1-1,2,0,4,0,0,3,5,Drew,Goucher_Drew_2-19-2022
15,"Kracht,Cecelia",*,21,1-1,0-0,2-3,3-1,4,1,2,0,3,3,4,Drew,Goucher_Drew_2-19-2022
22,"Timinski,Brooke",*,16,1-3,0-1,0-0,0-2,2,1,3,1,0,1,2,Drew,Goucher_Drew_2-19-2022
11,"Cruse,Lauren",*,14,1-3,0-1,0-0,1-2,3,2,3,0,0,1,2,Drew,Goucher_Drew_2-19-2022
23,"Meyers,Joey",,29,12-16,1-4,5-6,1-8,9,2,4,6,0,6,30,Drew,Goucher_Drew_2-19-2022
02,"Alberici,Gwen",,18,1-3,0-0,3-4,1-2,3,0,2,2,0,2,5,Drew,Goucher_Drew_2-19-2022
04,"Wojtowicz,Katrina",,15,1-3,1-3,1-2,0-3,3,1,1,2,1,0,4,Drew,Goucher_Drew_2-19-2022
25,"Struble,Jamie",,15,1-2,0-0,0-0,0-1,1,2,0,3,0,0,2,Drew,Goucher_Drew_2-19-2022
03,"Lalo,Izzy",,3,1-2,0-1,0-1,0-1,1,1,0,0,0,0,2,Drew,Goucher_Drew_2-19-2022
13,"Mann,Kyra",,13,0-2,0-0,0-0,0-3,3,0,1,0,0,0,0,Drew,Goucher_Drew_2-19-2022
10,"Graff,Carlye",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Goucher_Drew_2-19-2022
