##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Alexis Kuhlman,*,31,6-13,2-6,1-2,1-3,4,2,0,2,0,2,15,Goucher,Goucher_Elizabethtown_1-21-2023
05,Kyla Smith,*,30,4-12,1-5,1-2,1-3,4,3,2,4,0,0,10,Goucher,Goucher_Elizabethtown_1-21-2023
04,Julia Cavoli,*,30,2-4,1-3,1-2,1-1,2,2,1,1,0,0,6,Goucher,Goucher_Elizabethtown_1-21-2023
23,Kyani Quarles,*,29,1-4,0-0,0-0,3-1,4,3,0,1,0,1,2,Goucher,Goucher_Elizabethtown_1-21-2023
22,Sydney Nwuli,*,20,0-1,0-0,2-4,2-0,2,1,0,2,0,1,2,Goucher,Goucher_Elizabethtown_1-21-2023
14,Alayna McFadden,,21,4-11,1-2,3-5,0-0,0,1,3,2,0,1,12,Goucher,Goucher_Elizabethtown_1-21-2023
15,Kendra Lawrence,,19,3-13,0-0,0-0,5-5,10,2,2,1,0,0,6,Goucher,Goucher_Elizabethtown_1-21-2023
12,Briyah Haggins,,16,1-4,0-0,0-0,1-3,4,1,0,1,0,1,2,Goucher,Goucher_Elizabethtown_1-21-2023
03,GVahn Pace,,2,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0,Goucher,Goucher_Elizabethtown_1-21-2023
30,Ava Cox,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Elizabethtown_1-21-2023
21,Claire Flynn,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Elizabethtown_1-21-2023
04,Cyleigh Wilson,*,35,6-10,6-9,1-2,0-3,3,2,4,1,0,0,19,Elizabethtown,Goucher_Elizabethtown_1-21-2023
03,Lindsay Boyd,*,22,6-10,2-3,0-0,1-4,5,3,4,0,2,3,14,Elizabethtown,Goucher_Elizabethtown_1-21-2023
34,DaniRae Renno,*,25,5-8,0-0,0-2,2-2,4,2,2,0,2,2,10,Elizabethtown,Goucher_Elizabethtown_1-21-2023
25,Summer McNulty,*,25,3-8,1-4,2-2,0-3,3,1,6,2,1,1,9,Elizabethtown,Goucher_Elizabethtown_1-21-2023
30,Jessica King,*,25,3-3,0-0,2-2,1-1,2,0,1,2,0,0,8,Elizabethtown,Goucher_Elizabethtown_1-21-2023
13,Taylor Huyck,,15,2-4,2-3,2-2,0-1,1,2,2,2,0,1,8,Elizabethtown,Goucher_Elizabethtown_1-21-2023
02,Makenna Mummert,,18,3-7,1-2,0-0,2-3,5,2,3,2,0,0,7,Elizabethtown,Goucher_Elizabethtown_1-21-2023
31,Allyia Kennedy,,9,2-3,0-0,1-2,1-1,2,1,0,0,1,0,5,Elizabethtown,Goucher_Elizabethtown_1-21-2023
35,Cass Peris,,10,1-2,0-0,0-0,0-2,2,1,2,0,1,0,2,Elizabethtown,Goucher_Elizabethtown_1-21-2023
12,Georgia Panopoulos,,5,1-2,0-0,0-0,0-0,0,0,0,0,0,0,2,Elizabethtown,Goucher_Elizabethtown_1-21-2023
33,Clare Marchese,,6,0-2,0-2,0-0,1-1,2,0,1,1,0,1,0,Elizabethtown,Goucher_Elizabethtown_1-21-2023
24,Ellie Fasick,,3,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Elizabethtown,Goucher_Elizabethtown_1-21-2023
05,Megan Desmet,,2,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Elizabethtown,Goucher_Elizabethtown_1-21-2023
