##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,Anise Williams,*,30,4-16,0-0,4-5,1-4,5,4,4,1,0,10,12,Goucher,Goucher_Gallaudet_12-8-2021
34,Julia Cavoli,*,23,3-11,1-8,2-2,1-0,1,2,0,0,0,0,9,Goucher,Goucher_Gallaudet_12-8-2021
22,Sydney Nwuli,*,27,2-8,0-0,0-2,6-4,10,2,1,4,0,2,4,Goucher,Goucher_Gallaudet_12-8-2021
03,Jorryn Avery,*,23,2-6,0-2,0-2,0-0,0,2,1,1,0,1,4,Goucher,Goucher_Gallaudet_12-8-2021
32,Claire Flynn,*,9,0-4,0-4,0-0,0-0,0,2,0,1,0,0,0,Goucher,Goucher_Gallaudet_12-8-2021
21,Alayna McFadden,,26,5-17,0-2,4-5,4-3,7,1,1,0,0,2,14,Goucher,Goucher_Gallaudet_12-8-2021
15,Ta'Niya Kees,,13,2-4,0-1,5-8,2-1,3,4,0,2,1,1,9,Goucher,Goucher_Gallaudet_12-8-2021
10,Belle Carini,,17,1-6,0-0,0-0,1-0,1,1,1,1,0,1,2,Goucher,Goucher_Gallaudet_12-8-2021
12,Briyah Haggins,,17,0-4,0-0,0-0,1-1,2,3,1,2,0,0,0,Goucher,Goucher_Gallaudet_12-8-2021
05,Serrena Gonzales,,9,0-1,0-0,0-0,0-0,0,4,1,1,0,0,0,Goucher,Goucher_Gallaudet_12-8-2021
25,Lydia Bailey,,5,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Goucher,Goucher_Gallaudet_12-8-2021
30,Ava Cox,,1,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Gallaudet_12-8-2021
04,Cassidy Perry,*,35,9-21,0-0,7-9,3-13,16,2,4,6,2,2,25,Gallaudet,Goucher_Gallaudet_12-8-2021
05,Emelia Beldon,*,38,4-10,0-1,7-10,1-5,6,2,5,10,0,1,15,Gallaudet,Goucher_Gallaudet_12-8-2021
21,Hannah Puent,*,11,1-2,0-0,0-0,4-3,7,1,0,1,0,0,2,Gallaudet,Goucher_Gallaudet_12-8-2021
03,Rajena Guettler,*,18,0-3,0-0,1-3,2-3,5,2,0,0,0,0,1,Gallaudet,Goucher_Gallaudet_12-8-2021
24,Ariel Senics,*,34,0-1,0-0,0-0,2-4,6,1,4,1,0,1,0,Gallaudet,Goucher_Gallaudet_12-8-2021
11,Serenity Fry,,24,3-6,0-0,0-1,2-1,3,4,1,2,1,1,6,Gallaudet,Goucher_Gallaudet_12-8-2021
34,Anya Pothorski,,8,3-3,0-0,0-0,0-6,6,2,0,3,1,1,6,Gallaudet,Goucher_Gallaudet_12-8-2021
02,Jewel Rocha,,27,1-6,1-2,2-2,1-3,4,2,2,9,1,3,5,Gallaudet,Goucher_Gallaudet_12-8-2021
12,Agatha Niemela,,2,0-0,0-0,1-2,0-1,1,0,0,0,0,0,1,Gallaudet,Goucher_Gallaudet_12-8-2021
13,Shayla Rochette,,3,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Gallaudet,Goucher_Gallaudet_12-8-2021
