##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,"Boykin,Meona",*,12,4-11,0-3,4-6,3-3,6,3,1,5,0,2,12,Goucher,Goucher_Hunter_3-8-2025
23,"Towns,Lauryn",*,17,2-6,1-2,2-4,2-5,7,5,4,3,0,2,7,Goucher,Goucher_Hunter_3-8-2025
22,"Turner,Merci",*,15,3-8,1-4,0-1,1-0,1,3,0,2,0,1,7,Goucher,Goucher_Hunter_3-8-2025
25,"Knox,Sanai",*,14,2-4,0-0,1-2,4-1,5,3,2,3,0,1,5,Goucher,Goucher_Hunter_3-8-2025
03,"Villanueva,Maiya",*,15,0-6,0-4,4-4,2-0,2,1,1,1,0,0,4,Goucher,Goucher_Hunter_3-8-2025
31,"Edens,Nia",,23,7-12,3-6,5-5,0-6,6,3,2,5,0,4,22,Goucher,Goucher_Hunter_3-8-2025
10,"Townsend,Leila",,12,4-5,1-1,0-0,0-0,0,3,0,0,0,2,9,Goucher,Goucher_Hunter_3-8-2025
21,"Holmes,Savannah",,9,3-4,1-2,0-0,1-1,2,0,0,1,0,1,7,Goucher,Goucher_Hunter_3-8-2025
04,"Igwe,Chi",,20,2-7,2-4,0-0,0-4,4,4,0,0,0,3,6,Goucher,Goucher_Hunter_3-8-2025
15,"George,Nia",,15,1-3,1-3,2-2,1-0,1,1,0,2,0,1,5,Goucher,Goucher_Hunter_3-8-2025
12,"Haggins,Briyah",,17,0-1,0-1,2-2,0-0,0,3,5,5,0,2,2,Goucher,Goucher_Hunter_3-8-2025
20,"Whitaker,Amira",,23,0-5,0-2,1-2,2-1,3,2,2,1,0,0,1,Goucher,Goucher_Hunter_3-8-2025
06,"Vaselaros,Kiara",,8,0-2,0-0,0-0,0-0,0,1,1,1,0,0,0,Goucher,Goucher_Hunter_3-8-2025
00,"Charles,Alexa",*,35,15-24,0-1,11-15,5-9,14,4,5,2,0,4,41,Hunter,Goucher_Hunter_3-8-2025
01,"Cosio,Erin",*,27,5-8,4-7,4-6,0-2,2,2,1,7,0,1,18,Hunter,Goucher_Hunter_3-8-2025
42,"Henriques,Gianna",*,29,3-5,0-0,4-7,3-3,6,4,1,4,1,3,10,Hunter,Goucher_Hunter_3-8-2025
02,"Burke,Katie",*,29,3-7,3-7,0-0,0-5,5,2,1,2,1,2,9,Hunter,Goucher_Hunter_3-8-2025
14,"Yode,Eliah",*,14,0-2,0-0,0-2,0-2,2,5,0,5,0,2,0,Hunter,Goucher_Hunter_3-8-2025
11,"Lau,Kimberly",,21,2-2,0-0,5-6,1-1,2,2,4,4,0,0,9,Hunter,Goucher_Hunter_3-8-2025
03,"Murray,Makkedah",,21,2-5,0-1,0-0,0-2,2,2,4,4,0,3,4,Hunter,Goucher_Hunter_3-8-2025
15,"DeRuy,Kennedy",,12,2-4,0-0,0-2,0-1,1,3,1,1,0,2,4,Hunter,Goucher_Hunter_3-8-2025
22,"Yokum,Dorthea",,4,0-0,0-0,1-2,0-0,0,0,0,1,0,0,1,Hunter,Goucher_Hunter_3-8-2025
20,"Stratton,Sophie",,8,0-0,0-0,0-0,0-0,0,0,2,0,0,0,0,Hunter,Goucher_Hunter_3-8-2025
