##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
2,Meona Boykin,*,23,7-17,0-2,3-7,2-2,4,2,1,1,0,3,17,Goucher,Goucher_Juniata_2-15-2025
22,Merci Turner,*,16,3-7,1-3,0-0,0-0,0,4,2,0,0,2,7,Goucher,Goucher_Juniata_2-15-2025
3,Maiya Villanueva,*,14,3-9,1-5,0-0,0-0,0,1,0,1,0,0,7,Goucher,Goucher_Juniata_2-15-2025
25,Sanai Knox,*,20,2-8,0-0,0-0,4-1,5,0,0,0,0,1,4,Goucher,Goucher_Juniata_2-15-2025
23,Lauryn Towns,*,13,2-7,0-1,0-2,1-1,2,2,0,1,0,1,4,Goucher,Goucher_Juniata_2-15-2025
20,Amira Whitaker,,21,7-12,2-3,2-4,1-1,2,1,2,0,0,2,18,Goucher,Goucher_Juniata_2-15-2025
4,Chi Igwe,,14,5-6,0-0,2-2,0-3,3,1,0,0,0,2,12,Goucher,Goucher_Juniata_2-15-2025
31,Nia Edens,,21,3-13,2-5,3-4,1-1,2,4,0,1,0,2,11,Goucher,Goucher_Juniata_2-15-2025
15,Nia George,,16,1-2,1-1,1-2,3-1,4,2,2,0,0,1,4,Goucher,Goucher_Juniata_2-15-2025
10,Leila Townsend,,8,1-2,0-0,0-1,0-1,1,2,1,0,0,1,2,Goucher,Goucher_Juniata_2-15-2025
21,Savannah Holmes,,10,0-1,0-0,1-2,1-2,3,0,1,1,0,0,1,Goucher,Goucher_Juniata_2-15-2025
12,Briyah Haggins,,15,0-3,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Juniata_2-15-2025
6,Key Vaselaros,,9,0-1,0-0,0-0,1-3,4,0,0,1,0,0,0,Goucher,Goucher_Juniata_2-15-2025
TM,TMTeam,,0,0-0,0-0,0-0,3-4,7,0,0,0,0,0,0,Goucher,Goucher_Juniata_2-15-2025
13,Haily Sherman,*,39,16-20,2-2,4-4,0-7,7,2,2,4,2,4,38,Juniata,Goucher_Juniata_2-15-2025
35,Sarah Betts,*,18,1-5,0-0,0-0,1-2,3,2,1,1,0,0,2,Juniata,Goucher_Juniata_2-15-2025
34,Dani Scipioni,*,11,1-1,0-0,0-0,0-0,0,1,2,2,0,0,2,Juniata,Goucher_Juniata_2-15-2025
22,Aleya Eisenberg,*,4,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Juniata,Goucher_Juniata_2-15-2025
40,Emelie Nonemaker,*,12,0-0,0-0,0-0,0-2,2,1,2,3,0,0,0,Juniata,Goucher_Juniata_2-15-2025
43,Emily McCann,,19,3-5,2-3,7-8,0-5,5,1,4,1,0,0,15,Juniata,Goucher_Juniata_2-15-2025
31,Laney Gerdich,,22,3-3,0-0,6-8,3-11,14,1,3,4,0,0,12,Juniata,Goucher_Juniata_2-15-2025
23,Deja Gillo,,21,3-7,2-5,3-4,1-3,4,1,3,4,0,0,11,Juniata,Goucher_Juniata_2-15-2025
21,Bri Bodtorf,,22,3-9,0-0,2-3,0-4,4,4,8,7,0,0,8,Juniata,Goucher_Juniata_2-15-2025
11,Olivia Berg,,30,0-2,0-2,0-0,0-5,5,2,3,1,1,0,0,Juniata,Goucher_Juniata_2-15-2025
24,Emma Coolidge,,1,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Juniata,Goucher_Juniata_2-15-2025
TM,TMTeam,,0,0-0,0-0,0-0,3-5,8,1,0,1,0,0,0,Juniata,Goucher_Juniata_2-15-2025
