##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
34,"Sherman,Darby",*,25,4-13,2-6,1-1,1-3,4,2,2,5,0,0,11,Goucher,Goucher_Lycoming_2-3-2024
12,"Haggins,Briyah",*,40,3-11,1-4,0-0,1-4,5,2,0,4,0,0,7,Goucher,Goucher_Lycoming_2-3-2024
04,"Cavoli,Julia",*,38,3-10,1-7,0-0,3-1,4,2,1,0,1,1,7,Goucher,Goucher_Lycoming_2-3-2024
22,"Turner,Merci",*,31,3-18,1-4,0-2,3-3,6,1,1,3,2,2,7,Goucher,Goucher_Lycoming_2-3-2024
21,"Holmes,Savannah",*,31,3-10,0-2,0-0,5-6,11,2,2,3,1,0,6,Goucher,Goucher_Lycoming_2-3-2024
05,"Johnson,Brianna",,18,1-4,0-1,4-5,2-6,8,3,0,2,0,3,6,Goucher,Goucher_Lycoming_2-3-2024
44,"McCoy,Zion",,12,0-3,0-0,0-0,2-2,4,3,0,0,0,0,0,Goucher,Goucher_Lycoming_2-3-2024
10,"Lavaux,Louise",,5,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Lycoming_2-3-2024
21,"Yoh,Ashley",*,25,4-9,0-0,5-9,6-6,12,1,1,1,2,0,13,Lycoming,Goucher_Lycoming_2-3-2024
22,"Lockard,Emily",*,25,6-13,0-0,0-0,9-8,17,2,1,0,0,3,12,Lycoming,Goucher_Lycoming_2-3-2024
10,"Wetzel,Mya",*,24,2-10,2-10,2-2,1-5,6,1,1,2,0,1,8,Lycoming,Goucher_Lycoming_2-3-2024
12,"Dufner,Meghan",*,28,2-10,0-7,1-2,1-2,3,2,2,4,0,2,5,Lycoming,Goucher_Lycoming_2-3-2024
25,"Goldenziel,Alicia",*,23,1-3,0-0,2-2,1-1,2,0,3,1,0,1,4,Lycoming,Goucher_Lycoming_2-3-2024
02,"Abdo,Kami",,19,4-11,3-7,0-0,1-3,4,2,3,1,0,2,11,Lycoming,Goucher_Lycoming_2-3-2024
11,"Bena,Katie",,10,3-5,3-5,0-0,0-0,0,0,1,0,0,0,9,Lycoming,Goucher_Lycoming_2-3-2024
15,"Hartman,Makenna",,7,1-3,0-0,2-2,2-1,3,0,0,0,0,0,4,Lycoming,Goucher_Lycoming_2-3-2024
20,"Pumputis,Jillian",,9,1-3,1-1,0-0,1-2,3,0,2,2,0,1,3,Lycoming,Goucher_Lycoming_2-3-2024
04,"Orich,Maddie",,8,0-1,0-1,0-0,0-1,1,1,3,0,0,0,0,Lycoming,Goucher_Lycoming_2-3-2024
13,"Rudalavage,Mia",,5,0-2,0-2,0-0,0-1,1,1,0,1,0,1,0,Lycoming,Goucher_Lycoming_2-3-2024
14,"McMurtrie,Ann-Marie",,4,0-2,0-1,0-0,0-1,1,1,0,0,0,0,0,Lycoming,Goucher_Lycoming_2-3-2024
24,"Fave,Isabella",,4,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Lycoming,Goucher_Lycoming_2-3-2024
01,"Collins,Camryn",,3,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Goucher_Lycoming_2-3-2024
03,"Lanphear,Sarah",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Goucher_Lycoming_2-3-2024
32,"Stone,Sydnie",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Goucher_Lycoming_2-3-2024
