##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Smith,Kyla",*,32,4-20,1-5,2-4,0-5,5,4,2,7,1,1,11,Goucher,Goucher_McDaniel_12-10-2022
15,"Lawrence,Kendra",*,32,2-6,0-0,6-8,1-6,7,4,0,7,1,3,10,Goucher,Goucher_McDaniel_12-10-2022
23,"Quarles,Kyani",*,26,3-4,0-0,2-2,3-5,8,3,2,5,0,0,8,Goucher,Goucher_McDaniel_12-10-2022
22,"Nwuli,Sydney",*,33,2-2,0-0,0-0,1-0,1,2,1,2,0,0,4,Goucher,Goucher_McDaniel_12-10-2022
03,"Pace,GVahn",*,27,1-3,0-0,0-0,1-1,2,1,1,0,0,0,2,Goucher,Goucher_McDaniel_12-10-2022
04,"Cavoli,Julia",,15,2-4,0-1,0-0,1-0,1,2,0,0,0,0,4,Goucher,Goucher_McDaniel_12-10-2022
12,"Haggins,Briyah",,13,1-7,0-0,0-0,0-1,1,0,0,2,0,0,2,Goucher,Goucher_McDaniel_12-10-2022
21,"Flynn,Claire",,17,0-0,0-0,0-0,0-0,0,2,1,1,0,0,0,Goucher,Goucher_McDaniel_12-10-2022
30,"Cox,Ava",,4,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Goucher,Goucher_McDaniel_12-10-2022
00,"Taylor,Kya",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_McDaniel_12-10-2022
31,"Beckett,Elaina",*,25,7-11,0-1,6-6,5-5,10,3,2,1,1,3,20,McDaniel,Goucher_McDaniel_12-10-2022
41,"Conroy,Mallory",*,27,6-12,1-1,2-3,3-7,10,0,0,0,0,2,15,McDaniel,Goucher_McDaniel_12-10-2022
24,"Klingenberg,Josey",*,23,3-9,1-5,0-0,1-3,4,2,3,1,0,6,7,McDaniel,Goucher_McDaniel_12-10-2022
33,"Ryan,Julia",*,19,2-6,2-5,0-0,1-1,2,1,2,2,0,0,6,McDaniel,Goucher_McDaniel_12-10-2022
11,"McLean,Jordan",*,20,1-5,0-1,1-2,4-1,5,0,3,0,0,3,3,McDaniel,Goucher_McDaniel_12-10-2022
20,"Weinoldt,Jessica",,19,3-5,0-0,2-3,5-1,6,0,3,1,0,0,8,McDaniel,Goucher_McDaniel_12-10-2022
12,"Overcash,Liliana",,17,3-5,1-1,0-0,0-1,1,3,3,2,0,1,7,McDaniel,Goucher_McDaniel_12-10-2022
35,"Burgess,Meggie",,17,3-8,1-2,0-0,1-3,4,3,1,1,0,0,7,McDaniel,Goucher_McDaniel_12-10-2022
22,"Floyd,Bri",,15,1-8,1-7,1-2,1-1,2,1,2,2,0,0,4,McDaniel,Goucher_McDaniel_12-10-2022
25,"Lockard,Emily",,11,1-2,0-1,0-2,1-0,1,2,1,1,0,2,2,McDaniel,Goucher_McDaniel_12-10-2022
05,"Cooley,Justeen",,7,1-2,0-0,0-0,0-2,2,0,2,3,0,0,2,McDaniel,Goucher_McDaniel_12-10-2022
