##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
10,Belle Carini,*,34,4-10,1-1,0-0,0-2,2,1,1,3,0,1,9,Goucher,Goucher_Moravian_1-8-2022
34,Julia Cavoli,*,34,2-10,0-1,3-4,0-0,0,2,0,3,0,0,7,Goucher,Goucher_Moravian_1-8-2022
32,Claire Flynn,*,30,0-4,0-1,3-4,0-2,2,4,1,6,0,0,3,Goucher,Goucher_Moravian_1-8-2022
12,Briyah Haggins,*,36,1-6,0-1,0-0,0-2,2,1,4,6,0,2,2,Goucher,Goucher_Moravian_1-8-2022
30,Ava Cox,*,21,1-5,0-0,0-0,0-0,0,3,0,1,1,1,2,Goucher,Goucher_Moravian_1-8-2022
23,Kyani Quarles,,14,2-4,0-0,2-3,0-3,3,1,0,0,0,1,6,Goucher,Goucher_Moravian_1-8-2022
15,Ta'Niya Kees,,16,2-5,0-0,0-2,1-1,2,2,0,2,0,2,4,Goucher,Goucher_Moravian_1-8-2022
25,Lydia Bailey,,11,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Goucher,Goucher_Moravian_1-8-2022
44,Cordelia Edwards,,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Moravian_1-8-2022
TM,TMTeam,,0,0-0,0-0,0-0,0-4,4,0,0,0,0,0,0,Goucher,Goucher_Moravian_1-8-2022
2,Kayla Yoegel,*,23,10-11,1-2,0-0,0-5,5,1,1,2,1,3,21,Moravian,Goucher_Moravian_1-8-2022
1,Sam Osorio,*,16,4-6,0-0,1-3,4-3,7,1,3,3,0,3,9,Moravian,Goucher_Moravian_1-8-2022
4,Jackie Kelly,*,20,2-4,2-3,2-2,0-1,1,0,3,0,1,1,8,Moravian,Goucher_Moravian_1-8-2022
10,Brielle Guarente,*,19,2-6,0-0,1-2,2-4,6,0,3,3,0,1,5,Moravian,Goucher_Moravian_1-8-2022
24,Morgan Amy,*,19,0-2,0-1,2-2,0-2,2,0,4,0,0,0,2,Moravian,Goucher_Moravian_1-8-2022
25,Ashley Robinson,,16,4-6,0-0,1-1,2-3,5,0,3,2,0,1,9,Moravian,Goucher_Moravian_1-8-2022
30,Gracie Hezel,,15,4-6,0-0,1-2,1-2,3,2,0,1,0,2,9,Moravian,Goucher_Moravian_1-8-2022
13,Rileigh Serroni,,13,3-3,0-0,0-0,0-0,0,0,0,1,0,2,6,Moravian,Goucher_Moravian_1-8-2022
40,Sara Geary,,9,3-4,0-0,0-0,0-2,2,1,0,1,0,0,6,Moravian,Goucher_Moravian_1-8-2022
5,Emily Markowski,,15,1-3,0-0,1-2,0-5,5,3,2,3,0,0,3,Moravian,Goucher_Moravian_1-8-2022
15,Sydney DeFranco,,10,1-2,0-1,0-0,0-0,0,2,1,2,0,1,2,Moravian,Goucher_Moravian_1-8-2022
12,Mikayla Anderson,,13,0-2,0-0,0-0,1-1,2,1,1,1,0,0,0,Moravian,Goucher_Moravian_1-8-2022
3,Vicky Donovan,,12,0-4,0-3,0-0,0-2,2,3,3,0,0,0,0,Moravian,Goucher_Moravian_1-8-2022
TM,TMTeam,,0,0-0,0-0,0-0,2-4,6,0,0,0,0,0,0,Moravian,Goucher_Moravian_1-8-2022
