##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Smith,Kyla",*,35,10-25,2-7,5-6,2-4,6,3,1,4,0,2,27,Goucher,Goucher_Notre Dame (MD)_12-17-2022
15,"Lawrence,Kendra",*,25,3-7,0-0,1-4,5-6,11,5,0,8,1,2,7,Goucher,Goucher_Notre Dame (MD)_12-17-2022
23,"Quarles,Kyani",*,33,3-10,0-0,0-1,4-3,7,5,0,6,0,1,6,Goucher,Goucher_Notre Dame (MD)_12-17-2022
22,"Nwuli,Sydney",*,36,0-4,0-0,0-0,3-4,7,2,1,0,0,1,0,Goucher,Goucher_Notre Dame (MD)_12-17-2022
03,"Pace,GVahn",*,19,0-0,0-0,0-0,0-0,0,1,0,0,0,2,0,Goucher,Goucher_Notre Dame (MD)_12-17-2022
21,"Flynn,Claire",,5,1-1,1-1,0-0,0-0,0,3,0,1,0,0,3,Goucher,Goucher_Notre Dame (MD)_12-17-2022
12,"Haggins,Briyah",,27,1-9,0-3,0-0,0-1,1,2,1,5,0,1,2,Goucher,Goucher_Notre Dame (MD)_12-17-2022
04,"Cavoli,Julia",,12,0-5,0-4,0-0,0-0,0,1,0,2,0,0,0,Goucher,Goucher_Notre Dame (MD)_12-17-2022
00,"Taylor,Kya",,5,0-1,0-0,0-0,0-1,1,2,1,0,0,0,0,Goucher,Goucher_Notre Dame (MD)_12-17-2022
30,"Cox,Ava",,3,0-1,0-0,0-0,0-2,2,0,0,0,0,0,0,Goucher,Goucher_Notre Dame (MD)_12-17-2022
11,"People,Kori",*,25,1-3,1-2,11-12,1-0,1,1,2,3,0,3,14,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
05,"Durham,Alexis",*,34,4-12,0-3,5-7,1-8,9,2,3,3,0,1,13,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
04,"Fitchett,Daija",*,30,2-6,0-0,4-5,2-5,7,1,0,4,3,3,8,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
23,"Newbold,Bethani",*,14,2-4,0-0,1-2,2-0,2,3,1,0,0,1,5,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
32,"Brim,Ayana",*,13,0-0,0-0,0-0,1-1,2,1,0,5,0,0,0,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
21,"Jones,Alexis",,16,5-10,0-0,2-3,0-2,2,3,0,0,0,0,12,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
01,"Durham,Amya",,15,2-4,0-0,2-2,0-2,2,1,2,1,0,2,6,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
02,"Curry,Chantel",,20,2-5,0-0,1-2,2-2,4,0,2,0,0,1,5,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
22,"Rivera,Michel",,14,1-5,1-5,0-2,0-0,0,0,2,1,0,0,3,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
33,"Gardner,Jasimine",,8,1-2,0-0,0-0,1-3,4,2,0,0,0,0,2,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
03,"Rodriguez,Elena",,8,0-1,0-0,0-0,2-0,2,1,0,1,0,0,0,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
13,"Bush,Brie",,3,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Notre Dame (MD),Goucher_Notre Dame (MD)_12-17-2022
