##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Turner,Merci",*,15,6-11,5-8,1-2,0-0,0,3,1,1,1,2,18,Goucher,Goucher_Penn St.-Berks_11-13-2024
02,"Boykin,Meona",*,15,5-6,0-0,1-2,3-4,7,1,2,5,0,4,11,Goucher,Goucher_Penn St.-Berks_11-13-2024
31,"Edens,Nia",*,14,3-10,1-3,2-2,1-2,3,2,1,0,2,5,9,Goucher,Goucher_Penn St.-Berks_11-13-2024
03,"Villanueva,Maiya",*,12,2-9,0-4,0-0,0-1,1,0,1,2,0,2,4,Goucher,Goucher_Penn St.-Berks_11-13-2024
25,"Knox,Sanai",*,14,1-5,0-0,0-0,6-1,7,0,3,1,0,1,2,Goucher,Goucher_Penn St.-Berks_11-13-2024
23,"Towns,Lauryn",,15,8-11,1-2,1-3,4-2,6,4,0,4,0,2,18,Goucher,Goucher_Penn St.-Berks_11-13-2024
20,"Whitaker,Amira",,19,5-9,0-3,2-4,4-1,5,2,5,4,0,3,12,Goucher,Goucher_Penn St.-Berks_11-13-2024
04,"Igwe,Chi",,10,5-7,0-0,2-2,1-5,6,3,0,7,1,3,12,Goucher,Goucher_Penn St.-Berks_11-13-2024
34,"Sherman,Darby",,7,3-5,1-2,2-2,1-0,1,0,1,1,0,2,9,Goucher,Goucher_Penn St.-Berks_11-13-2024
05,"Johnson,Brianna",,13,3-9,0-2,1-2,0-1,1,0,0,2,0,0,7,Goucher,Goucher_Penn St.-Berks_11-13-2024
15,"George,Nia",,14,2-4,2-4,0-2,1-1,2,1,0,0,0,0,6,Goucher,Goucher_Penn St.-Berks_11-13-2024
12,"Haggins,Briyah",,17,1-3,1-2,0-0,0-3,3,0,1,2,1,0,3,Goucher,Goucher_Penn St.-Berks_11-13-2024
21,"Holmes,Savannah",,10,1-6,0-2,0-2,3-0,3,0,2,0,0,2,2,Goucher,Goucher_Penn St.-Berks_11-13-2024
10,"Townsend,Leila",,8,1-4,0-1,0-0,2-0,2,0,0,2,0,5,2,Goucher,Goucher_Penn St.-Berks_11-13-2024
06,"Vaselaros,Kiara",,11,0-0,0-0,0-0,0-2,2,1,1,0,0,3,0,Goucher,Goucher_Penn St.-Berks_11-13-2024
44,"McCoy,Zion",,6,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Goucher,Goucher_Penn St.-Berks_11-13-2024
02,"Dunbar,Morgan",*,30,7-13,2-4,1-1,3-3,6,2,1,7,0,2,17,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
21,"Clark,Ashlyn",*,29,4-13,0-0,5-5,1-6,7,3,2,10,0,4,13,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
05,"Roberts,Gianna",*,37,5-12,1-6,0-0,2-0,2,1,4,5,1,3,11,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
45,"Miller,Hailey",*,30,4-9,0-1,0-0,3-6,9,1,4,14,1,2,8,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
11,"Merritt,Gabrielle",*,24,3-9,0-4,0-0,0-0,0,4,2,5,0,1,6,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
03,"Stitzman,Liberty",,16,1-3,0-0,1-2,0-1,1,0,1,3,0,1,3,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
31,"Hann,Jalyn",,13,0-2,0-0,3-4,2-3,5,2,2,3,0,0,3,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
34,"Ruffner,Mahala",,12,1-5,0-0,0-0,2-3,5,2,0,3,0,2,2,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
22,"Thorp,Reagan",,3,1-2,0-0,0-0,0-0,0,0,1,0,0,1,2,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
24,"Dunn,Kylie",,3,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
25,"Altine,Kiara",,3,0-0,0-0,0-0,0-1,1,0,0,3,0,0,0,Penn St.-Berks,Goucher_Penn St.-Berks_11-13-2024
