##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Turner,Merci",*,28,5-18,1-4,0-0,5-6,11,2,1,1,1,0,11,Goucher,Goucher_Salisbury_11-15-2023
04,"Cavoli,Julia",*,34,3-8,3-6,0-0,1-1,2,3,1,3,1,0,9,Goucher,Goucher_Salisbury_11-15-2023
03,"Villanueva,Maiya",*,30,3-16,3-12,0-0,1-2,3,1,2,9,0,1,9,Goucher,Goucher_Salisbury_11-15-2023
05,"Johnson,Brianna",*,20,3-10,0-1,1-3,1-0,1,2,0,1,0,2,7,Goucher,Goucher_Salisbury_11-15-2023
12,"Haggins,Briyah",*,27,1-7,1-4,0-0,1-2,3,1,5,1,0,1,3,Goucher,Goucher_Salisbury_11-15-2023
21,"Holmes,Savannah",,23,3-6,0-1,0-2,2-2,4,2,1,1,0,0,6,Goucher,Goucher_Salisbury_11-15-2023
44,"McCoy,Zion",,19,0-4,0-0,0-0,3-4,7,0,0,0,2,1,0,Goucher,Goucher_Salisbury_11-15-2023
10,"Lavaux,Louise",,10,0-1,0-0,0-0,0-0,0,3,0,2,0,1,0,Goucher,Goucher_Salisbury_11-15-2023
34,"Sherman,Darby",,9,0-3,0-3,0-0,0-2,2,0,0,1,0,0,0,Goucher,Goucher_Salisbury_11-15-2023
24,"Miller,Nicole",*,25,12-18,3-7,0-0,1-1,2,0,4,1,0,2,27,Salisbury,Goucher_Salisbury_11-15-2023
35,"Bull,Alex",*,20,3-10,1-2,1-2,1-2,3,1,4,4,0,4,8,Salisbury,Goucher_Salisbury_11-15-2023
40,"Ader,Hailey",*,24,2-7,0-1,0-0,3-5,8,2,1,1,1,1,4,Salisbury,Goucher_Salisbury_11-15-2023
23,"Nieberlein,Kayla",*,20,1-5,0-0,1-2,4-4,8,1,2,1,0,1,3,Salisbury,Goucher_Salisbury_11-15-2023
12,"Rumbaugh,Tori",*,18,1-2,1-1,0-0,2-4,6,1,3,0,0,0,3,Salisbury,Goucher_Salisbury_11-15-2023
42,"Plaugher,Abby",,24,11-20,4-8,2-2,4-3,7,1,5,0,0,1,28,Salisbury,Goucher_Salisbury_11-15-2023
34,"Shafer,Cora",,21,8-13,0-0,2-2,0-8,8,1,1,0,3,0,18,Salisbury,Goucher_Salisbury_11-15-2023
20,"Juhring,Jen",,23,2-6,1-1,0-0,2-4,6,1,3,1,0,1,5,Salisbury,Goucher_Salisbury_11-15-2023
01,"Raybold,Ainsley",,25,1-2,0-0,0-0,0-4,4,0,8,3,0,0,2,Salisbury,Goucher_Salisbury_11-15-2023
