##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,"Haggins,Briyah",*,32,4-10,4-7,0-0,0-1,1,0,1,3,0,0,12,Goucher,Goucher_Scranton_12-9-2023
03,"Villanueva,Maiya",*,30,2-10,2-9,0-0,1-1,2,1,3,5,0,2,6,Goucher,Goucher_Scranton_12-9-2023
22,"Turner,Merci",*,28,1-13,0-5,1-2,1-5,6,2,0,5,0,0,3,Goucher,Goucher_Scranton_12-9-2023
05,"Johnson,Brianna",*,10,1-7,0-4,0-0,0-0,0,0,0,0,0,0,2,Goucher,Goucher_Scranton_12-9-2023
04,"Cavoli,Julia",*,31,0-4,0-3,0-0,1-2,3,1,2,0,1,1,0,Goucher,Goucher_Scranton_12-9-2023
34,"Sherman,Darby",,11,2-3,2-2,0-0,0-0,0,0,1,1,0,1,6,Goucher,Goucher_Scranton_12-9-2023
21,"Holmes,Savannah",,22,1-4,0-2,0-0,0-4,4,3,1,6,1,1,2,Goucher,Goucher_Scranton_12-9-2023
44,"McCoy,Zion",,30,0-3,0-0,0-0,1-3,4,0,0,2,0,0,0,Goucher,Goucher_Scranton_12-9-2023
10,"Lavaux,Louise",,6,0-1,0-1,0-0,1-1,2,0,0,0,0,0,0,Goucher,Goucher_Scranton_12-9-2023
01,"Romanowski,Kaeli",*,13,5-6,1-2,0-0,1-1,2,0,4,1,0,7,11,Scranton,Goucher_Scranton_12-9-2023
11,"Kranson,Kaci",*,12,4-8,1-1,1-2,0-3,3,0,1,0,0,0,10,Scranton,Goucher_Scranton_12-9-2023
21,"Ryan,Maddy",*,12,2-4,0-0,1-2,1-5,6,0,1,0,0,1,5,Scranton,Goucher_Scranton_12-9-2023
10,"Lynch,Allie",*,11,1-3,1-1,0-2,0-0,0,0,0,0,0,1,3,Scranton,Goucher_Scranton_12-9-2023
13,"Hartnett,Maddie",*,10,1-3,0-2,0-0,2-0,2,0,2,0,0,1,2,Scranton,Goucher_Scranton_12-9-2023
20,"Lamanna,Meghan",,11,4-8,4-7,0-0,0-1,1,1,2,0,0,0,12,Scranton,Goucher_Scranton_12-9-2023
15,"Bennett,Elizabeth",,18,4-6,1-2,1-1,3-0,3,0,0,1,0,0,10,Scranton,Goucher_Scranton_12-9-2023
14,"Stoupakis,Natalie",,15,3-8,2-5,2-2,0-1,1,0,0,0,1,1,10,Scranton,Goucher_Scranton_12-9-2023
05,"Gorski,Katie",,11,4-6,0-1,0-0,0-3,3,1,1,0,0,0,8,Scranton,Goucher_Scranton_12-9-2023
02,"Bender,Ashlyn",,17,3-7,0-1,0-0,0-3,3,0,2,1,0,1,6,Scranton,Goucher_Scranton_12-9-2023
30,"Steele,Mackenzie",,10,3-5,0-0,0-0,3-1,4,0,0,2,0,0,6,Scranton,Goucher_Scranton_12-9-2023
12,"Sloan,Jenna",,12,2-4,0-0,0-0,2-1,3,0,4,1,0,4,4,Scranton,Goucher_Scranton_12-9-2023
23,"Larrabee,Jenna",,10,2-2,0-0,0-0,0-4,4,0,2,0,1,0,4,Scranton,Goucher_Scranton_12-9-2023
33,"Quigley,Kyra",,13,1-1,0-0,1-2,3-6,9,2,2,1,0,1,3,Scranton,Goucher_Scranton_12-9-2023
03,"Brewer,Morgan",,15,1-3,0-0,0-0,0-2,2,0,0,0,0,2,2,Scranton,Goucher_Scranton_12-9-2023
22,"Nolan,Leah",,10,1-4,0-0,0-0,2-1,3,1,3,0,0,1,2,Scranton,Goucher_Scranton_12-9-2023
