##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Alayna McFadden,*,28,4-13,3-5,1-3,1-8,9,4,1,4,0,1,12,Goucher,Goucher_Shenandoah_11-6-2021
05,Serrena Gonzales,*,17,1-3,0-0,2-2,2-0,2,2,0,1,0,0,4,Goucher,Goucher_Shenandoah_11-6-2021
32,Claire Flynn,*,16,1-5,1-3,0-0,0-0,0,0,1,2,0,0,3,Goucher,Goucher_Shenandoah_11-6-2021
23,Kyani Quarles,*,14,0-3,0-0,1-2,1-1,2,4,0,3,0,0,1,Goucher,Goucher_Shenandoah_11-6-2021
34,Julia Cavoli,*,33,0-4,0-2,0-0,2-1,3,1,0,2,0,0,0,Goucher,Goucher_Shenandoah_11-6-2021
04,Anise Williams,,23,4-8,0-1,4-7,0-3,3,3,0,6,0,4,12,Goucher,Goucher_Shenandoah_11-6-2021
22,Sydney Nwuli,,19,0-3,0-0,1-4,1-2,3,2,0,0,0,0,1,Goucher,Goucher_Shenandoah_11-6-2021
15,Ta'Niya Kees,,16,0-3,0-2,1-1,1-1,2,0,0,3,0,0,1,Goucher,Goucher_Shenandoah_11-6-2021
10,Belle Carini,,20,0-4,0-0,0-0,2-0,2,0,1,1,0,2,0,Goucher,Goucher_Shenandoah_11-6-2021
12,Briyah Haggins,,9,0-3,0-1,0-0,0-1,1,0,0,0,1,0,0,Goucher,Goucher_Shenandoah_11-6-2021
30,Ava Cox,,5,0-1,0-0,0-0,0-0,0,1,0,1,0,1,0,Goucher,Goucher_Shenandoah_11-6-2021
01,Sierra St. Cyr,*,28,5-7,3-4,0-0,1-3,4,0,1,2,1,2,13,Shenandoah,Goucher_Shenandoah_11-6-2021
30,Ragan Johnson,*,24,2-6,0-0,4-4,0-3,3,3,1,0,0,0,8,Shenandoah,Goucher_Shenandoah_11-6-2021
22,Olivia Weinel,*,20,2-3,0-0,3-4,0-4,4,1,6,1,1,2,7,Shenandoah,Goucher_Shenandoah_11-6-2021
03,Terese Greene,*,18,2-5,0-1,2-2,1-4,5,4,3,5,0,3,6,Shenandoah,Goucher_Shenandoah_11-6-2021
05,Gabby Krystofiak,*,16,3-7,0-3,0-0,1-1,2,1,2,0,0,2,6,Shenandoah,Goucher_Shenandoah_11-6-2021
44,Sarah Sondrol,,14,4-8,0-2,2-2,1-6,7,2,1,1,0,1,10,Shenandoah,Goucher_Shenandoah_11-6-2021
11,Zoe Star,,21,3-4,1-2,0-0,0-3,3,2,2,2,1,0,7,Shenandoah,Goucher_Shenandoah_11-6-2021
50,Shawnise Campbell,,16,2-5,0-0,0-0,0-3,3,1,0,1,1,0,4,Shenandoah,Goucher_Shenandoah_11-6-2021
24,Kayla Maxson,,15,1-1,1-1,1-2,1-3,4,0,2,0,0,2,4,Shenandoah,Goucher_Shenandoah_11-6-2021
15,Brooke Riley,,10,2-2,0-0,0-0,0-1,1,1,3,0,0,0,4,Shenandoah,Goucher_Shenandoah_11-6-2021
04,Hayley Jenkins,,3,1-1,1-1,0-0,0-0,0,0,0,0,0,0,3,Shenandoah,Goucher_Shenandoah_11-6-2021
10,Maggie Rooklin,,7,1-5,0-1,0-0,0-0,0,0,0,0,0,0,2,Shenandoah,Goucher_Shenandoah_11-6-2021
23,Diandra Mundle,,4,0-1,0-0,1-2,1-0,1,1,0,1,0,0,1,Shenandoah,Goucher_Shenandoah_11-6-2021
25,Meredith Lloyd,,4,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Shenandoah,Goucher_Shenandoah_11-6-2021
