##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Turner,Merci",*,27,6-12,0-2,4-7,4-8,12,4,0,2,0,0,16,Goucher,Goucher_St. Mary's (MD)_11-21-2023
05,"Johnson,Brianna",*,31,7-14,1-5,0-0,2-6,8,3,0,5,1,1,15,Goucher,Goucher_St. Mary's (MD)_11-21-2023
04,"Cavoli,Julia",*,36,5-10,3-6,1-2,8-2,10,3,1,1,0,0,14,Goucher,Goucher_St. Mary's (MD)_11-21-2023
03,"Villanueva,Maiya",*,37,3-20,2-13,0-0,2-2,4,2,5,3,0,2,8,Goucher,Goucher_St. Mary's (MD)_11-21-2023
12,"Haggins,Briyah",*,34,3-15,2-9,0-0,1-5,6,0,3,1,0,1,8,Goucher,Goucher_St. Mary's (MD)_11-21-2023
21,"Holmes,Savannah",,19,2-6,1-3,0-1,1-6,7,3,1,0,0,0,5,Goucher,Goucher_St. Mary's (MD)_11-21-2023
44,"McCoy,Zion",,9,0-0,0-0,0-0,1-1,2,1,0,1,0,0,0,Goucher,Goucher_St. Mary's (MD)_11-21-2023
34,"Sherman,Darby",,4,0-0,0-0,0-0,1-0,1,0,0,2,0,0,0,Goucher,Goucher_St. Mary's (MD)_11-21-2023
10,"Lavaux,Louise",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,1,0,Goucher,Goucher_St. Mary's (MD)_11-21-2023
20,"Whitaker,Amira",*,28,7-17,2-10,3-3,2-6,8,2,2,0,0,4,19,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
00,"Mobray,Tramarie",*,26,4-13,0-3,7-9,3-5,8,1,4,1,0,1,15,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
22,"Aguilar,Melanie",*,27,6-11,1-2,0-0,3-5,8,3,0,1,0,0,13,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
12,"Blaylock,Samantha",*,34,4-11,4-8,0-0,0-3,3,2,5,2,0,0,12,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
14,"Howell,Stephanie",*,24,2-12,0-0,0-0,1-5,6,2,2,3,0,2,4,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
15,"Liszt,Olivia",,24,4-10,3-8,0-0,4-1,5,1,2,0,0,0,11,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
03,"Sabatini,Kristin",,9,2-4,0-0,2-2,1-1,2,1,0,0,0,0,6,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
05,"Manning,Rachel",,15,1-4,0-0,0-0,2-3,5,0,3,1,0,1,2,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
25,"Velandria,Jamie",,9,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
10,"Miller,Rayna",,4,0-1,0-1,0-0,0-0,0,0,1,1,0,0,0,St. Mary's (MD),Goucher_St. Mary's (MD)_11-21-2023
