##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Smith,Kyla",*,40,16-33,5-17,6-8,0-10,10,3,2,12,2,3,43,Goucher,Goucher_Stevenson_11-16-2022
22,"Nwuli,Sydney",*,35,5-9,0-0,1-4,6-7,13,4,1,0,0,0,11,Goucher,Goucher_Stevenson_11-16-2022
04,"Cavoli,Julia",*,32,2-4,2-4,1-2,2-1,3,4,0,3,0,0,7,Goucher,Goucher_Stevenson_11-16-2022
23,"Quarles,Kyani",*,25,1-2,0-0,2-2,1-5,6,4,1,0,0,0,4,Goucher,Goucher_Stevenson_11-16-2022
12,"Haggins,Briyah",*,20,1-6,0-3,0-0,0-1,1,0,0,2,0,1,2,Goucher,Goucher_Stevenson_11-16-2022
21,"Flynn,Claire",,17,1-2,1-2,2-2,0-0,0,0,0,1,0,0,5,Goucher,Goucher_Stevenson_11-16-2022
15,"Lawrence,Kendra",,9,1-2,0-0,0-0,1-2,3,5,0,1,0,1,2,Goucher,Goucher_Stevenson_11-16-2022
03,"Pace,GVahn",,13,0-0,0-0,1-2,1-2,3,5,0,0,0,1,1,Goucher,Goucher_Stevenson_11-16-2022
30,"Cox,Ava",,9,0-2,0-0,0-0,0-1,1,0,0,1,0,0,0,Goucher,Goucher_Stevenson_11-16-2022
00,"Johnson,Laci",*,25,7-15,3-6,2-3,0-0,0,2,1,2,0,2,19,Stevenson,Goucher_Stevenson_11-16-2022
01,"Pennick,Morgan",*,25,2-10,0-0,5-6,1-1,2,4,2,2,0,1,9,Stevenson,Goucher_Stevenson_11-16-2022
30,"Smith,Maleah",*,29,4-6,0-0,0-3,7-1,8,4,1,2,0,0,8,Stevenson,Goucher_Stevenson_11-16-2022
12,"DeBeary,Morgan",*,22,1-6,0-2,2-2,1-0,1,1,0,2,0,3,4,Stevenson,Goucher_Stevenson_11-16-2022
02,"Wynter,Kalea",*,20,1-2,0-0,0-2,0-7,7,3,0,0,0,1,2,Stevenson,Goucher_Stevenson_11-16-2022
11,"Ferguson,Aysia",,23,7-16,0-0,2-3,2-2,4,2,0,2,0,2,16,Stevenson,Goucher_Stevenson_11-16-2022
33,"Boswell,Tessa",,14,3-6,3-5,0-2,0-3,3,0,0,0,0,0,9,Stevenson,Goucher_Stevenson_11-16-2022
22,"Jeselskis,Emori",,10,2-3,2-2,0-0,0-1,1,0,1,0,0,1,6,Stevenson,Goucher_Stevenson_11-16-2022
24,"Dixon,Erin",,11,1-3,0-0,1-2,0-2,2,0,0,2,0,0,3,Stevenson,Goucher_Stevenson_11-16-2022
15,"Mesquita,Michelle",,6,1-1,0-0,0-0,2-0,2,3,0,0,0,0,2,Stevenson,Goucher_Stevenson_11-16-2022
21,"Boswell,Ellie",,2,1-3,0-1,0-0,1-0,1,0,0,0,0,0,2,Stevenson,Goucher_Stevenson_11-16-2022
04,"Lawrence,Stephenae",,6,0-0,0-0,1-4,1-2,3,1,0,0,0,0,1,Stevenson,Goucher_Stevenson_11-16-2022
44,"Thorne,Sanaa",,7,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,Stevenson,Goucher_Stevenson_11-16-2022
05,"Lasaracina,Cassidy",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Stevenson,Goucher_Stevenson_11-16-2022
