##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Smith,Kyla",*,34,5-17,2-7,2-2,1-3,4,4,2,5,0,0,14,Goucher,Goucher_Susquehanna_2-15-2023
04,"Cavoli,Julia",*,30,4-11,2-5,0-2,0-2,2,1,1,1,0,0,10,Goucher,Goucher_Susquehanna_2-15-2023
23,"Quarles,Kyani",*,35,2-7,0-0,3-4,6-5,11,5,0,0,0,2,7,Goucher,Goucher_Susquehanna_2-15-2023
14,"McFadden,Alayna",*,29,1-9,0-0,2-2,1-2,3,3,4,3,0,2,4,Goucher,Goucher_Susquehanna_2-15-2023
15,"Lawrence,Kendra",*,27,1-4,0-0,1-2,5-1,6,3,0,4,1,1,3,Goucher,Goucher_Susquehanna_2-15-2023
20,"Kuhlman,Alexis",,28,5-11,1-6,2-2,0-3,3,2,1,5,0,2,13,Goucher,Goucher_Susquehanna_2-15-2023
12,"Haggins,Briyah",,16,0-0,0-0,0-0,3-1,4,2,2,3,0,0,0,Goucher,Goucher_Susquehanna_2-15-2023
03,"Pace,GVahn",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Goucher_Susquehanna_2-15-2023
30,"Lynch,Kaitlyn",*,39,4-11,1-6,11-14,0-4,4,3,5,3,0,3,20,Susquehanna,Goucher_Susquehanna_2-15-2023
03,"Selvaggi,Kenzie",*,37,4-10,2-6,2-4,0-3,3,1,7,8,1,2,12,Susquehanna,Goucher_Susquehanna_2-15-2023
44,"Brandt,Olivia",*,30,5-11,0-0,0-0,2-5,7,2,2,4,0,1,10,Susquehanna,Goucher_Susquehanna_2-15-2023
21,"Roth,Julia",*,29,1-7,0-0,3-4,5-5,10,1,0,3,2,1,5,Susquehanna,Goucher_Susquehanna_2-15-2023
05,"Klein,Lauren",*,22,0-2,0-1,0-0,0-2,2,0,0,1,0,1,0,Susquehanna,Goucher_Susquehanna_2-15-2023
14,"Schwabe,Isabella",,21,4-5,0-0,1-1,2-3,5,2,1,1,3,1,9,Susquehanna,Goucher_Susquehanna_2-15-2023
13,"Hildebrandt,Kate",,5,1-1,1-1,0-0,1-0,1,1,0,0,1,0,3,Susquehanna,Goucher_Susquehanna_2-15-2023
02,"Sabol,Vanessa",,16,1-5,0-0,0-0,0-1,1,0,0,0,0,3,2,Susquehanna,Goucher_Susquehanna_2-15-2023
11,"Miller,Madison",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Goucher_Susquehanna_2-15-2023
