##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Amira Whitaker,*,20,8-12,2-5,7-9,5-2,7,1,3,0,0,2,25,Goucher,Goucher_Trinity (D.C.)_12-14-2024
12,Briyah Haggins,*,16,4-11,2-8,0-0,2-0,2,1,1,5,0,6,10,Goucher,Goucher_Trinity (D.C.)_12-14-2024
4,Chi Igwe,*,18,4-13,1-3,0-0,5-0,5,0,1,3,0,3,9,Goucher,Goucher_Trinity (D.C.)_12-14-2024
31,Nia Edens,*,15,3-11,2-7,0-0,3-4,7,3,1,2,2,3,8,Goucher,Goucher_Trinity (D.C.)_12-14-2024
15,Nia George,*,16,1-6,1-6,0-0,3-1,4,3,3,2,0,6,3,Goucher,Goucher_Trinity (D.C.)_12-14-2024
2,Meona Boykin,,22,7-19,3-6,4-7,3-3,6,2,2,0,0,3,21,Goucher,Goucher_Trinity (D.C.)_12-14-2024
34,Darby Sherman,,7,5-9,3-7,1-2,0-0,0,1,2,0,0,1,14,Goucher,Goucher_Trinity (D.C.)_12-14-2024
3,Maiya Villanueva,,16,3-5,3-5,0-0,1-0,1,1,2,3,0,2,9,Goucher,Goucher_Trinity (D.C.)_12-14-2024
23,Lauryn Towns,,10,3-8,0-1,3-6,5-1,6,2,0,0,0,2,9,Goucher,Goucher_Trinity (D.C.)_12-14-2024
21,Savannah Holmes,,13,2-6,1-3,0-0,1-2,3,1,2,0,0,2,5,Goucher,Goucher_Trinity (D.C.)_12-14-2024
8,Kayley Washington,,8,2-10,1-7,0-0,1-0,1,2,0,0,0,2,5,Goucher,Goucher_Trinity (D.C.)_12-14-2024
1,Zion Pace,,6,1-5,0-3,2-2,1-1,2,2,0,0,0,0,4,Goucher,Goucher_Trinity (D.C.)_12-14-2024
22,Merci Turner,,7,1-6,0-4,0-0,4-0,4,1,3,0,0,2,2,Goucher,Goucher_Trinity (D.C.)_12-14-2024
25,Sanai Knox,,10,0-3,0-0,0-0,2-1,3,3,2,1,0,1,0,Goucher,Goucher_Trinity (D.C.)_12-14-2024
6,Key Vaselaros,,7,0-2,0-1,0-0,3-0,3,1,3,1,0,1,0,Goucher,Goucher_Trinity (D.C.)_12-14-2024
30,Ava Cox,,4,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Goucher,Goucher_Trinity (D.C.)_12-14-2024
10,Leila Townsend,,3,0-4,0-2,0-2,1-2,3,1,0,1,0,0,0,Goucher,Goucher_Trinity (D.C.)_12-14-2024
44,Zion McCoy,,2,0-2,0-0,0-0,1-0,1,0,0,0,0,0,0,Goucher,Goucher_Trinity (D.C.)_12-14-2024
TM,TMTeam,,0,0-0,0-0,0-0,3-11,14,0,0,0,0,0,0,Goucher,Goucher_Trinity (D.C.)_12-14-2024
04,"Yancey,Taryn",*,37,5-14,2-5,8-8,1-7,8,2,4,15,0,2,20,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
05,"Shimels,Hermela",*,37,5-13,0-0,1-2,3-6,9,5,3,16,0,1,11,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
21,"Hall,Brianna",*,15,3-7,0-0,4-4,3-3,6,0,0,4,0,1,10,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
14,"Okoro,Millicent",*,21,2-5,0-1,0-2,3-14,17,4,1,5,0,3,4,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
10,"Thompson,Victoria",*,34,0-7,0-3,2-4,2-1,3,0,2,5,0,1,2,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
20,"Nave,Shayonna",,36,3-12,0-1,0-0,1-2,3,5,0,3,0,2,6,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
34,"Joyner,Jewel",,7,1-2,0-0,0-0,1-4,5,2,0,7,0,0,2,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
11,"Beasley,J'Kaylah",,13,0-1,0-0,1-4,1-0,1,1,0,2,0,0,1,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
TM,TMTeam,,0,0-0,0-0,0-0,8-12,20,0,0,0,0,0,0,Trinity (D.C.),Goucher_Trinity (D.C.)_12-14-2024
