##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,"Turner,Merci",*,33,7-18,3-9,0-1,2-7,9,2,3,3,2,1,17,Goucher,Goucher_Wilkes_2-17-2024
03,"Villanueva,Maiya",*,34,5-12,5-9,0-0,0-2,2,0,2,3,0,0,15,Goucher,Goucher_Wilkes_2-17-2024
12,"Haggins,Briyah",*,38,3-7,2-3,2-4,1-7,8,0,4,7,0,2,10,Goucher,Goucher_Wilkes_2-17-2024
04,"Cavoli,Julia",*,29,3-8,2-5,0-0,2-0,2,0,0,3,1,0,8,Goucher,Goucher_Wilkes_2-17-2024
21,"Holmes,Savannah",*,23,0-2,0-0,0-0,0-4,4,3,2,2,0,1,0,Goucher,Goucher_Wilkes_2-17-2024
34,"Sherman,Darby",,13,1-2,1-2,0-2,1-1,2,1,0,3,0,0,3,Goucher,Goucher_Wilkes_2-17-2024
05,"Johnson,Brianna",,15,1-5,0-2,0-2,0-1,1,3,0,0,0,0,2,Goucher,Goucher_Wilkes_2-17-2024
44,"McCoy,Zion",,9,1-3,0-0,0-0,1-2,3,3,1,0,0,1,2,Goucher,Goucher_Wilkes_2-17-2024
10,"Lavaux,Louise",,6,0-2,0-1,0-0,0-3,3,0,0,2,0,0,0,Goucher,Goucher_Wilkes_2-17-2024
12,"Simpson,Taylor",*,28,7-17,2-9,0-0,0-1,1,0,2,2,0,0,16,Wilkes,Goucher_Wilkes_2-17-2024
21,"Shober,Erin",*,23,6-9,1-1,0-2,3-7,10,0,0,2,2,0,13,Wilkes,Goucher_Wilkes_2-17-2024
05,"Babcock,Brenna",*,28,4-7,0-1,4-6,2-4,6,1,1,1,0,2,12,Wilkes,Goucher_Wilkes_2-17-2024
02,"Marino,Julia",*,39,5-8,1-2,0-0,2-5,7,2,5,2,0,5,11,Wilkes,Goucher_Wilkes_2-17-2024
25,"Edwards,Tess",*,15,0-2,0-0,1-2,2-0,2,0,0,3,0,0,1,Wilkes,Goucher_Wilkes_2-17-2024
10,"Evanosky,Nadia",,25,4-9,0-3,3-6,0-1,1,3,6,1,0,4,11,Wilkes,Goucher_Wilkes_2-17-2024
22,"Stout,Emma",,19,3-8,0-3,0-0,0-3,3,2,2,0,0,1,6,Wilkes,Goucher_Wilkes_2-17-2024
04,"Robel,Madison",,11,1-4,0-1,4-4,2-7,9,2,0,1,0,0,6,Wilkes,Goucher_Wilkes_2-17-2024
13,"Holden,Reagan",,12,2-6,0-3,0-0,0-1,1,2,0,0,0,1,4,Wilkes,Goucher_Wilkes_2-17-2024
