##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Eggers,Lynzie",*,22,3-8,1-2,6-8,0-2,2,3,0,1,0,0,13,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
13,"Sharkey,Cayla",*,15,2-5,1-4,3-4,1-4,5,2,0,1,1,0,8,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
02,"Sylvester,Elise",*,18,1-6,0-2,3-4,0-0,0,2,0,2,0,1,5,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
20,"O'Neill,Natalie",*,22,0-4,0-1,1-2,1-10,11,1,1,3,0,2,1,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
34,"Owens,Kelly",*,12,0-3,0-3,0-0,0-1,1,0,1,1,0,0,0,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
33,"Eagan,Alexis",,18,2-5,0-2,2-2,3-3,6,3,0,5,0,1,6,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
32,"Eisenhart,Erin",,20,1-4,1-3,0-0,2-2,4,4,0,2,1,1,3,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
22,"Marinacci,Gabby",,12,1-7,0-3,0-0,0-2,2,2,0,0,1,1,2,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
23,"Casale,Ava",,10,1-4,0-0,0-0,1-0,1,0,0,0,0,0,2,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
05,"Newsome,Kristen",,18,0-2,0-0,0-0,1-1,2,0,1,7,0,0,0,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
14,"Zamir,Zoe",,12,0-3,0-3,0-0,0-0,0,0,0,1,0,0,0,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
21,"Cree,Mallory",,10,0-2,0-0,0-0,2-1,3,1,1,0,0,0,0,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
12,"DiNunzio,Sophia",,7,0-2,0-1,0-0,0-1,1,0,0,1,0,0,0,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
01,"Reed,Maddy",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Gwynedd Mercy,Gwynedd Mercy_Catholic_12-19-2022
04,"Thompson,Erin",*,21,4-8,1-2,0-0,1-3,4,2,4,1,1,0,9,Catholic,Gwynedd Mercy_Catholic_12-19-2022
13,"Scoblick,Anna",*,20,4-7,0-0,0-0,2-4,6,1,1,1,2,2,8,Catholic,Gwynedd Mercy_Catholic_12-19-2022
01,"Bussanich,Rachel",*,17,3-7,0-0,2-2,3-3,6,3,0,2,1,2,8,Catholic,Gwynedd Mercy_Catholic_12-19-2022
25,"Doherty,Erin",*,22,3-12,0-3,0-0,0-3,3,2,1,2,0,0,6,Catholic,Gwynedd Mercy_Catholic_12-19-2022
33,"Douglas,Keegan",*,17,2-3,0-0,0-0,0-1,1,2,5,1,0,1,4,Catholic,Gwynedd Mercy_Catholic_12-19-2022
22,"Mulvaney,Carly",,14,4-8,2-5,2-2,1-3,4,1,0,0,0,1,12,Catholic,Gwynedd Mercy_Catholic_12-19-2022
12,"McCarter,Sammie",,15,2-4,2-3,3-6,1-2,3,0,1,1,0,2,9,Catholic,Gwynedd Mercy_Catholic_12-19-2022
15,"Aromando,Molly",,7,3-5,0-1,3-3,1-0,1,0,0,0,0,0,9,Catholic,Gwynedd Mercy_Catholic_12-19-2022
02,"Melchionni,Anna",,9,1-4,0-0,1-2,2-0,2,0,0,0,0,1,3,Catholic,Gwynedd Mercy_Catholic_12-19-2022
05,"White,Sarah",,15,1-2,0-1,0-0,1-4,5,3,4,3,0,3,2,Catholic,Gwynedd Mercy_Catholic_12-19-2022
10,"Baldo,Amelia",,13,1-4,0-0,0-0,1-2,3,1,1,1,0,0,2,Catholic,Gwynedd Mercy_Catholic_12-19-2022
23,"Redcross,Lauryn",,5,1-4,0-3,0-0,1-0,1,1,0,0,0,0,2,Catholic,Gwynedd Mercy_Catholic_12-19-2022
34,"Bednarek,Maggie",,3,1-2,0-1,0-0,0-0,0,0,0,0,0,1,2,Catholic,Gwynedd Mercy_Catholic_12-19-2022
11,"Kennedy,Amelia",,6,0-2,0-1,0-0,1-1,2,0,0,0,0,0,0,Catholic,Gwynedd Mercy_Catholic_12-19-2022
20,"Beirne,Kaleigh",,6,0-3,0-0,0-0,1-3,4,1,0,1,0,0,0,Catholic,Gwynedd Mercy_Catholic_12-19-2022
30,"Fernandez,Tori",,6,0-1,0-1,0-0,1-0,1,2,0,1,0,0,0,Catholic,Gwynedd Mercy_Catholic_12-19-2022
35,"Hughes,Maggie",,4,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Catholic,Gwynedd Mercy_Catholic_12-19-2022
