##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,Brooke Hickman,*,24,2-15,0-0,6-10,4-5,9,1,0,0,2,0,10,Hiram,Hiram_Juniata_12-31-2022
14,Maddie Rakestraw,*,36,2-10,0-1,4-5,2-4,6,5,2,3,0,3,8,Hiram,Hiram_Juniata_12-31-2022
23,Anastasia Lawler,*,25,2-12,1-9,0-0,0-0,0,0,1,1,0,1,5,Hiram,Hiram_Juniata_12-31-2022
22,Ava Mory,*,26,2-4,0-0,0-0,0-6,6,5,0,3,0,2,4,Hiram,Hiram_Juniata_12-31-2022
00,Taylor Valaitis,*,26,1-3,0-1,1-2,1-4,5,4,2,4,0,0,3,Hiram,Hiram_Juniata_12-31-2022
02,Diara Parsons,,15,1-2,1-1,2-2,0-2,2,0,2,1,0,0,5,Hiram,Hiram_Juniata_12-31-2022
25,Lizzy Scharer,,19,0-1,0-0,3-8,0-0,0,1,0,4,0,1,3,Hiram,Hiram_Juniata_12-31-2022
24,Iyana Smith,,13,1-3,0-1,0-0,0-0,0,1,1,2,0,0,2,Hiram,Hiram_Juniata_12-31-2022
04,Maddie Stevenson,,4,0-1,0-1,1-2,0-0,0,1,0,0,0,1,1,Hiram,Hiram_Juniata_12-31-2022
21,Kelsie Gaiser,,10,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Hiram,Hiram_Juniata_12-31-2022
01,Breyana Buxton,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Hiram,Hiram_Juniata_12-31-2022
13,"Sherman, Haily",*,28,6-10,2-3,2-3,1-5,6,1,0,3,2,1,16,Juniata,Hiram_Juniata_12-31-2022
03,"Miller, Kynnedy",*,27,4-9,3-8,0-0,1-4,5,2,2,0,0,1,11,Juniata,Hiram_Juniata_12-31-2022
05,"Emert, Steph",*,27,4-9,1-1,2-2,1-4,5,3,1,3,2,4,11,Juniata,Hiram_Juniata_12-31-2022
21,"Bodtorf, Bri",*,28,3-8,1-2,2-2,1-4,5,2,5,2,0,3,9,Juniata,Hiram_Juniata_12-31-2022
35,"Betts, Sarah",*,9,0-3,0-1,0-0,0-0,0,3,0,2,0,0,0,Juniata,Hiram_Juniata_12-31-2022
24,"Coolidge, Emma",,28,1-4,0-0,6-8,3-7,10,3,1,2,0,0,8,Juniata,Hiram_Juniata_12-31-2022
11,"Berg, Olivia",,15,1-4,0-1,2-2,0-0,0,2,0,1,0,1,4,Juniata,Hiram_Juniata_12-31-2022
40,"Nonemaker, Emelie",,14,1-3,0-0,0-0,2-4,6,2,0,1,0,0,2,Juniata,Hiram_Juniata_12-31-2022
22,"Eisenberg, Aleya",,8,1-1,0-0,0-0,0-0,0,0,0,2,0,0,2,Juniata,Hiram_Juniata_12-31-2022
44,"McCann, Emily",,9,0-3,0-3,0-0,0-0,0,2,2,2,0,0,0,Juniata,Hiram_Juniata_12-31-2022
34,"Scipioni, Dani",,7,0-1,0-0,0-0,0-0,0,1,1,2,0,0,0,Juniata,Hiram_Juniata_12-31-2022
