##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,"Hickman,Brooke",*,33,2-11,0-0,6-9,6-9,15,3,0,4,2,1,10,Hiram,Hiram_Lycoming_12-29-2023
23,"Lawler,Anastasia",*,34,3-12,2-10,1-1,2-1,3,0,1,4,0,1,9,Hiram,Hiram_Lycoming_12-29-2023
22,"Mory,Ava",*,36,3-11,0-0,2-2,6-7,13,3,2,4,2,0,8,Hiram,Hiram_Lycoming_12-29-2023
14,"Rakestraw,Maddie",*,23,1-8,1-4,0-0,0-1,1,0,0,0,0,0,3,Hiram,Hiram_Lycoming_12-29-2023
02,"Parsons,Diara",*,24,1-6,0-1,0-0,5-0,5,2,2,2,0,0,2,Hiram,Hiram_Lycoming_12-29-2023
21,"Black,Payton",,19,2-5,1-2,0-0,0-0,0,0,2,1,0,0,5,Hiram,Hiram_Lycoming_12-29-2023
25,"Scharer,Lizzy",,12,1-8,1-2,0-0,2-2,4,3,1,5,0,2,3,Hiram,Hiram_Lycoming_12-29-2023
35,"Volpe,Sam",,2,1-1,0-0,0-0,1-0,1,0,0,0,0,1,2,Hiram,Hiram_Lycoming_12-29-2023
34,"Owens,Star",,11,0-1,0-0,0-0,1-1,2,3,0,1,0,0,0,Hiram,Hiram_Lycoming_12-29-2023
04,"Stevenson,Maddie",,6,0-0,0-0,0-0,0-0,0,1,0,1,0,1,0,Hiram,Hiram_Lycoming_12-29-2023
12,"Dufner,Meghan",*,30,3-11,2-5,2-2,0-1,1,1,4,1,0,1,10,Lycoming,Hiram_Lycoming_12-29-2023
22,"Lockard,Emily",*,35,4-10,0-0,1-2,2-9,11,1,1,3,0,4,9,Lycoming,Hiram_Lycoming_12-29-2023
21,"Yoh,Ashley",*,27,4-6,1-2,0-0,1-2,3,3,0,3,0,3,9,Lycoming,Hiram_Lycoming_12-29-2023
25,"Goldenziel,Alicia",*,23,4-9,0-0,1-2,5-3,8,4,4,1,0,0,9,Lycoming,Hiram_Lycoming_12-29-2023
10,"Wetzel,Mya",*,24,0-5,0-5,0-0,0-2,2,1,4,0,0,0,0,Lycoming,Hiram_Lycoming_12-29-2023
02,"Abdo,Kami",,19,3-11,1-6,1-2,0-0,0,0,1,1,0,0,8,Lycoming,Hiram_Lycoming_12-29-2023
14,"McMurtrie,Ann-Marie",,13,2-4,1-2,0-0,2-0,2,0,0,2,0,0,5,Lycoming,Hiram_Lycoming_12-29-2023
15,"Hartman,Makenna",,12,1-3,0-1,1-2,1-3,4,1,0,0,0,1,3,Lycoming,Hiram_Lycoming_12-29-2023
04,"Orich,Maddie",,14,0-0,0-0,0-0,1-1,2,1,2,3,0,1,0,Lycoming,Hiram_Lycoming_12-29-2023
20,"Pumputis,Jillian",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Hiram_Lycoming_12-29-2023
