##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
32,"Lentowski,Abigail",*,30,6-14,0-0,2-2,4-2,6,2,0,1,0,2,14,Immaculata University,Immaculata University_Moravian University_11-30-2022
10,"Kelly,Erin",*,26,2-8,0-4,2-2,1-1,2,3,0,4,0,0,6,Immaculata University,Immaculata University_Moravian University_11-30-2022
25,"Mullins,Reese",*,30,2-11,0-2,1-4,5-5,10,2,0,3,0,1,5,Immaculata University,Immaculata University_Moravian University_11-30-2022
20,"Falcone,Morgan",*,20,1-4,0-1,0-0,1-1,2,3,0,2,0,0,2,Immaculata University,Immaculata University_Moravian University_11-30-2022
33,"Ricker,Meghan",*,23,0-3,0-3,0-0,0-1,1,1,1,2,0,1,0,Immaculata University,Immaculata University_Moravian University_11-30-2022
03,"Liberatoscioli,Tessa",,15,1-5,0-1,6-8,0-0,0,2,3,2,0,5,8,Immaculata University,Immaculata University_Moravian University_11-30-2022
04,"Boyer,Abigail",,11,2-7,0-2,0-0,0-1,1,2,0,1,0,0,4,Immaculata University,Immaculata University_Moravian University_11-30-2022
31,"Ettorre,Olivia",,16,1-2,1-1,0-2,1-3,4,3,1,2,1,0,3,Immaculata University,Immaculata University_Moravian University_11-30-2022
13,"Racobaldo,McKenzie",,4,0-0,0-0,3-4,1-0,1,0,0,1,0,0,3,Immaculata University,Immaculata University_Moravian University_11-30-2022
05,"Desimone,Mary",,9,1-5,0-1,0-1,0-0,0,0,1,1,0,0,2,Immaculata University,Immaculata University_Moravian University_11-30-2022
30,"Scarpone,Francesca",,6,0-2,0-1,0-0,0-0,0,1,0,0,0,0,0,Immaculata University,Immaculata University_Moravian University_11-30-2022
15,"Crowding,Savanna",,5,0-1,0-1,0-0,0-1,1,1,0,1,0,0,0,Immaculata University,Immaculata University_Moravian University_11-30-2022
21,"Philbin,Bridget",,5,0-1,0-0,0-0,1-1,2,0,0,0,0,0,0,Immaculata University,Immaculata University_Moravian University_11-30-2022
2,Kayla Yoegel,*,22,8-12,0-0,7-10,1-2,3,2,1,3,0,4,23,Moravian University,Immaculata University_Moravian University_11-30-2022
20,Tessa Zamolyi,*,25,5-5,0-0,2-6,2-4,6,3,2,4,1,0,12,Moravian University,Immaculata University_Moravian University_11-30-2022
1,Sam Osorio,*,20,4-6,0-0,2-2,1-8,9,3,0,1,4,2,10,Moravian University,Immaculata University_Moravian University_11-30-2022
5,Emily Markowski,*,18,3-5,0-0,0-0,0-3,3,3,2,1,0,1,6,Moravian University,Immaculata University_Moravian University_11-30-2022
24,Morgan Amy,*,22,2-5,1-2,0-0,0-1,1,1,6,2,1,2,5,Moravian University,Immaculata University_Moravian University_11-30-2022
10,Brielle Guarente,,22,3-6,0-0,0-2,1-4,5,2,1,3,0,1,6,Moravian University,Immaculata University_Moravian University_11-30-2022
25,Ashley Robinson,,16,2-5,0-0,2-2,0-6,6,1,1,0,0,0,6,Moravian University,Immaculata University_Moravian University_11-30-2022
14,Reganne Flannery,,15,2-3,1-1,0-0,2-2,4,0,4,1,1,0,5,Moravian University,Immaculata University_Moravian University_11-30-2022
4,Jayda Cartagena,,12,2-2,1-1,0-0,0-1,1,1,2,2,0,0,5,Moravian University,Immaculata University_Moravian University_11-30-2022
12,Mikayla Anderson,,13,1-2,0-0,0-2,2-1,3,3,1,1,2,2,2,Moravian University,Immaculata University_Moravian University_11-30-2022
15,Sarah Miniter,,12,0-3,0-2,0-0,0-0,0,0,0,1,0,1,0,Moravian University,Immaculata University_Moravian University_11-30-2022
13,Nicole Rendina,,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian University,Immaculata University_Moravian University_11-30-2022
