##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Dorn,Emily",*,27,6-7,0-0,4-8,5-8,13,4,3,4,1,1,16,Ithaca,Ithaca_Catholic_11-19-2022
10,"Smith,Natalie",*,31,5-10,2-2,1-2,1-3,4,1,3,0,0,1,13,Ithaca,Ithaca_Catholic_11-19-2022
24,"Albertelli,Lindsey",*,33,4-8,0-1,0-2,2-8,10,1,1,3,4,1,8,Ithaca,Ithaca_Catholic_11-19-2022
33,"Volpe,Cara",*,26,1-8,0-0,0-0,1-4,5,2,2,2,0,0,2,Ithaca,Ithaca_Catholic_11-19-2022
22,"Coffey,Camryn",*,7,0-2,0-2,0-0,0-0,0,2,0,3,0,0,0,Ithaca,Ithaca_Catholic_11-19-2022
31,"Icabalceta,Zoraida",,24,5-9,2-6,1-1,1-1,2,2,3,5,0,2,13,Ithaca,Ithaca_Catholic_11-19-2022
20,"Polce,Hannah",,22,4-9,3-7,0-0,0-2,2,2,1,0,0,1,11,Ithaca,Ithaca_Catholic_11-19-2022
34,"Yorio,Annabella",,19,2-5,0-0,0-4,6-2,8,2,1,2,0,2,4,Ithaca,Ithaca_Catholic_11-19-2022
13,"Sabino,Shaelyn",,11,0-2,0-2,0-0,0-0,0,0,1,1,0,0,0,Ithaca,Ithaca_Catholic_11-19-2022
25,"Doherty,Erin",*,33,10-20,3-6,1-2,0-1,1,2,4,2,1,3,24,Catholic,Ithaca_Catholic_11-19-2022
01,"Bussanich,Rachel",*,34,5-10,1-1,3-4,1-2,3,1,1,2,0,2,14,Catholic,Ithaca_Catholic_11-19-2022
22,"Mulvaney,Carly",*,34,3-9,3-5,0-0,0-4,4,2,2,0,1,1,9,Catholic,Ithaca_Catholic_11-19-2022
04,"Thompson,Erin",*,22,2-4,2-2,0-0,0-0,0,0,1,0,0,0,6,Catholic,Ithaca_Catholic_11-19-2022
33,"Douglas,Keegan",*,17,0-1,0-1,1-2,0-2,2,4,1,1,0,1,1,Catholic,Ithaca_Catholic_11-19-2022
13,"Scoblick,Anna",,18,2-3,0-1,2-4,1-0,1,3,2,0,0,0,6,Catholic,Ithaca_Catholic_11-19-2022
10,"Baldo,Amelia",,23,2-6,0-0,1-2,0-3,3,4,0,2,0,2,5,Catholic,Ithaca_Catholic_11-19-2022
12,"McCarter,Sammie",,12,0-0,0-0,0-0,0-2,2,0,1,2,0,1,0,Catholic,Ithaca_Catholic_11-19-2022
05,"White,Sarah",,7,0-2,0-2,0-0,0-1,1,1,0,0,0,0,0,Catholic,Ithaca_Catholic_11-19-2022
