##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Albertelli,Lindsey",*,26,6-11,0-0,0-0,2-8,10,3,1,3,1,2,12,Ithaca,Ithaca_Scranton_11-29-2022
33,"Volpe,Cara",*,28,4-11,0-0,2-3,2-1,3,3,1,2,0,0,10,Ithaca,Ithaca_Scranton_11-29-2022
10,"Smith,Natalie",*,34,1-8,0-3,6-6,0-4,4,2,0,5,0,0,8,Ithaca,Ithaca_Scranton_11-29-2022
34,"Yorio,Annabella",*,28,0-4,0-0,5-8,6-3,9,3,4,2,1,0,5,Ithaca,Ithaca_Scranton_11-29-2022
22,"Coffey,Camryn",*,24,2-6,1-4,0-0,0-3,3,3,0,4,0,0,5,Ithaca,Ithaca_Scranton_11-29-2022
20,"Polce,Hannah",,21,4-9,1-3,0-0,0-3,3,3,1,3,1,2,9,Ithaca,Ithaca_Scranton_11-29-2022
03,"Payne,Jillian",,12,1-3,1-3,0-0,0-0,0,1,0,0,0,0,3,Ithaca,Ithaca_Scranton_11-29-2022
30,"Watkins,Anya",,15,0-0,0-0,1-2,1-3,4,1,0,0,0,1,1,Ithaca,Ithaca_Scranton_11-29-2022
13,"Sabino,Shaelyn",,12,0-4,0-4,0-0,0-0,0,0,0,1,0,0,0,Ithaca,Ithaca_Scranton_11-29-2022
11,"Kranson,Kaci",*,33,9-14,2-3,4-5,3-4,7,2,0,0,0,3,24,Scranton,Ithaca_Scranton_11-29-2022
24,"Monaghan,Bridget",*,37,7-16,2-4,4-4,1-2,3,2,4,2,0,2,20,Scranton,Ithaca_Scranton_11-29-2022
20,"Rajza,Samantha",*,29,5-9,3-6,1-1,0-4,4,1,0,0,0,1,14,Scranton,Ithaca_Scranton_11-29-2022
00,"Angelini,Hannah",*,21,3-7,0-0,1-1,0-2,2,2,3,1,0,1,7,Scranton,Ithaca_Scranton_11-29-2022
21,"Ryan,Maddy",*,33,1-10,0-0,4-6,3-4,7,4,1,0,0,8,6,Scranton,Ithaca_Scranton_11-29-2022
32,"Walsh,Sara",,12,0-2,0-1,2-2,0-1,1,1,0,0,1,0,2,Scranton,Ithaca_Scranton_11-29-2022
13,"Hartnett,Maddie",,15,0-1,0-0,1-2,1-3,4,2,3,3,0,2,1,Scranton,Ithaca_Scranton_11-29-2022
10,"Lynch,Allie",,15,0-2,0-2,0-2,0-3,3,2,1,1,0,0,0,Scranton,Ithaca_Scranton_11-29-2022
02,"Bender,Ashlyn",,1,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Scranton,Ithaca_Scranton_11-29-2022
03,"Brewer,Morgan",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Ithaca_Scranton_11-29-2022
22,"Nolan,Leah",,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Scranton,Ithaca_Scranton_11-29-2022
23,"Larrabee,Jenna",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Ithaca_Scranton_11-29-2022
30,"Steele,Mackenzie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Ithaca_Scranton_11-29-2022
