##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Healy,Katie",*,34,3-13,0-0,4-5,5-10,15,2,2,2,0,2,10,John Jay,John Jay_Drew_11-26-2022
10,"Green,Bobbi",*,25,2-11,0-3,2-5,2-8,10,1,0,5,0,1,6,John Jay,John Jay_Drew_11-26-2022
13,"Hammond,Kamryn",*,29,1-8,0-2,3-4,1-4,5,1,0,5,0,2,5,John Jay,John Jay_Drew_11-26-2022
20,"Zeolla,Ashley",*,29,2-10,0-0,0-0,1-1,2,3,0,3,1,0,4,John Jay,John Jay_Drew_11-26-2022
03,"Edwards,Ayanna",*,25,0-4,0-0,0-0,0-0,0,0,2,5,0,1,0,John Jay,John Jay_Drew_11-26-2022
02,"Ruiz,Jordyn",,16,2-8,0-0,0-1,0-3,3,1,1,1,1,2,4,John Jay,John Jay_Drew_11-26-2022
23,"Bogle,Tiffany",,4,2-4,0-0,0-0,0-0,0,0,0,0,0,0,4,John Jay,John Jay_Drew_11-26-2022
44,"Powell,Gillian",,5,1-1,0-0,0-0,1-1,2,0,0,0,0,0,2,John Jay,John Jay_Drew_11-26-2022
30,"Kelly,Chayanne",,21,0-4,0-0,0-2,0-3,3,4,3,4,0,2,0,John Jay,John Jay_Drew_11-26-2022
12,"Simonds,Natalie",,10,0-3,0-0,0-0,0-2,2,0,0,0,0,0,0,John Jay,John Jay_Drew_11-26-2022
33,"Robinson,Kylie",,2,0-0,0-0,0-0,2-0,2,1,0,0,0,0,0,John Jay,John Jay_Drew_11-26-2022
02,"Alberici,Gwen",*,30,7-14,1-2,0-0,0-2,2,0,5,3,0,2,15,Drew,John Jay_Drew_11-26-2022
23,"Meyers,Joey",*,26,5-16,0-4,2-2,4-9,13,1,5,4,0,2,12,Drew,John Jay_Drew_11-26-2022
22,"Hezel,Gracie",*,20,4-6,0-0,0-0,0-4,4,3,2,1,0,3,8,Drew,John Jay_Drew_11-26-2022
25,"Struble,Jamie",*,30,2-5,0-0,3-4,1-6,7,1,3,2,3,1,7,Drew,John Jay_Drew_11-26-2022
12,"Morgan,Madelyn",*,25,3-10,0-3,0-0,1-3,4,1,3,1,0,2,6,Drew,John Jay_Drew_11-26-2022
42,"Pica,Gianna",,12,3-5,0-0,1-3,1-3,4,0,0,1,1,0,7,Drew,John Jay_Drew_11-26-2022
04,"Wojtowicz,Katrina",,14,0-3,0-3,0-0,0-4,4,2,0,0,0,2,0,Drew,John Jay_Drew_11-26-2022
13,"Mann,Kyra",,8,0-3,0-2,0-0,0-0,0,1,0,0,0,1,0,Drew,John Jay_Drew_11-26-2022
20,"Hezel,Brenna",,8,0-2,0-0,0-0,1-2,3,0,0,1,0,1,0,Drew,John Jay_Drew_11-26-2022
33,"Beyer,Maddie",,8,0-0,0-0,0-0,1-0,1,1,0,2,0,0,0,Drew,John Jay_Drew_11-26-2022
11,"Dobrich,Beth",,6,0-1,0-0,0-0,0-2,2,0,0,1,0,2,0,Drew,John Jay_Drew_11-26-2022
03,"Lalo,Izzy",,4,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,Drew,John Jay_Drew_11-26-2022
05,"Wood,Ryane",,3,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,Drew,John Jay_Drew_11-26-2022
10,"Graff,Carlye",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,John Jay_Drew_11-26-2022
50,"Antin,Sam",,3,0-1,0-0,0-0,0-1,1,2,0,0,0,0,0,Drew,John Jay_Drew_11-26-2022
