##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"O'Neil,Michaela",*,38,4-12,0-0,5-5,5-2,7,1,1,1,2,2,13,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
04,"Feldman,Macie",*,25,4-15,0-2,0-0,1-8,9,4,4,0,2,2,8,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
12,"Miller,Greta",*,36,3-7,1-3,0-0,1-7,8,4,3,5,1,1,7,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
35,"Murray,Jadyn",*,13,3-5,0-1,0-2,1-1,2,1,0,2,0,0,6,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
25,"Peebles,Elisabeth",*,26,1-8,0-4,2-2,0-1,1,1,1,2,0,0,4,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
33,"Dunham,Kendall",,30,2-8,1-2,3-4,2-2,4,4,3,2,0,0,8,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
30,"Henderson,Layla",,8,0-1,0-0,4-4,1-1,2,0,0,2,0,1,4,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
21,"Milliken,Kara",,20,1-4,1-3,0-0,0-2,2,2,1,0,3,0,3,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
22,"Corelli,Beth",,4,0-3,0-1,0-0,0-1,1,1,0,0,0,0,0,Johns Hopkins,Johns Hopkins_Scranton_3-8-2024
21,"Ryan,Maddy",*,26,8-14,0-0,4-4,5-5,10,4,1,2,2,1,20,Scranton,Johns Hopkins_Scranton_3-8-2024
11,"Kranson,Kaci",*,35,7-18,1-4,0-0,3-6,9,1,2,2,1,1,15,Scranton,Johns Hopkins_Scranton_3-8-2024
13,"Hartnett,Maddie",*,35,3-10,2-6,4-4,0-5,5,3,1,0,2,2,12,Scranton,Johns Hopkins_Scranton_3-8-2024
01,"Romanowski,Kaeli",*,31,1-6,0-2,3-4,0-3,3,3,8,3,1,5,5,Scranton,Johns Hopkins_Scranton_3-8-2024
00,"Angelini,Hannah",*,37,1-7,0-3,0-0,0-4,4,3,2,1,0,1,2,Scranton,Johns Hopkins_Scranton_3-8-2024
12,"Sloan,Jenna",,13,2-3,0-0,1-2,0-3,3,1,1,1,0,0,5,Scranton,Johns Hopkins_Scranton_3-8-2024
33,"Quigley,Kyra",,13,2-4,0-0,0-0,1-2,3,1,1,1,1,0,4,Scranton,Johns Hopkins_Scranton_3-8-2024
05,"Gorski,Katie",,6,0-1,0-0,2-2,0-1,1,0,0,2,0,0,2,Scranton,Johns Hopkins_Scranton_3-8-2024
10,"Lynch,Allie",,4,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Scranton,Johns Hopkins_Scranton_3-8-2024
