##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
32,Diarra Oden,*,27,3-12,1-3,2-2,2-3,5,5,0,3,0,0,9,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
12,Greta Miller,*,34,2-7,0-0,1-2,2-6,8,0,2,3,1,1,5,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
33,Erin Walsh,*,27,2-9,0-0,0-0,4-3,7,1,1,3,2,1,4,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
02,Emily Howie,*,22,1-6,0-3,1-1,1-1,2,0,1,1,0,0,3,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
23,Sophie deBettencourt,*,12,0-3,0-2,0-0,0-0,0,1,0,0,0,1,0,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
00,Natalie Mann,,20,3-10,2-4,1-2,2-3,5,2,0,2,2,0,9,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
35,Jadyn Murray,,12,4-11,0-1,0-0,4-5,9,3,3,1,1,0,8,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
05,Christine Corpuz,,19,1-8,1-5,0-0,0-4,4,0,0,2,0,1,3,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
15,Halie Egan,,19,0-2,0-1,0-0,0-1,1,3,0,1,0,2,0,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
11,Michaela O'Neil,,8,0-1,0-1,0-0,0-0,0,0,0,0,0,1,0,Johns Hopkins,Johns Hopkins_Susquehanna_11-5-2021
21,Olivia Brandt,*,38,8-19,3-8,2-2,4-7,11,0,0,1,0,1,21,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
10,Erin McQuillen,*,34,6-19,4-8,0-0,5-7,12,2,3,1,1,0,16,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
12,Amanda Lemire,*,34,1-7,0-3,0-0,1-2,3,0,3,1,0,2,2,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
24,Sadie Comfort,*,13,1-5,0-3,0-0,1-3,4,3,0,1,0,1,2,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
14,Isabella Schwabe,*,11,0-2,0-0,0-0,1-0,1,1,1,3,3,0,0,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
30,Kaitlyn Lynch,,25,5-9,2-4,1-3,0-1,1,3,2,1,0,2,13,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
23,Amalia Esposito,,30,3-6,0-2,3-5,2-8,10,2,3,4,0,1,9,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
03,Kenzie Selvaggi,,11,1-2,0-0,0-0,0-1,1,1,0,3,0,0,2,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
33,Bri Dorsey,,3,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
20,Megan Emlet,,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Susquehanna,Johns Hopkins_Susquehanna_11-5-2021
