##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
33,Gracie Stauffer,*,32,8-18,0-0,3-5,8-3,11,3,1,2,1,0,19,Juniata College,Juniata College_Moravian College_2-7-2021
30,Averie Hess,*,35,4-11,1-3,1-2,1-4,5,0,2,3,0,0,10,Juniata College,Juniata College_Moravian College_2-7-2021
11,Grace Long,*,30,2-8,2-4,2-2,1-2,3,4,2,3,0,2,8,Juniata College,Juniata College_Moravian College_2-7-2021
22,Madison Colyer,*,29,3-6,0-1,0-0,2-4,6,4,4,1,0,1,6,Juniata College,Juniata College_Moravian College_2-7-2021
23,Cassie Mock,*,28,0-4,0-3,4-6,1-1,2,4,3,8,0,1,4,Juniata College,Juniata College_Moravian College_2-7-2021
42,Taylor Vrabel,,8,3-4,0-0,0-0,0-1,1,0,0,0,0,0,6,Juniata College,Juniata College_Moravian College_2-7-2021
21,Jamie Mahigel,,14,1-4,0-0,0-0,1-2,3,2,1,1,0,1,2,Juniata College,Juniata College_Moravian College_2-7-2021
03,Kynnedy Miller,,24,0-5,0-3,0-0,0-3,3,3,2,5,0,0,0,Juniata College,Juniata College_Moravian College_2-7-2021
02,Kayla Yoegel,*,33,8-14,0-3,2-2,1-10,11,1,1,3,1,2,18,Moravian College,Juniata College_Moravian College_2-7-2021
23,Madison Amy,*,31,4-10,1-5,6-8,0-3,3,3,1,1,0,1,15,Moravian College,Juniata College_Moravian College_2-7-2021
24,Morgan Amy,*,34,4-13,1-3,3-4,0-3,3,2,3,1,1,3,12,Moravian College,Juniata College_Moravian College_2-7-2021
01,Sam Osorio,*,21,2-5,0-0,1-2,2-1,3,5,0,5,0,2,5,Moravian College,Juniata College_Moravian College_2-7-2021
12,Sarah Donati,*,13,2-3,1-1,0-0,1-0,1,2,0,0,0,0,5,Moravian College,Juniata College_Moravian College_2-7-2021
21,Alix Buskirk,,11,1-1,0-0,2-2,1-0,1,0,0,0,0,0,4,Moravian College,Juniata College_Moravian College_2-7-2021
40,Sara Geary,,9,2-5,0-0,0-0,1-0,1,0,1,0,1,0,4,Moravian College,Juniata College_Moravian College_2-7-2021
14,Reganne Flannery,,10,1-2,0-0,0-0,0-1,1,2,1,0,0,0,2,Moravian College,Juniata College_Moravian College_2-7-2021
05,Emily Markowski,,20,0-1,0-1,0-0,0-2,2,2,0,2,1,2,0,Moravian College,Juniata College_Moravian College_2-7-2021
20,Rachel Sutton,,9,0-0,0-0,0-0,0-1,1,0,0,1,1,0,0,Moravian College,Juniata College_Moravian College_2-7-2021
04,Jackie Kelly,,6,0-1,0-0,0-0,0-0,0,0,0,1,1,0,0,Moravian College,Juniata College_Moravian College_2-7-2021
15,Jordan Beneducci,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Moravian College,Juniata College_Moravian College_2-7-2021
