##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
3,Kynnedy Miller,*,34,4-10,4-7,2-2,1-2,3,3,1,3,0,1,14,Juniata College,Juniata College_Moravian University_1-13-2023
24,Emma Coolidge,*,24,4-5,1-1,0-0,0-2,2,2,0,4,0,1,9,Juniata College,Juniata College_Moravian University_1-13-2023
13,Haily Sherman,*,21,3-9,0-2,2-2,0-5,5,2,1,4,0,1,8,Juniata College,Juniata College_Moravian University_1-13-2023
21,Bri Bodtorf,*,22,3-7,1-3,0-0,1-4,5,4,0,2,0,0,7,Juniata College,Juniata College_Moravian University_1-13-2023
5,Steph Emert,*,22,2-6,0-1,1-2,1-2,3,0,4,1,0,0,5,Juniata College,Juniata College_Moravian University_1-13-2023
35,Sarah Betts,,18,2-7,0-1,2-3,0-3,3,2,1,1,0,1,6,Juniata College,Juniata College_Moravian University_1-13-2023
40,Emelie Nonemaker,,15,2-3,0-0,1-1,1-0,1,2,2,3,0,1,5,Juniata College,Juniata College_Moravian University_1-13-2023
34,Dani Scipioni,,8,2-2,0-0,0-0,0-0,0,1,0,1,0,0,4,Juniata College,Juniata College_Moravian University_1-13-2023
44,Emily McCann,,21,0-5,0-2,2-3,0-2,2,1,3,1,0,0,2,Juniata College,Juniata College_Moravian University_1-13-2023
11,Olivia Berg,,8,0-2,0-0,0-0,0-0,0,0,0,1,0,0,0,Juniata College,Juniata College_Moravian University_1-13-2023
22,Aleya Eisenberg,,7,0-0,0-0,0-0,0-2,2,1,0,0,0,0,0,Juniata College,Juniata College_Moravian University_1-13-2023
2,Kayla Yoegel,*,24,6-14,3-6,5-6,2-1,3,2,0,1,1,2,20,Moravian University,Juniata College_Moravian University_1-13-2023
20,Tessa Zamolyi,*,25,6-10,0-0,0-0,3-6,9,2,7,0,0,1,12,Moravian University,Juniata College_Moravian University_1-13-2023
1,Sam Osorio,*,20,5-9,0-0,0-0,4-4,8,2,1,3,1,0,10,Moravian University,Juniata College_Moravian University_1-13-2023
24,Morgan Amy,*,24,2-5,2-3,0-0,0-3,3,1,6,2,1,2,6,Moravian University,Juniata College_Moravian University_1-13-2023
5,Emily Markowski,*,23,2-5,1-1,1-2,0-1,1,0,4,1,1,3,6,Moravian University,Juniata College_Moravian University_1-13-2023
10,Brielle Guarente,,22,4-9,0-0,3-6,2-4,6,3,1,2,1,1,11,Moravian University,Juniata College_Moravian University_1-13-2023
25,Ashley Robinson,,20,1-3,0-0,2-2,2-4,6,3,0,3,1,2,4,Moravian University,Juniata College_Moravian University_1-13-2023
12,Mikayla Anderson,,9,2-2,0-0,0-0,0-1,1,1,0,1,0,0,4,Moravian University,Juniata College_Moravian University_1-13-2023
15,Sarah Miniter,,9,1-3,0-0,0-0,2-1,3,0,0,1,0,0,2,Moravian University,Juniata College_Moravian University_1-13-2023
14,Reganne Flannery,,14,0-3,0-0,0-0,2-1,3,2,0,1,0,1,0,Moravian University,Juniata College_Moravian University_1-13-2023
4,Jayda Cartagena,,10,0-4,0-0,0-0,0-0,0,2,1,3,0,0,0,Moravian University,Juniata College_Moravian University_1-13-2023
