##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,"Sherman,Haily",*,24,7-13,2-5,0-0,0-1,1,4,1,0,0,0,16,Juniata,Juniata_Alvernia_12-20-2022
21,"Bodtorf,Bri",*,32,4-11,0-4,4-4,2-6,8,1,4,2,0,1,12,Juniata,Juniata_Alvernia_12-20-2022
03,"Miller,Kynnedy",*,23,2-5,1-4,0-0,0-3,3,2,1,2,1,1,5,Juniata,Juniata_Alvernia_12-20-2022
05,"Emert,Steph",*,25,2-6,0-1,0-0,0-1,1,2,1,1,0,1,4,Juniata,Juniata_Alvernia_12-20-2022
35,"Betts,Sarah",*,20,1-6,0-1,0-0,2-3,5,0,2,3,0,1,2,Juniata,Juniata_Alvernia_12-20-2022
40,"Nonemaker,Emelie",,18,4-6,0-0,0-2,2-1,3,1,1,2,0,1,8,Juniata,Juniata_Alvernia_12-20-2022
44,"McCann,Emily",,14,2-5,1-4,0-0,0-1,1,0,1,2,0,0,5,Juniata,Juniata_Alvernia_12-20-2022
11,"Berg,Olivia",,13,2-6,0-2,0-0,3-0,3,0,2,0,1,2,4,Juniata,Juniata_Alvernia_12-20-2022
24,"Coolidge,Emma",,18,1-5,0-0,0-0,1-5,6,0,1,2,0,0,2,Juniata,Juniata_Alvernia_12-20-2022
34,"Scipioni,Dani",,9,0-0,0-0,0-0,1-1,2,0,0,1,0,0,0,Juniata,Juniata_Alvernia_12-20-2022
22,"Eisenberg,Aleya",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Juniata,Juniata_Alvernia_12-20-2022
11,"Karmonick,Jordan",*,28,6-14,3-9,2-2,4-5,9,1,8,2,0,2,17,Alvernia,Juniata_Alvernia_12-20-2022
02,"Malone,Taliyah",*,33,6-12,3-5,0-0,2-0,2,2,4,0,0,4,15,Alvernia,Juniata_Alvernia_12-20-2022
03,"Wessels,Tamia",*,22,4-8,3-4,1-2,3-3,6,0,2,0,0,2,12,Alvernia,Juniata_Alvernia_12-20-2022
42,"Kramer,Cathryn",*,26,5-6,0-0,1-1,2-7,9,1,3,2,0,1,11,Alvernia,Juniata_Alvernia_12-20-2022
22,"Williams,Kayla",*,27,3-11,0-2,3-5,2-4,6,0,3,0,1,0,9,Alvernia,Juniata_Alvernia_12-20-2022
14,"Ruth,Meghan",,12,3-6,0-1,0-0,0-0,0,2,0,0,1,0,6,Alvernia,Juniata_Alvernia_12-20-2022
01,"Bradford,Kylie",,5,2-2,0-0,0-0,0-0,0,1,0,0,0,0,4,Alvernia,Juniata_Alvernia_12-20-2022
10,"Etchison,Nicole",,11,1-3,0-0,0-0,1-1,2,0,1,1,0,0,2,Alvernia,Juniata_Alvernia_12-20-2022
23,"Ingelido,Jordyn",,8,0-1,0-1,2-2,1-0,1,0,0,0,0,0,2,Alvernia,Juniata_Alvernia_12-20-2022
20,"Fetter,Kelly",,6,1-3,0-0,0-0,0-0,0,0,0,1,0,0,2,Alvernia,Juniata_Alvernia_12-20-2022
00,"Robinson,Tyra",,12,0-5,0-3,0-0,1-0,1,1,1,1,1,0,0,Alvernia,Juniata_Alvernia_12-20-2022
12,"Miskar,Madison",,4,0-0,0-0,0-0,0-1,1,0,0,3,0,0,0,Alvernia,Juniata_Alvernia_12-20-2022
33,"Reedy,Caroline",,4,0-2,0-1,0-0,1-3,4,0,0,1,1,0,0,Alvernia,Juniata_Alvernia_12-20-2022
04,"Mangum,Jadah",,2,0-0,0-0,0-0,0-1,1,0,1,0,0,0,0,Alvernia,Juniata_Alvernia_12-20-2022
