##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,Haily Sherman,*,36,9-17,1-4,1-2,2-4,6,4,1,1,0,2,20,Juniata,Juniata_Arcadia_11-21-2023
11,Olivia Berg,*,39,4-9,1-4,5-7,4-3,7,5,1,2,0,1,14,Juniata,Juniata_Arcadia_11-21-2023
21,Bri Bodtorf,*,37,4-10,3-5,1-2,2-8,10,5,4,6,2,2,12,Juniata,Juniata_Arcadia_11-21-2023
31,Lanie Gerdich,*,25,2-6,0-0,2-6,3-5,8,3,0,3,0,1,6,Juniata,Juniata_Arcadia_11-21-2023
03,Kynnedy Miller,*,26,0-7,0-5,2-2,3-1,4,2,1,1,0,2,2,Juniata,Juniata_Arcadia_11-21-2023
43,Emily McCann,,16,2-6,0-1,2-4,0-3,3,2,0,1,0,0,6,Juniata,Juniata_Arcadia_11-21-2023
35,Sarah Betts,,16,1-8,0-1,2-2,0-1,1,0,1,1,1,0,4,Juniata,Juniata_Arcadia_11-21-2023
04,Steph Emert,,19,1-4,1-1,0-0,0-3,3,1,1,1,0,0,3,Juniata,Juniata_Arcadia_11-21-2023
24,Emma Coolidge,,8,0-3,0-0,0-0,0-2,2,2,0,0,0,1,0,Juniata,Juniata_Arcadia_11-21-2023
23,Deja Gillo,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Arcadia_11-21-2023
25,Chloe Sauer,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Arcadia_11-21-2023
21,Hanna Rhoades,*,39,4-13,2-9,6-9,0-2,2,1,2,2,0,0,16,Arcadia,Juniata_Arcadia_11-21-2023
13,Delaney Bell,*,45,2-12,1-4,7-10,5-8,13,3,4,2,2,1,12,Arcadia,Juniata_Arcadia_11-21-2023
11,Mara Weaver,*,35,4-10,2-6,2-4,1-7,8,3,4,2,3,1,12,Arcadia,Juniata_Arcadia_11-21-2023
20,Katie Rodriguez,*,26,5-9,0-0,0-0,5-4,9,2,1,0,2,0,10,Arcadia,Juniata_Arcadia_11-21-2023
05,Scarlett Glasser-Neh,*,35,3-9,2-5,1-2,2-2,4,4,2,3,0,1,9,Arcadia,Juniata_Arcadia_11-21-2023
02,Abby Beam,,32,2-6,0-1,2-6,1-5,6,2,2,5,1,1,6,Arcadia,Juniata_Arcadia_11-21-2023
24,Riley O'Hagan,,9,1-4,1-4,0-0,0-0,0,2,0,1,0,0,3,Arcadia,Juniata_Arcadia_11-21-2023
10,Kylie Meredith,,4,0-0,0-0,0-0,0-0,0,1,0,0,1,0,0,Arcadia,Juniata_Arcadia_11-21-2023
