##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,Averie Hess,*,37,7-12,2-3,0-0,0-9,9,3,3,2,0,1,16,Juniata,Juniata_Bethany (WV)_12-7-2021
13,Haily Sherman,*,30,4-18,0-2,4-6,3-3,6,2,0,6,2,2,12,Juniata,Juniata_Bethany (WV)_12-7-2021
23,Cassie Mock,*,37,4-8,3-5,0-0,1-5,6,4,1,5,0,2,11,Juniata,Juniata_Bethany (WV)_12-7-2021
03,Kynnedy Miller,*,30,1-6,0-3,2-3,2-1,3,3,1,2,0,2,4,Juniata,Juniata_Bethany (WV)_12-7-2021
11,Grace Long,*,30,2-7,0-2,0-0,1-4,5,4,1,0,0,0,4,Juniata,Juniata_Bethany (WV)_12-7-2021
05,Steph Emert,,21,3-3,0-0,2-2,2-1,3,4,0,1,1,1,8,Juniata,Juniata_Bethany (WV)_12-7-2021
40,Emelie Nonemaker,,9,0-1,0-0,0-0,0-2,2,0,0,2,0,0,0,Juniata,Juniata_Bethany (WV)_12-7-2021
21,Jamie Mahigel,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,1,0,Juniata,Juniata_Bethany (WV)_12-7-2021
35,Sarah Betts,,3,0-2,0-2,0-0,0-0,0,1,0,1,0,0,0,Juniata,Juniata_Bethany (WV)_12-7-2021
30,Makenzee Mason,*,27,3-5,1-2,9-13,0-4,4,4,1,3,0,1,16,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
02,Lindsey  Garrison,*,34,5-18,3-11,0-0,0-0,0,1,0,2,0,2,13,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
20,Ashleigh Wheeler,*,38,3-5,2-4,0-3,1-2,3,1,5,4,0,1,8,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
32,Taylor Stinnett,*,28,1-3,0-1,4-5,3-9,12,1,0,6,2,0,6,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
22,Alexis Heap,*,30,2-7,0-0,0-0,2-2,4,0,2,1,0,2,4,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
05,Courtney Walker,,18,7-10,3-5,0-0,0-2,2,3,0,2,1,1,17,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
23,Kelsie Meintel,,12,0-0,0-0,1-4,1-2,3,3,1,1,0,2,1,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
01,Alexis Reed,,13,0-0,0-0,0-0,0-2,2,2,1,1,0,2,0,Bethany (WV),Juniata_Bethany (WV)_12-7-2021
