##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,"Sherman,Haily",*,35,7-18,3-7,3-4,1-1,2,2,2,5,0,2,20,Juniata,Juniata_Catholic_1-15-2025
04,"Emert,Steph",*,29,5-12,3-6,2-3,0-2,2,4,3,2,0,1,15,Juniata,Juniata_Catholic_1-15-2025
21,"Bodtorf,Bri",*,36,4-7,2-3,2-2,0-2,2,2,4,6,0,1,12,Juniata,Juniata_Catholic_1-15-2025
31,"Gerdich,Laney",*,22,5-6,0-0,2-2,5-6,11,2,1,1,0,0,12,Juniata,Juniata_Catholic_1-15-2025
11,"Berg,Olivia",*,20,0-2,0-2,0-0,0-1,1,0,4,1,0,0,0,Juniata,Juniata_Catholic_1-15-2025
35,"Betts,Sarah",,16,3-4,1-1,0-0,1-1,2,0,0,0,1,0,7,Juniata,Juniata_Catholic_1-15-2025
43,"McCann,Emily",,16,1-3,1-1,2-2,0-0,0,1,0,0,0,0,5,Juniata,Juniata_Catholic_1-15-2025
23,"Gillo,Deja",,17,0-2,0-1,3-4,0-2,2,1,2,1,0,0,3,Juniata,Juniata_Catholic_1-15-2025
24,"Coolidge,Emma",,8,0-0,0-0,0-0,0-0,0,0,2,0,0,0,0,Juniata,Juniata_Catholic_1-15-2025
40,"Nonemaker,Emelie",,1,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Juniata,Juniata_Catholic_1-15-2025
13,"Scoblick,Anna",*,33,10-15,0-0,1-2,1-8,9,1,3,5,1,2,21,Catholic,Juniata_Catholic_1-15-2025
10,"Flaherty,Kerry",*,30,6-13,4-11,0-0,1-2,3,2,3,0,0,2,16,Catholic,Juniata_Catholic_1-15-2025
33,"Douglas,Keegan",*,16,3-7,1-2,0-0,1-0,1,2,2,0,1,0,7,Catholic,Juniata_Catholic_1-15-2025
22,"Mulvaney,Carly",*,31,2-3,0-0,1-2,1-3,4,2,1,1,0,3,5,Catholic,Juniata_Catholic_1-15-2025
24,"Kenah,Alexa",*,25,2-5,0-1,0-0,1-3,4,3,2,0,0,2,4,Catholic,Juniata_Catholic_1-15-2025
11,"Kennedy,Amelia",,24,6-10,1-3,2-3,2-1,3,2,3,1,0,1,15,Catholic,Juniata_Catholic_1-15-2025
03,"Travieso,Sofia",,14,3-4,2-2,2-2,0-3,3,2,1,0,1,1,10,Catholic,Juniata_Catholic_1-15-2025
41,"Blumenthal,Sam",,8,3-3,0-0,0-0,2-0,2,3,1,0,0,0,6,Catholic,Juniata_Catholic_1-15-2025
34,"Hughes,Maggie",,13,2-3,0-0,0-0,1-0,1,1,0,0,0,1,4,Catholic,Juniata_Catholic_1-15-2025
15,"Iacone,Ella",,6,1-3,0-2,0-0,0-0,0,2,0,2,0,1,2,Catholic,Juniata_Catholic_1-15-2025
