##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,Averie Hess,*,31,5-16,1-5,2-2,1-4,5,5,1,2,0,0,13,Juniata,Juniata_Drew_1-22-2022
11,Grace Long,*,26,1-7,0-2,2-2,1-4,5,4,1,5,0,0,4,Juniata,Juniata_Drew_1-22-2022
05,Steph Emert,*,16,1-3,1-2,0-0,0-1,1,1,1,1,0,1,3,Juniata,Juniata_Drew_1-22-2022
03,Kynnedy Miller,*,25,0-6,0-5,2-2,0-0,0,2,1,3,0,0,2,Juniata,Juniata_Drew_1-22-2022
23,Cassie Mock,*,26,0-0,0-0,0-0,1-2,3,4,3,3,0,2,0,Juniata,Juniata_Drew_1-22-2022
42,Taylor Vrabel,,24,4-8,0-0,3-6,4-5,9,2,1,0,0,0,11,Juniata,Juniata_Drew_1-22-2022
40,Emelie Nonemaker,,16,1-5,0-1,2-4,2-3,5,2,0,4,0,1,4,Juniata,Juniata_Drew_1-22-2022
21,Jamie Mahigel,,7,1-2,1-1,0-0,0-0,0,0,0,0,0,0,3,Juniata,Juniata_Drew_1-22-2022
34,Dani Scipioni,,11,0-3,0-1,2-4,1-3,4,2,1,0,0,0,2,Juniata,Juniata_Drew_1-22-2022
35,Sarah Betts,,15,0-5,0-3,0-2,1-1,2,2,1,3,0,0,0,Juniata,Juniata_Drew_1-22-2022
22,Aleya Eisenberg,,3,0-1,0-1,0-2,0-0,0,1,0,1,0,0,0,Juniata,Juniata_Drew_1-22-2022
23,Joey Meyers,*,27,7-10,0-1,3-3,3-7,10,3,4,2,0,4,17,Drew,Juniata_Drew_1-22-2022
20,Erin Frederick,*,21,7-12,0-0,0-1,2-3,5,2,2,2,1,1,14,Drew,Juniata_Drew_1-22-2022
13,Kyra Mann,*,21,6-7,0-0,0-0,0-0,0,0,2,1,0,1,12,Drew,Juniata_Drew_1-22-2022
02,Gwen Alberici,*,20,1-7,0-2,3-6,0-2,2,1,3,1,0,5,5,Drew,Juniata_Drew_1-22-2022
15,Cecelia Kracht,*,20,1-1,0-0,0-0,1-1,2,2,3,0,1,0,2,Drew,Juniata_Drew_1-22-2022
33,Sekya Campbell,,19,1-8,0-0,6-8,1-2,3,3,0,3,0,2,8,Drew,Juniata_Drew_1-22-2022
04,Katrina Wojtowicz,,14,2-4,1-2,0-0,0-3,3,0,1,0,3,0,5,Drew,Juniata_Drew_1-22-2022
22,Brooke Timinski,,10,1-4,0-2,2-2,0-1,1,0,0,0,0,1,4,Drew,Juniata_Drew_1-22-2022
25,Jamie Struble,,13,0-0,0-0,3-4,0-2,2,5,0,1,1,0,3,Drew,Juniata_Drew_1-22-2022
11,Lauren Cruse,,12,1-5,1-2,0-0,2-3,5,1,0,1,0,1,3,Drew,Juniata_Drew_1-22-2022
03,Izzy Lalo,,7,0-2,0-0,2-2,0-0,0,2,0,0,0,0,2,Drew,Juniata_Drew_1-22-2022
50,Sam Antin,,4,0-0,0-0,2-2,1-1,2,0,0,2,1,0,2,Drew,Juniata_Drew_1-22-2022
05,Micela Genua,,9,0-0,0-0,0-0,0-0,0,1,1,1,0,1,0,Drew,Juniata_Drew_1-22-2022
10,Carlye Graff,,3,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Drew,Juniata_Drew_1-22-2022
