##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,Steph Emert,*,29,6-15,1-3,7-7,3-1,4,1,0,1,0,2,20,Juniata,Juniata_Elizabethtown_12-4-2024
13,Haily Sherman,*,24,6-14,0-2,1-1,1-3,4,4,0,0,0,2,13,Juniata,Juniata_Elizabethtown_12-4-2024
31,Laney Gerdich,*,24,4-4,0-0,2-2,3-2,5,2,0,1,0,1,10,Juniata,Juniata_Elizabethtown_12-4-2024
21,Bri Bodtorf,*,28,1-9,0-2,0-0,0-2,2,1,4,2,0,2,2,Juniata,Juniata_Elizabethtown_12-4-2024
11,Olivia Berg,*,17,0-2,0-2,0-0,0-2,2,1,0,3,0,0,0,Juniata,Juniata_Elizabethtown_12-4-2024
43,Emily McCann,,16,1-3,0-0,4-4,1-0,1,0,1,1,0,0,6,Juniata,Juniata_Elizabethtown_12-4-2024
24,Emma Coolidge,,19,2-5,0-0,0-0,1-1,2,2,0,2,0,0,4,Juniata,Juniata_Elizabethtown_12-4-2024
40,Emelie Nonemaker,,7,1-3,0-0,1-1,0-0,0,0,0,0,0,1,3,Juniata,Juniata_Elizabethtown_12-4-2024
23,Deja Gillo,,21,1-5,0-3,0-0,0-1,1,0,3,4,0,1,2,Juniata,Juniata_Elizabethtown_12-4-2024
35,Sarah Betts,,11,0-1,0-0,2-2,0-1,1,0,0,0,0,0,2,Juniata,Juniata_Elizabethtown_12-4-2024
03,Michaela Owens,,2,0-0,0-0,2-2,0-1,1,0,0,0,0,0,2,Juniata,Juniata_Elizabethtown_12-4-2024
12,Gemma Navickas,,2,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Juniata,Juniata_Elizabethtown_12-4-2024
30,Jess King,*,29,10-12,0-0,0-0,2-7,9,2,1,1,1,3,20,Elizabethtown,Juniata_Elizabethtown_12-4-2024
34,DaniRae Renno,*,17,5-7,0-0,2-2,2-4,6,1,1,1,1,1,12,Elizabethtown,Juniata_Elizabethtown_12-4-2024
02,Makenna Mummert,*,21,4-6,2-2,0-0,1-2,3,3,2,1,1,1,10,Elizabethtown,Juniata_Elizabethtown_12-4-2024
05,Ella Gordon,*,23,1-6,1-4,0-0,0-0,0,2,0,1,0,0,3,Elizabethtown,Juniata_Elizabethtown_12-4-2024
25,Summer McNulty,*,26,0-6,0-3,0-0,3-2,5,0,4,5,0,1,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
31,Allyia Kennedy,,24,7-8,0-0,4-5,2-5,7,3,8,3,2,0,18,Elizabethtown,Juniata_Elizabethtown_12-4-2024
04,Cyleigh Wilson,,17,4-7,3-5,0-0,0-2,2,0,3,1,0,0,11,Elizabethtown,Juniata_Elizabethtown_12-4-2024
03,Lindsay Boyd,,18,3-8,2-4,0-0,2-2,4,2,2,2,0,2,8,Elizabethtown,Juniata_Elizabethtown_12-4-2024
40,Grace O'Connor,,15,1-1,0-0,0-0,0-0,0,2,2,1,0,0,2,Elizabethtown,Juniata_Elizabethtown_12-4-2024
24,Ellie Fasick,,1,1-1,0-0,0-0,1-0,1,0,0,0,0,0,2,Elizabethtown,Juniata_Elizabethtown_12-4-2024
14,Ava Chapman,,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
10,Cadence Anderson,,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
12,Jess Pronchick,,1,0-0,0-0,0-0,0-1,1,2,0,1,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
15,Kiley Wilhelm,,1,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
20,Mallory Elias,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
21,Ashley Adamson,,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
22,Alex Gonzalez,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
35,Peyton Houlihan,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Juniata_Elizabethtown_12-4-2024
