##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,Haily Sherman,*,33,8-23,1-7,3-4,11-5,16,1,2,2,0,2,20,Juniata,Juniata_Elmira_12-1-2021
03,Kynnedy Miller,*,27,3-8,3-5,3-4,1-0,1,0,2,2,0,0,12,Juniata,Juniata_Elmira_12-1-2021
11,Grace Long,*,27,3-14,2-9,4-4,3-5,8,4,2,1,0,4,12,Juniata,Juniata_Elmira_12-1-2021
23,Cassie Mock,*,36,2-7,2-5,0-0,0-7,7,2,7,2,0,1,6,Juniata,Juniata_Elmira_12-1-2021
30,Averie Hess,*,21,2-9,1-3,1-2,2-3,5,4,2,1,0,0,6,Juniata,Juniata_Elmira_12-1-2021
35,Sarah Betts,,21,1-4,0-2,0-0,1-0,1,1,2,3,0,1,2,Juniata,Juniata_Elmira_12-1-2021
05,Steph Emert,,10,1-4,0-1,0-0,0-1,1,2,0,1,0,1,2,Juniata,Juniata_Elmira_12-1-2021
42,Taylor Vrabel,,6,1-4,0-0,0-0,3-2,5,1,0,1,1,0,2,Juniata,Juniata_Elmira_12-1-2021
34,Dani Scipioni,,14,0-4,0-1,0-0,0-0,0,2,2,0,0,1,0,Juniata,Juniata_Elmira_12-1-2021
40,Emelie Nonemaker,,3,0-1,0-0,0-0,0-0,0,2,0,1,0,0,0,Juniata,Juniata_Elmira_12-1-2021
22,Aleya Eisenberg,,2,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Juniata,Juniata_Elmira_12-1-2021
13,Taylor Albrecht,*,26,6-8,0-0,2-4,1-8,9,4,0,1,1,2,14,Elmira,Juniata_Elmira_12-1-2021
02,Alyssa Waters,*,38,3-12,1-4,6-11,1-4,5,1,5,5,0,1,13,Elmira,Juniata_Elmira_12-1-2021
21,Olivia Ayres,*,28,2-9,1-5,1-1,0-2,2,3,2,0,1,0,6,Elmira,Juniata_Elmira_12-1-2021
24,Desiree Roy,*,27,2-5,0-0,0-0,2-4,6,5,3,3,2,2,4,Elmira,Juniata_Elmira_12-1-2021
20,Alicia Johnson,*,23,2-4,0-0,0-0,0-1,1,2,3,3,0,0,4,Elmira,Juniata_Elmira_12-1-2021
25,D'Asia Jones,,23,3-4,0-0,3-3,1-2,3,3,2,4,0,0,9,Elmira,Juniata_Elmira_12-1-2021
01,Nevaeh Winston,,24,1-4,0-0,1-4,1-4,5,3,0,4,2,2,3,Elmira,Juniata_Elmira_12-1-2021
22,Anna Ward,,5,0-4,0-0,0-0,4-2,6,0,0,1,0,0,0,Elmira,Juniata_Elmira_12-1-2021
10,Taylor Jung,,4,0-0,0-0,0-0,0-3,3,0,0,0,0,0,0,Elmira,Juniata_Elmira_12-1-2021
11,Ahnaiyah Free,,2,0-2,0-0,0-2,0-1,1,1,0,1,0,0,0,Elmira,Juniata_Elmira_12-1-2021
