##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,"Emert,Steph",*,34,5-17,0-5,5-6,2-5,7,0,0,2,1,3,15,Juniata,Juniata_Goucher_2-4-2023
13,"Sherman,Haily",*,32,2-13,2-4,2-6,1-7,8,2,0,2,1,0,8,Juniata,Juniata_Goucher_2-4-2023
03,"Miller,Kynnedy",*,27,2-10,1-5,1-2,2-1,3,3,0,4,0,2,6,Juniata,Juniata_Goucher_2-4-2023
40,"Nonemaker,Emelie",*,25,1-4,0-0,1-3,3-5,8,3,0,2,0,0,3,Juniata,Juniata_Goucher_2-4-2023
21,"Bodtorf,Bri",*,29,0-5,0-3,1-2,2-4,6,3,3,3,1,1,1,Juniata,Juniata_Goucher_2-4-2023
44,"McCann,Emily",,17,6-8,2-3,3-3,1-2,3,4,0,0,0,0,17,Juniata,Juniata_Goucher_2-4-2023
24,"Coolidge,Emma",,10,3-5,0-0,0-0,2-2,4,4,0,2,0,1,6,Juniata,Juniata_Goucher_2-4-2023
35,"Betts,Sarah",,13,1-2,0-0,0-0,1-0,1,3,2,1,0,1,2,Juniata,Juniata_Goucher_2-4-2023
11,"Berg,Olivia",,4,0-0,0-0,1-2,0-0,0,0,0,1,0,1,1,Juniata,Juniata_Goucher_2-4-2023
34,"Scipioni,Dani",,7,0-0,0-0,0-0,1-0,1,1,1,1,0,1,0,Juniata,Juniata_Goucher_2-4-2023
22,"Eisenberg,Aleya",,2,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Juniata,Juniata_Goucher_2-4-2023
05,"Smith,Kyla",*,38,6-28,1-9,4-5,3-5,8,2,0,5,1,2,17,Goucher,Juniata_Goucher_2-4-2023
23,"Quarles,Kyani",*,38,6-9,0-0,2-5,9-3,12,5,1,3,1,0,14,Goucher,Juniata_Goucher_2-4-2023
20,"Kuhlman,Alexis",*,33,2-12,0-4,5-5,1-6,7,4,1,3,2,1,9,Goucher,Juniata_Goucher_2-4-2023
15,"Lawrence,Kendra",*,22,2-9,0-0,2-3,5-6,11,5,1,3,2,2,6,Goucher,Juniata_Goucher_2-4-2023
04,"Cavoli,Julia",*,20,0-4,0-1,1-2,0-1,1,4,0,0,0,0,1,Goucher,Juniata_Goucher_2-4-2023
14,"McFadden,Alayna",,26,2-7,0-1,2-2,1-2,3,0,3,1,0,1,6,Goucher,Juniata_Goucher_2-4-2023
12,"Haggins,Briyah",,19,0-2,0-0,0-0,0-4,4,1,0,3,0,0,0,Goucher,Juniata_Goucher_2-4-2023
22,"Nwuli,Sydney",,4,0-0,0-0,0-0,0-0,0,4,0,0,0,0,0,Goucher,Juniata_Goucher_2-4-2023
