##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,Olivia Berg,*,27,3-7,3-5,1-2,0-4,4,1,1,1,0,2,10,Juniata,Juniata_Grove City_11-11-2023
03,Kynnedy Miller,*,28,1-8,0-4,4-8,3-4,7,2,1,3,0,0,6,Juniata,Juniata_Grove City_11-11-2023
31,Laney Gerdich,*,27,2-4,0-0,1-2,5-7,12,3,1,3,1,0,5,Juniata,Juniata_Grove City_11-11-2023
13,Haily Sherman,*,24,1-9,0-7,2-2,0-2,2,1,1,5,0,1,4,Juniata,Juniata_Grove City_11-11-2023
43,Emily McCann,*,11,1-6,1-4,0-0,0-0,0,4,0,1,0,0,3,Juniata,Juniata_Grove City_11-11-2023
35,Sarah Betts,,18,3-5,2-3,0-0,0-3,3,1,0,1,0,0,8,Juniata,Juniata_Grove City_11-11-2023
04,Steph Emert,,26,2-8,0-3,3-4,1-3,4,3,2,2,2,2,7,Juniata,Juniata_Grove City_11-11-2023
24,Emma Coolidge,,9,1-2,1-1,1-2,1-0,1,1,0,0,0,0,4,Juniata,Juniata_Grove City_11-11-2023
23,Deja Gillo,,10,1-2,0-1,1-2,0-1,1,0,0,2,0,1,3,Juniata,Juniata_Grove City_11-11-2023
22,Aleya Eisenberg,,9,0-0,0-0,2-2,0-2,2,1,2,2,0,0,2,Juniata,Juniata_Grove City_11-11-2023
40,Emelie Nonemaker,,9,0-3,0-0,0-0,0-0,0,0,1,1,1,0,0,Juniata,Juniata_Grove City_11-11-2023
25,Chloe Sauer,,2,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Juniata,Juniata_Grove City_11-11-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-5,8,0,0,1,0,0,0,Juniata,Juniata_Grove City_11-11-2023
12,Clara Hannon,*,26,5-13,2-6,1-2,1-1,2,2,2,1,1,1,13,Grove City,Juniata_Grove City_11-11-2023
40,Meredith Sherrerd,*,19,5-8,0-0,1-2,0-3,3,2,2,1,0,0,11,Grove City,Juniata_Grove City_11-11-2023
20,Mara Polczynski,*,26,4-10,0-1,0-0,3-2,5,4,3,1,0,3,8,Grove City,Juniata_Grove City_11-11-2023
11,Jaden Davinsizer,*,25,3-11,1-5,0-0,0-0,0,2,0,1,1,1,7,Grove City,Juniata_Grove City_11-11-2023
22,Katie Baller,*,23,2-5,0-2,0-0,2-5,7,1,2,1,0,0,4,Grove City,Juniata_Grove City_11-11-2023
23,Kat Goetz,,10,3-5,0-0,2-3,2-3,5,0,2,0,1,1,8,Grove City,Juniata_Grove City_11-11-2023
03,Reese Hasley,,26,2-5,0-2,1-3,2-2,4,2,5,2,1,2,5,Grove City,Juniata_Grove City_11-11-2023
30,Blaise Kilmartin,,6,2-3,1-1,0-0,1-3,4,1,0,0,0,1,5,Grove City,Juniata_Grove City_11-11-2023
42,Emma Ulmer,,6,2-3,0-0,0-0,1-1,2,2,0,1,1,0,4,Grove City,Juniata_Grove City_11-11-2023
14,Nevaeh Ewing,,12,1-8,0-5,1-2,0-0,0,1,0,0,1,0,3,Grove City,Juniata_Grove City_11-11-2023
15,Alexa McDole,,1,1-1,1-1,0-0,0-0,0,0,0,0,0,0,3,Grove City,Juniata_Grove City_11-11-2023
13,Kiley Ingram,,4,1-2,0-0,0-0,2-1,3,1,0,0,1,0,2,Grove City,Juniata_Grove City_11-11-2023
05,Hayley Fenchel,,6,0-2,0-0,0-2,2-0,2,0,0,1,0,0,0,Grove City,Juniata_Grove City_11-11-2023
25,Brooke McCoy,,4,0-1,0-1,0-0,1-1,2,0,1,2,0,0,0,Grove City,Juniata_Grove City_11-11-2023
24,Abby Glass,,3,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Grove City,Juniata_Grove City_11-11-2023
32,Diana Kepner,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Grove City,Juniata_Grove City_11-11-2023
33,Abbey Loiacono,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Grove City,Juniata_Grove City_11-11-2023
34,Bethany Thompson,,1,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Grove City,Juniata_Grove City_11-11-2023
TM,TMTeam,,0,0-0,0-0,0-0,3-6,9,0,0,0,0,0,0,Grove City,Juniata_Grove City_11-11-2023
