##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
05,Steph Emert,*,24,5-11,0-1,1-1,0-4,4,4,0,5,0,2,11,Juniata,Juniata_Hood_11-12-2022
21,Bri Bodtorf,*,34,4-9,1-4,1-3,0-7,7,4,1,4,1,2,10,Juniata,Juniata_Hood_11-12-2022
03,Kynnedy Miller,*,31,1-6,0-2,6-6,1-3,4,3,3,2,0,3,8,Juniata,Juniata_Hood_11-12-2022
13,Haily Sherman,*,28,4-14,0-5,0-2,0-7,7,0,0,4,0,3,8,Juniata,Juniata_Hood_11-12-2022
40,Emelie Nonemaker,*,21,0-1,0-0,0-0,0-1,1,0,1,1,0,1,0,Juniata,Juniata_Hood_11-12-2022
35,Sarah Betts,,21,3-8,0-1,1-2,0-2,2,1,1,2,0,0,7,Juniata,Juniata_Hood_11-12-2022
44,Emily McCann,,17,1-5,1-5,2-2,0-1,1,2,1,2,0,0,5,Juniata,Juniata_Hood_11-12-2022
11,Olivia Berg,,11,2-3,0-0,0-0,1-2,3,0,1,1,0,0,4,Juniata,Juniata_Hood_11-12-2022
24,Emma Collidge,,10,2-2,0-0,0-0,0-0,0,4,0,2,0,0,4,Juniata,Juniata_Hood_11-12-2022
34,Dani Scipioni,,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Juniata,Juniata_Hood_11-12-2022
22,Aleya Eisenberg,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Hood_11-12-2022
22,Lele Wright,*,36,12-20,1-2,1-2,4-3,7,0,1,3,1,2,26,Hood,Juniata_Hood_11-12-2022
12,Tam Stanford,*,31,6-14,2-3,3-4,2-4,6,3,1,5,0,3,17,Hood,Juniata_Hood_11-12-2022
50,Philippa Clouse,*,26,3-8,0-0,3-4,2-3,5,3,0,2,4,1,9,Hood,Juniata_Hood_11-12-2022
11,Marlise Newson,*,39,1-14,0-6,2-4,1-9,10,3,5,7,0,3,4,Hood,Juniata_Hood_11-12-2022
05,Libby Kiley,*,8,0-2,0-0,0-0,0-1,1,1,0,1,1,0,0,Hood,Juniata_Hood_11-12-2022
01,Na'Vaye Quarles,,24,2-4,0-1,0-0,0-3,3,2,4,3,0,2,4,Hood,Juniata_Hood_11-12-2022
23,Nyla Laniyonu,,18,2-4,0-0,0-0,2-5,7,2,0,0,2,1,4,Hood,Juniata_Hood_11-12-2022
25,Kayla Watkins-Harvey,,15,0-1,0-0,1-2,1-2,3,3,0,1,1,1,1,Hood,Juniata_Hood_11-12-2022
32,Snoop Robinson,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Hood,Juniata_Hood_11-12-2022
14,Makayla Pugh,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Hood,Juniata_Hood_11-12-2022
