##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,Haily Sherman,*,28,6-12,2-3,1-4,2-4,6,0,5,1,0,3,15,Juniata,Juniata_Lehman_11-26-2022
21,Bri Bodtorf,*,29,6-10,2-4,0-1,3-5,8,3,2,4,0,4,14,Juniata,Juniata_Lehman_11-26-2022
03,Kynnedy Miller,*,30,5-11,2-6,1-1,0-0,0,0,2,3,0,2,13,Juniata,Juniata_Lehman_11-26-2022
35,Sarah Betts,*,21,3-3,1-1,0-0,1-2,3,1,3,2,0,1,7,Juniata,Juniata_Lehman_11-26-2022
05,Steph Emert,*,16,1-1,0-0,0-0,0-0,0,2,1,2,0,1,2,Juniata,Juniata_Lehman_11-26-2022
22,Aleya Eisenberg,,16,4-6,2-3,0-0,2-0,2,3,2,3,0,2,10,Juniata,Juniata_Lehman_11-26-2022
24,Emma Coolidge,,17,3-8,0-0,3-4,0-1,1,2,1,3,0,1,9,Juniata,Juniata_Lehman_11-26-2022
44,Emily McCann,,12,1-3,1-1,0-0,1-3,4,1,0,2,0,1,3,Juniata,Juniata_Lehman_11-26-2022
40,Emelie Nonemaker,,14,0-2,0-0,0-0,0-5,5,2,3,2,0,0,0,Juniata,Juniata_Lehman_11-26-2022
34,Dani Scipioni,,11,0-5,0-2,0-0,0-1,1,1,2,0,0,2,0,Juniata,Juniata_Lehman_11-26-2022
11,Olivia Berg,,6,0-1,0-0,0-0,0-1,1,1,1,3,0,0,0,Juniata,Juniata_Lehman_11-26-2022
TM,TMTeam,,0,0-0,0-0,0-0,1-7,8,0,0,5,0,0,0,Juniata,Juniata_Lehman_11-26-2022
01,Brianna Barnes,*,37,7-18,1-1,2-6,4-5,9,3,3,8,2,5,17,Lehman,Juniata_Lehman_11-26-2022
24,Mojisola Shokeye,*,37,5-17,0-5,3-4,2-6,8,1,2,4,0,2,13,Lehman,Juniata_Lehman_11-26-2022
20,Ramatoulaye Diallo,*,36,6-8,0-1,0-3,2-3,5,1,4,5,2,8,12,Lehman,Juniata_Lehman_11-26-2022
13,Barbara Valentin,*,35,3-6,1-2,1-1,1-7,8,3,2,3,0,0,8,Lehman,Juniata_Lehman_11-26-2022
14,Kryshana Levy,*,30,2-11,0-3,2-4,1-2,3,1,1,5,0,1,6,Lehman,Juniata_Lehman_11-26-2022
11,Musharafa Muniru,,13,1-2,0-0,0-0,4-0,4,3,1,2,0,1,2,Lehman,Juniata_Lehman_11-26-2022
33,Myandra Duquesnay,,10,1-3,0-1,0-0,0-0,0,5,0,2,0,1,2,Lehman,Juniata_Lehman_11-26-2022
04,Kimberly Garcia,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lehman,Juniata_Lehman_11-26-2022
TM,TMTeam,,0,0-0,0-0,0-0,3-2,5,0,0,0,0,0,0,Lehman,Juniata_Lehman_11-26-2022
