##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,"Emert,Steph",*,32,7-12,3-7,4-6,1-2,3,3,3,0,0,2,21,Juniata,Juniata_Lycoming_2-5-2025
13,"Sherman,Haily",*,32,6-18,2-7,0-0,1-4,5,2,3,0,1,1,14,Juniata,Juniata_Lycoming_2-5-2025
21,"Bodtorf,Bri",*,32,2-11,1-3,0-0,3-4,7,1,6,3,2,2,5,Juniata,Juniata_Lycoming_2-5-2025
11,"Berg,Olivia",*,29,0-4,0-4,3-4,2-4,6,1,3,4,1,1,3,Juniata,Juniata_Lycoming_2-5-2025
31,"Gerdich,Laney",*,24,1-4,0-0,0-0,2-5,7,1,1,2,0,1,2,Juniata,Juniata_Lycoming_2-5-2025
43,"McCann,Emily",,13,3-4,2-2,0-0,1-1,2,0,1,2,0,1,8,Juniata,Juniata_Lycoming_2-5-2025
23,"Gillo,Deja",,14,1-3,1-3,0-0,0-1,1,0,0,1,0,2,3,Juniata,Juniata_Lycoming_2-5-2025
35,"Betts,Sarah",,15,1-2,0-1,0-0,0-1,1,1,1,1,0,0,2,Juniata,Juniata_Lycoming_2-5-2025
24,"Coolidge,Emma",,7,1-5,0-0,0-0,1-3,4,3,0,0,1,0,2,Juniata,Juniata_Lycoming_2-5-2025
03,"Owens,Michaela",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Lycoming_2-5-2025
25,"Goldenziel,Alicia",*,29,6-11,0-0,1-1,1-3,4,2,4,2,0,1,13,Lycoming,Juniata_Lycoming_2-5-2025
21,"Yoh,Ashley",*,27,4-11,0-0,3-4,3-4,7,2,1,4,0,1,11,Lycoming,Juniata_Lycoming_2-5-2025
12,"Dufner,Meghan",*,38,4-9,1-3,0-0,2-6,8,4,4,1,0,2,9,Lycoming,Juniata_Lycoming_2-5-2025
14,"Fisher,Allison",*,35,3-9,1-5,0-0,3-5,8,3,2,1,0,0,7,Lycoming,Juniata_Lycoming_2-5-2025
10,"Wetzel,Mya",*,35,0-7,0-7,0-0,0-2,2,3,2,3,1,2,0,Lycoming,Juniata_Lycoming_2-5-2025
05,"McCracken,Jocelyn",,15,3-8,0-0,4-5,3-2,5,1,0,3,2,0,10,Lycoming,Juniata_Lycoming_2-5-2025
04,"McMurtrie,Ann-Marie",,14,1-3,0-1,0-0,0-2,2,1,0,0,0,1,2,Lycoming,Juniata_Lycoming_2-5-2025
15,"Hartman,Makenna",,5,0-0,0-0,0-0,0-0,0,1,0,3,0,0,0,Lycoming,Juniata_Lycoming_2-5-2025
32,"Stone,Sydnie",,2,0-1,0-0,0-0,0-0,0,0,1,1,0,1,0,Lycoming,Juniata_Lycoming_2-5-2025
