##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
13,"Sherman,Haily",*,36,10-19,2-5,0-0,0-6,6,4,2,0,1,2,22,Juniata,Juniata_Moravian_2-22-2025
21,"Bodtorf,Bri",*,39,7-13,3-6,3-4,0-11,11,2,10,0,0,1,20,Juniata,Juniata_Moravian_2-22-2025
11,"Berg,Olivia",*,34,3-9,0-3,2-4,0-2,2,2,5,2,0,1,8,Juniata,Juniata_Moravian_2-22-2025
31,"Gerdich,Laney",*,22,3-5,0-0,0-0,3-1,4,2,0,2,0,1,6,Juniata,Juniata_Moravian_2-22-2025
43,"McCann,Emily",*,17,1-4,1-3,0-0,0-0,0,1,2,1,0,0,3,Juniata,Juniata_Moravian_2-22-2025
40,"Nonemaker,Emelie",,23,3-3,0-0,2-2,1-3,4,1,3,5,0,0,8,Juniata,Juniata_Moravian_2-22-2025
24,"Coolidge,Emma",,14,1-2,0-0,0-0,1-0,1,1,1,1,0,0,2,Juniata,Juniata_Moravian_2-22-2025
35,"Betts,Sarah",,8,0-2,0-1,0-0,1-0,1,0,0,1,0,0,0,Juniata,Juniata_Moravian_2-22-2025
23,"Gillo,Deja",,6,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,Juniata,Juniata_Moravian_2-22-2025
34,"Scipioni,Dani",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Moravian_2-22-2025
24,"Lustig,Lizzie",*,38,7-14,1-3,6-6,5-3,8,1,2,2,1,2,21,Moravian,Juniata_Moravian_2-22-2025
01,"Osorio,Sam",*,31,5-11,0-0,0-0,2-5,7,4,2,4,0,0,10,Moravian,Juniata_Moravian_2-22-2025
20,"Herbert,Lanie",*,24,3-9,0-0,1-2,2-4,6,1,0,0,0,0,7,Moravian,Juniata_Moravian_2-22-2025
22,"Vassallo,Juliana",*,18,1-8,0-2,0-0,0-1,1,1,2,2,0,0,2,Moravian,Juniata_Moravian_2-22-2025
12,"Anderson,Mikayla",*,16,1-1,0-0,0-0,0-2,2,0,1,2,0,0,2,Moravian,Juniata_Moravian_2-22-2025
14,"Pukszyn,Emma",,26,2-3,0-0,3-4,1-3,4,0,0,0,2,2,7,Moravian,Juniata_Moravian_2-22-2025
05,"Wallbillich,Ellie",,21,2-5,0-2,1-2,0-3,3,2,0,2,0,1,5,Moravian,Juniata_Moravian_2-22-2025
04,"Cartagena,Jayda",,14,0-3,0-1,2-2,0-1,1,1,2,2,0,1,2,Moravian,Juniata_Moravian_2-22-2025
25,"Lew,Bellisima",,4,0-0,0-0,1-2,0-1,1,1,1,1,0,0,1,Moravian,Juniata_Moravian_2-22-2025
00,"Altmire,Emma",,6,0-2,0-2,0-0,0-1,1,2,0,0,0,1,0,Moravian,Juniata_Moravian_2-22-2025
11,"Squizziato,Sofia",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Juniata_Moravian_2-22-2025
