##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Hess, Averie",*,26+,8-16,0-2,2-5,6-1,7,4,2,4,0,1,18,Juniata,Juniata_Pitt.-Bradford_11-13-2021
11,"Long, Grace",*,22+,5-13,1-6,3-3,2-6,8,1,2,2,0,2,14,Juniata,Juniata_Pitt.-Bradford_11-13-2021
13,"Sherman, Haily",*,26+,3-12,0-2,3-6,4-5,9,1,2,2,3,2,9,Juniata,Juniata_Pitt.-Bradford_11-13-2021
23,"Mock, Cassie",*,29+,2-8,1-4,0-0,1-5,6,3,8,1,0,2,5,Juniata,Juniata_Pitt.-Bradford_11-13-2021
3,"Miller, Kynnedy",*,16+,2-7,0-2,1-2,0-1,1,1,0,0,0,0,5,Juniata,Juniata_Pitt.-Bradford_11-13-2021
42,"Vrabel, Taylor",,11+,5-9,0-1,0-2,1-2,3,1,1,0,1,0,10,Juniata,Juniata_Pitt.-Bradford_11-13-2021
5,"Emert, Steph",,17,3-6,0-0,1-2,4-5,9,2,0,2,0,2,7,Juniata,Juniata_Pitt.-Bradford_11-13-2021
40,"Nonemaker, Emelie",,13+,1-4,0-1,0-0,3-2,5,2,2,0,0,0,2,Juniata,Juniata_Pitt.-Bradford_11-13-2021
34,"Scipioni , Dani",,9+,1-3,0-1,0-0,0-2,2,0,0,1,1,0,2,Juniata,Juniata_Pitt.-Bradford_11-13-2021
35,"Betts, Sarah",,13+,0-5,0-3,0-0,1-1,2,1,2,1,0,0,0,Juniata,Juniata_Pitt.-Bradford_11-13-2021
21,"Mahigel, Jamie",,7+,0-0,0-0,0-0,2-2,4,0,0,1,0,1,0,Juniata,Juniata_Pitt.-Bradford_11-13-2021
25,"Smith, Sarah",,6+,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Pitt.-Bradford_11-13-2021
22,"Eisenberg, Aleya",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Pitt.-Bradford_11-13-2021
24,"Celebic, Marta",,1+,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Pitt.-Bradford_11-13-2021
33,"Rittenhouse, Halle",,1+,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Juniata,Juniata_Pitt.-Bradford_11-13-2021
11,"Lary, Hannah",*,32+,2-13,1-4,3-4,1-3,4,1,1,1,0,2,8,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
21,"Hall, Ashley",*,28+,2-9,2-8,0-0,1-5,6,2,3,3,0,1,6,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
20,"Brown, Daizjah",*,14+,2-5,0-1,2-6,0-0,0,4,0,1,0,1,6,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
12,"King, Cassidy",*,36+,2-4,0-0,1-2,2-9,11,1,0,1,0,3,5,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
3,"Ackerman, Alexa",*,16+,2-4,1-2,0-0,0-0,0,2,2,0,0,0,5,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
2,"Benzel, Avery",,28+,6-11,1-1,0-2,0-1,1,3,1,7,0,1,13,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
22,"Barnett, Cailey",,30+,2-15,2-7,2-2,5-5,10,3,2,0,2,1,8,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
4,"Anderson, Summer",,8+,0-3,0-0,0-0,0-2,2,1,0,0,0,0,0,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
25,"Bethel, Emily",,7+,0-1,0-0,0-0,0-1,1,1,0,1,1,1,0,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
5,"Allen, Alannah",,1+,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Pitt.-Bradford,Juniata_Pitt.-Bradford_11-13-2021
