##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Bri Bodtorf,*,35,7-20,2-8,1-4,5-2,7,3,2,2,0,1,17,Juniata,Juniata_Saint Vincent_11-8-2022
03,Kynnedy Miller,*,34,6-13,3-9,0-0,0-3,3,3,0,5,0,3,15,Juniata,Juniata_Saint Vincent_11-8-2022
13,Haily Sherman,*,33,4-15,0-2,0-0,2-6,8,1,0,2,1,3,8,Juniata,Juniata_Saint Vincent_11-8-2022
05,Steph Emert,*,32,3-8,0-1,2-3,0-4,4,3,1,4,0,2,8,Juniata,Juniata_Saint Vincent_11-8-2022
40,Emelie Nonemaker,*,26,1-4,0-1,1-2,0-3,3,3,2,2,0,2,3,Juniata,Juniata_Saint Vincent_11-8-2022
24,Emma Collidge,,15,1-4,1-1,0-0,2-1,3,4,0,4,0,1,3,Juniata,Juniata_Saint Vincent_11-8-2022
44,Emily McCann,,10,0-3,0-1,3-4,1-1,2,2,1,1,0,0,3,Juniata,Juniata_Saint Vincent_11-8-2022
35,Sarah Betts,,6,0-0,0-0,1-2,0-0,0,4,0,1,0,0,1,Juniata,Juniata_Saint Vincent_11-8-2022
11,Olivia Berg,,8,0-0,0-0,0-0,1-2,3,0,0,2,0,0,0,Juniata,Juniata_Saint Vincent_11-8-2022
22,Aleya Eisenberg,,1,0-0,0-0,0-0,0-0,0,1,0,0,0,1,0,Juniata,Juniata_Saint Vincent_11-8-2022
34,Dani Scipioni,,0,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Saint Vincent_11-8-2022
10,Emily Cavacini,*,27,6-8,3-3,0-0,0-0,0,4,0,3,0,3,15,Saint Vincent,Juniata_Saint Vincent_11-8-2022
30,Madison Weber,*,27,4-6,0-0,4-4,2-5,7,1,3,3,0,5,12,Saint Vincent,Juniata_Saint Vincent_11-8-2022
25,Ella Marconi,*,20,3-4,0-0,2-3,0-5,5,1,1,0,0,1,8,Saint Vincent,Juniata_Saint Vincent_11-8-2022
02,Emily Thompson,*,33,2-9,0-4,1-2,0-6,6,0,3,4,0,0,5,Saint Vincent,Juniata_Saint Vincent_11-8-2022
01,Diana Mosten,*,14,0-5,0-2,2-2,0-0,0,3,1,2,0,1,2,Saint Vincent,Juniata_Saint Vincent_11-8-2022
32,Lizzie Bender,,20,4-8,0-0,4-4,1-4,5,4,0,1,0,0,12,Saint Vincent,Juniata_Saint Vincent_11-8-2022
23,Alana Winkler,,9,3-7,0-1,3-3,4-4,8,1,2,0,0,0,9,Saint Vincent,Juniata_Saint Vincent_11-8-2022
22,Reese Gadsby,,9,2-2,2-2,1-2,0-0,0,3,2,0,0,0,7,Saint Vincent,Juniata_Saint Vincent_11-8-2022
12,Camdon Bashor,,7,1-2,0-0,2-2,0-0,0,1,0,1,0,0,4,Saint Vincent,Juniata_Saint Vincent_11-8-2022
13,Kayla Sharman,,6,0-1,0-0,2-2,0-2,2,0,0,0,0,0,2,Saint Vincent,Juniata_Saint Vincent_11-8-2022
24,Jillian Mannarino,,21,0-3,0-1,0-0,0-2,2,4,4,8,1,3,0,Saint Vincent,Juniata_Saint Vincent_11-8-2022
04,Anna Betz,,3,0-0,0-0,0-2,0-0,0,0,0,0,0,0,0,Saint Vincent,Juniata_Saint Vincent_11-8-2022
00,Bethany Smith,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Saint Vincent,Juniata_Saint Vincent_11-8-2022
03,Caryn Figard,,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Saint Vincent,Juniata_Saint Vincent_11-8-2022
11,Kelly Benson,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Saint Vincent,Juniata_Saint Vincent_11-8-2022
15,Cadence Smith,,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Saint Vincent,Juniata_Saint Vincent_11-8-2022
