##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Miller,Kynnedy",*,38,5-11,4-9,1-2,2-3,5,3,3,0,0,0,15,Juniata,Juniata_Scranton_2-18-2023
13,"Sherman,Haily",*,33,6-10,2-5,0-0,0-6,6,3,0,0,0,0,14,Juniata,Juniata_Scranton_2-18-2023
21,"Bodtorf,Bri",*,37,4-13,0-4,0-0,1-5,6,2,2,2,0,2,8,Juniata,Juniata_Scranton_2-18-2023
05,"Emert,Steph",*,35,2-8,0-1,0-0,2-4,6,2,3,6,0,2,4,Juniata,Juniata_Scranton_2-18-2023
40,"Nonemaker,Emelie",*,29,0-4,0-2,0-0,0-2,2,1,3,4,0,1,0,Juniata,Juniata_Scranton_2-18-2023
35,"Betts,Sarah",,13,1-4,0-2,0-0,0-2,2,1,0,0,0,0,2,Juniata,Juniata_Scranton_2-18-2023
22,"Eisenberg,Aleya",,2,1-1,0-0,0-0,0-0,0,0,0,1,1,0,2,Juniata,Juniata_Scranton_2-18-2023
34,"Scipioni,Dani",,6,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Juniata_Scranton_2-18-2023
24,"Coolidge,Emma",,5,0-2,0-1,0-0,0-0,0,1,0,1,0,0,0,Juniata,Juniata_Scranton_2-18-2023
44,"McCann,Emily",,2,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Juniata,Juniata_Scranton_2-18-2023
24,"Monaghan,Bridget",*,34,7-13,1-2,0-0,1-3,4,1,4,2,0,0,15,Scranton,Juniata_Scranton_2-18-2023
00,"Angelini,Hannah",*,30,3-12,0-1,1-2,3-4,7,0,4,1,0,1,7,Scranton,Juniata_Scranton_2-18-2023
20,"Rajza,Samantha",*,27,2-10,1-6,0-0,0-2,2,0,1,0,0,3,5,Scranton,Juniata_Scranton_2-18-2023
32,"Walsh,Sara",*,21,1-2,0-0,2-2,2-4,6,1,0,1,2,2,4,Scranton,Juniata_Scranton_2-18-2023
25,"Duerr,Emma",*,7,1-2,0-0,0-0,0-3,3,1,0,1,0,0,2,Scranton,Juniata_Scranton_2-18-2023
11,"Kranson,Kaci",,31,10-15,3-4,3-6,2-6,8,2,0,2,0,0,26,Scranton,Juniata_Scranton_2-18-2023
23,"Larrabee,Jenna",,16,4-5,1-1,0-0,3-3,6,0,0,1,0,0,9,Scranton,Juniata_Scranton_2-18-2023
02,"Bender,Ashlyn",,3,1-1,0-0,0-0,1-0,1,0,0,0,0,0,2,Scranton,Juniata_Scranton_2-18-2023
13,"Hartnett,Maddie",,15,0-3,0-1,0-0,0-1,1,2,2,2,0,1,0,Scranton,Juniata_Scranton_2-18-2023
10,"Lynch,Allie",,13,0-3,0-1,0-0,0-1,1,0,1,1,0,1,0,Scranton,Juniata_Scranton_2-18-2023
22,"Nolan,Leah",,3,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Scranton,Juniata_Scranton_2-18-2023
